Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-03 23:00:00+01:00,bus042,bus049,eac2,0.18574604503957645
2030,sc01,01-03 23:00:00+01:00,bus092,bus100,eac1,0.16187499326483415
2030,sc01,01-03 23:00:00+01:00,bus047,bus049,eac1,0.16442568681188174
2030,sc01,01-03 23:00:00+01:00,bus074,bus075,eac1,0.7734978360188807
2030,sc01,01-03 23:00:00+01:00,bus017,bus018,eac1,0.4266508849728948
2030,sc01,01-03 23:00:00+01:00,bus031,bus032,eac1,0.12083025085396965
2030,sc01,01-03 23:00:00+01:00,bus007,bus012,eac1,0.36591298791462507
2030,sc01,01-03 23:00:00+01:00,bus054,bus059,eac1,0.07516458758909449
2030,sc01,01-03 23:00:00+01:00,bus005,bus006,cac1,0.4691904780966535
2030,sc01,01-03 23:00:00+01:00,bus046,bus048,eac1,0.03158294961615832
2030,sc01,01-03 23:00:00+01:00,bus092,bus094,eac1,0.20683510228480195
2030,sc01,01-03 23:00:00+01:00,bus069,bus077,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus086,bus087,eac1,0.16382555686298347
2030,sc01,01-03 23:00:00+01:00,bus080,bus097,eac1,0.4806362865758727
2030,sc01,01-03 23:00:00+01:00,bus100,bus104,eac1,0.060320772954186475
2030,sc01,01-03 23:00:00+01:00,bus076,bus118,eac1,0.3742995146070297
2030,sc01,01-03 23:00:00+01:00,bus012,bus117,cac1,0.23522947579732387
2030,sc01,01-03 23:00:00+01:00,bus089,bus090,eac2,0.09091753700303777
2030,sc01,01-03 23:00:00+01:00,bus065,bus066,eac1,0.3031923581096668
2030,sc01,01-03 23:00:00+01:00,bus062,bus067,eac1,0.03839424029862265
2030,sc01,01-03 23:00:00+01:00,bus068,bus069,eac1,0.28743941643505566
2030,sc01,01-03 23:00:00+01:00,bus064,bus065,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus046,bus047,eac1,0.15633986003647682
2030,sc01,01-03 23:00:00+01:00,bus049,bus066,eac2,0.10985916774101155
2030,sc01,01-03 23:00:00+01:00,bus038,bus037,cac1,0.05951685708276068
2030,sc01,01-03 23:00:00+01:00,bus049,bus069,eac1,0.3648879014203624
2030,sc01,01-03 23:00:00+01:00,bus019,bus020,eac1,0.1553002245284283
2030,sc01,01-03 23:00:00+01:00,bus030,bus038,eac1,0.7352756069351049
2030,sc01,01-03 23:00:00+01:00,bus068,bus081,eac1,0.6392176070988397
2030,sc01,01-03 23:00:00+01:00,bus012,bus016,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus110,bus112,eac1,0.16793445421777556
2030,sc01,01-03 23:00:00+01:00,bus082,bus096,eac1,0.019419450388410694
2030,sc01,01-03 23:00:00+01:00,bus106,bus107,eac1,0.7673802457927066
2030,sc01,01-03 23:00:00+01:00,bus060,bus061,eac1,0.0927815018524227
2030,sc01,01-03 23:00:00+01:00,bus069,bus070,eac1,0.3230624851423039
2030,sc01,01-03 23:00:00+01:00,bus007,bus012,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus027,bus032,eac1,0.06342878283186594
2030,sc01,01-03 23:00:00+01:00,bus056,bus057,eac1,0.0457862393805852
2030,sc01,01-03 23:00:00+01:00,bus056,bus059,eac1,0.06781170533849094
2030,sc01,01-03 23:00:00+01:00,bus049,bus050,eac1,0.10362660063839305
2030,sc01,01-03 23:00:00+01:00,bus011,bus013,eac1,0.12524362585517215
2030,sc01,01-03 23:00:00+01:00,bus064,bus065,eac1,0.36370225605913087
2030,sc01,01-03 23:00:00+01:00,bus071,bus073,eac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus076,bus077,eac1,0.5099251967570743
2030,sc01,01-03 23:00:00+01:00,bus101,bus102,eac1,0.10534002269948292
2030,sc01,01-03 23:00:00+01:00,bus070,bus075,eac1,0.24154043479174456
2030,sc01,01-03 23:00:00+01:00,bus027,bus028,eac1,0.19697998889263893
2030,sc01,01-03 23:00:00+01:00,bus030,bus017,eac1,0.39697657907649336
2030,sc01,01-03 23:00:00+01:00,bus018,bus019,eac1,0.2790375807274395
2030,sc01,01-03 23:00:00+01:00,bus094,bus096,eac1,0.2947700902356694
2030,sc01,01-03 23:00:00+01:00,bus055,bus059,eac1,0.079418626830993
2030,sc01,01-03 23:00:00+01:00,bus009,bus010,eac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus068,bus069,cac1,0.28743941643505566
2030,sc01,01-03 23:00:00+01:00,bus077,bus078,eac1,0.2433244119457677
2030,sc01,01-03 23:00:00+01:00,bus027,bus115,eac1,0.13378505604220264
2030,sc01,01-03 23:00:00+01:00,bus052,bus053,eac1,0.02209990100637029
2030,sc01,01-03 23:00:00+01:00,bus098,bus100,eac1,0.30661534973196364
2030,sc01,01-03 23:00:00+01:00,bus049,bus051,eac1,0.12882672192359335
2030,sc01,01-03 23:00:00+01:00,bus063,bus059,eac1,0.2036146345634073
2030,sc01,01-03 23:00:00+01:00,bus080,bus096,eac1,0.4658244374986293
2030,sc01,01-03 23:00:00+01:00,bus092,bus102,eac1,0.0717531378409876
2030,sc01,01-03 23:00:00+01:00,bus030,bus038,cac1,0.7785283663408177
2030,sc01,01-03 23:00:00+01:00,bus014,bus015,eac1,0.22800937837108876
2030,sc01,01-03 23:00:00+01:00,bus033,bus037,cac1,0.04373442683479262
2030,sc01,01-03 23:00:00+01:00,bus004,bus005,eac1,0.19874899731532364
2030,sc01,01-03 23:00:00+01:00,bus003,bus005,cac1,0.5060643200197711
2030,sc01,01-03 23:00:00+01:00,bus013,bus015,eac1,0.2746354187243188
2030,sc01,01-03 23:00:00+01:00,bus016,bus017,eac1,0.23604889918116384
2030,sc01,01-03 23:00:00+01:00,bus070,bus074,eac1,0.020054339858423323
2030,sc01,01-03 23:00:00+01:00,bus032,bus113,eac1,0.07331063493712676
2030,sc01,01-03 23:00:00+01:00,bus025,bus027,eac1,0.3453621704367759
2030,sc01,01-03 23:00:00+01:00,bus011,bus012,eac1,0.46041938583642567
2030,sc01,01-03 23:00:00+01:00,bus094,bus095,eac1,0.10380240275381392
2030,sc01,01-03 23:00:00+01:00,bus035,bus036,eac1,0.02142951015221982
2030,sc01,01-03 23:00:00+01:00,bus011,bus013,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus043,bus044,eac1,0.1540166288253991
2030,sc01,01-03 23:00:00+01:00,bus096,bus097,eac1,0.4507188526391413
2030,sc01,01-03 23:00:00+01:00,bus105,bus106,eac1,0.28905564619424123
2030,sc01,01-03 23:00:00+01:00,bus082,bus083,cac1,0.08044944157611586
2030,sc01,01-03 23:00:00+01:00,bus063,bus064,eac1,0.2036146345634073
2030,sc01,01-03 23:00:00+01:00,bus001,bus002,eac1,0.27300997183708003
2030,sc01,01-03 23:00:00+01:00,bus048,bus049,eac1,0.0714728578502175
2030,sc01,01-03 23:00:00+01:00,bus015,bus033,eac1,0.5756895618926036
2030,sc01,01-03 23:00:00+01:00,bus089,bus092,eac1,0.011656806077021608
2030,sc01,01-03 23:00:00+01:00,bus061,bus062,eac1,0.06822884237268681
2030,sc01,01-03 23:00:00+01:00,bus022,bus023,eac1,0.3387592777116159
2030,sc01,01-03 23:00:00+01:00,bus033,bus037,eac1,0.04127558217542791
2030,sc01,01-03 23:00:00+01:00,bus103,bus110,eac1,0.14678849692571388
2030,sc01,01-03 23:00:00+01:00,bus023,bus024,eac1,0.6586766150873045
2030,sc01,01-03 23:00:00+01:00,bus069,bus075,eac1,0.23777645548605153
2030,sc01,01-03 23:00:00+01:00,bus093,bus094,cac1,0.25009841117272325
2030,sc01,01-03 23:00:00+01:00,bus051,bus058,eac1,0.03691948240313968
2030,sc01,01-03 23:00:00+01:00,bus070,bus071,eac1,0.2228268257339055
2030,sc01,01-03 23:00:00+01:00,bus037,bus040,eac1,0.07812831677579213
2030,sc01,01-03 23:00:00+01:00,bus056,bus059,eac2,0.07121647715464967
2030,sc01,01-03 23:00:00+01:00,bus105,bus108,eac1,0.3502974588753911
2030,sc01,01-03 23:00:00+01:00,bus049,bus054,eac1,0.07533798268999399
2030,sc01,01-03 23:00:00+01:00,bus085,bus088,eac1,0.1421123149472833
2030,sc01,01-03 23:00:00+01:00,bus025,bus027,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus023,bus032,cac1,0.8894932759189551
2030,sc01,01-03 23:00:00+01:00,bus011,bus012,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus028,bus029,eac1,0.0030149186822178813
2030,sc01,01-03 23:00:00+01:00,bus024,bus070,eac1,0.2228268257339055
2030,sc01,01-03 23:00:00+01:00,bus026,bus030,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus034,bus037,eac1,0.1340884310871479
2030,sc01,01-03 23:00:00+01:00,bus064,bus061,eac1,0.16008762149572375
2030,sc01,01-03 23:00:00+01:00,bus035,bus037,eac1,0.09129668180104655
2030,sc01,01-03 23:00:00+01:00,bus037,bus039,eac1,0.05926455919692842
2030,sc01,01-03 23:00:00+01:00,bus024,bus072,eac1,0.2228268257339055
2030,sc01,01-03 23:00:00+01:00,bus068,bus116,eac1,0.00798339948779683
2030,sc01,01-03 23:00:00+01:00,bus012,bus014,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus034,bus036,eac1,0.044209326716345206
2030,sc01,01-03 23:00:00+01:00,bus015,bus033,cac1,0.6095497349872846
2030,sc01,01-03 23:00:00+01:00,bus060,bus062,eac1,0.017530878081325852
2030,sc01,01-03 23:00:00+01:00,bus059,bus060,eac1,0.12484074609511518
2030,sc01,01-03 23:00:00+01:00,bus008,bus009,eac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus079,bus080,eac1,0.4627188907654721
2030,sc01,01-03 23:00:00+01:00,bus114,bus115,eac1,0.12493412351207694
2030,sc01,01-03 23:00:00+01:00,bus019,bus034,eac1,0.32890775734844896
2030,sc01,01-03 23:00:00+01:00,bus065,bus068,eac1,0.6110399197283738
2030,sc01,01-03 23:00:00+01:00,bus092,bus093,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus017,bus031,eac1,0.3859226527188324
2030,sc01,01-03 23:00:00+01:00,bus002,bus012,eac1,0.508239447634404
2030,sc01,01-03 23:00:00+01:00,bus050,bus057,eac1,0.06972017918670503
2030,sc01,01-03 23:00:00+01:00,bus071,bus072,eac1,0.2228268257339055
2030,sc01,01-03 23:00:00+01:00,bus012,bus014,eac1,0.06335980963867266
2030,sc01,01-03 23:00:00+01:00,bus047,bus069,eac1,0.3885783824134443
2030,sc01,01-03 23:00:00+01:00,bus083,bus084,eac1,0.05401935610866709
2030,sc01,01-03 23:00:00+01:00,bus032,bus114,eac1,0.21900377241842306
2030,sc01,01-03 23:00:00+01:00,bus094,bus100,cac1,0.259882359519437
2030,sc01,01-03 23:00:00+01:00,bus056,bus058,eac1,0.012985542597019709
2030,sc01,01-03 23:00:00+01:00,bus100,bus103,eac1,0.011494896799510093
2030,sc01,01-03 23:00:00+01:00,bus003,bus012,eac1,0.2795138235955983
2030,sc01,01-03 23:00:00+01:00,bus005,bus011,eac1,0.27796121333186763
2030,sc01,01-03 23:00:00+01:00,bus015,bus017,eac1,0.09100135584135241
2030,sc01,01-03 23:00:00+01:00,bus078,bus079,eac1,0.3849335772214759
2030,sc01,01-03 23:00:00+01:00,bus053,bus054,eac1,0.023773490353352574
2030,sc01,01-03 23:00:00+01:00,bus029,bus031,eac1,0.2853346106730338
2030,sc01,01-03 23:00:00+01:00,bus077,bus080,eac1,0.3273626511339495
2030,sc01,01-03 23:00:00+01:00,bus090,bus091,eac1,0.12974639258648535
2030,sc01,01-03 23:00:00+01:00,bus100,bus101,eac1,0.2531223460021614
2030,sc01,01-03 23:00:00+01:00,bus100,bus106,eac1,0.18947733006431008
2030,sc01,01-03 23:00:00+01:00,bus017,bus113,cac1,0.2077131313206241
2030,sc01,01-03 23:00:00+01:00,bus089,bus092,eac2,0.0037233947304844074
2030,sc01,01-03 23:00:00+01:00,bus044,bus045,eac1,0.18592855469125522
2030,sc01,01-03 23:00:00+01:00,bus092,bus093,eac1,0.16948988753720992
2030,sc01,01-03 23:00:00+01:00,bus080,bus099,cac1,0.2647756772762576
2030,sc01,01-03 23:00:00+01:00,bus103,bus104,eac1,0.08848043452897372
2030,sc01,01-03 23:00:00+01:00,bus039,bus040,eac1,0.11311593294973006
2030,sc01,01-03 23:00:00+01:00,bus026,bus025,eac1,0.575445148862907
2030,sc01,01-03 23:00:00+01:00,bus054,bus055,eac1,0.001367754795630693
2030,sc01,01-03 23:00:00+01:00,bus045,bus049,eac1,0.15275033355954384
2030,sc01,01-03 23:00:00+01:00,bus054,bus056,eac1,0.022460931331740864
2030,sc01,01-03 23:00:00+01:00,bus041,bus042,eac1,0.16176261121398672
2030,sc01,01-03 23:00:00+01:00,bus095,bus096,eac1,0.3859322954655236
2030,sc01,01-03 23:00:00+01:00,bus110,bus111,eac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus020,bus021,eac1,0.05643954761144194
2030,sc01,01-03 23:00:00+01:00,bus089,bus090,eac1,0.04821531084682378
2030,sc01,01-03 23:00:00+01:00,bus008,bus030,eac1,0.4540843160274317
2030,sc01,01-03 23:00:00+01:00,bus006,bus007,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus040,bus041,eac1,0.08796628886652991
2030,sc01,01-03 23:00:00+01:00,bus062,bus066,eac1,0.06448393059375991
2030,sc01,01-03 23:00:00+01:00,bus085,bus086,eac1,0.1396429447916026
2030,sc01,01-03 23:00:00+01:00,bus038,bus065,cac1,0.5487773394352595
2030,sc01,01-03 23:00:00+01:00,bus065,bus068,cac1,0.6110399197283738
2030,sc01,01-03 23:00:00+01:00,bus077,bus082,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus080,bus098,eac1,0.3744281852970494
2030,sc01,01-03 23:00:00+01:00,bus021,bus022,eac1,0.2210891163438582
2030,sc01,01-03 23:00:00+01:00,bus051,bus052,eac1,0.05800081806876578
2030,sc01,01-03 23:00:00+01:00,bus083,bus085,eac1,0.03957279210648046
2030,sc01,01-03 23:00:00+01:00,bus099,bus100,cac1,0.3897662130647487
2030,sc01,01-03 23:00:00+01:00,bus049,bus054,eac2,0.07482019586738234
2030,sc01,01-03 23:00:00+01:00,bus049,bus066,eac1,0.10985916774101155
2030,sc01,01-03 23:00:00+01:00,bus104,bus105,eac1,0.40406156230814816
2030,sc01,01-03 23:00:00+01:00,bus004,bus011,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus059,bus061,eac1,0.14433863278244768
2030,sc01,01-03 23:00:00+01:00,bus103,bus105,eac1,0.18023894082853814
2030,sc01,01-03 23:00:00+01:00,bus075,bus118,eac1,0.30848117097106864
2030,sc01,01-03 23:00:00+01:00,bus085,bus089,eac1,0.27041517905831075
2030,sc01,01-03 23:00:00+01:00,bus008,bus005,cac1,0.6410612427112655
2030,sc01,01-03 23:00:00+01:00,bus091,bus092,eac1,0.12974639258648535
2030,sc01,01-03 23:00:00+01:00,bus023,bus025,eac1,0.2300829784261312
2030,sc01,01-03 23:00:00+01:00,bus006,bus007,eac1,0.14242833852320558
2030,sc01,01-03 23:00:00+01:00,bus077,bus082,eac1,0.38954096762315843
2030,sc01,01-03 23:00:00+01:00,bus038,bus065,eac1,0.5487773394352595
2030,sc01,01-03 23:00:00+01:00,bus034,bus043,eac1,0.11811571176300376
2030,sc01,01-03 23:00:00+01:00,bus109,bus110,eac1,0.283123689188251
2030,sc01,01-03 23:00:00+01:00,bus084,bus085,eac1,0.019871790555147244
2030,sc01,01-03 23:00:00+01:00,bus047,bus049,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus004,bus011,eac1,0.21022161559585908
2030,sc01,01-03 23:00:00+01:00,bus054,bus056,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,bus108,bus109,eac1,0.3368627049369681
2030,sc01,01-03 23:00:00+01:00,bus008,bus030,cac1,0.480795932033449
2030,sc01,01-03 23:00:00+01:00,bus066,bus067,eac1,0.09424010595567316
2030,sc01,01-03 23:00:00+01:00,bus105,bus107,eac1,0.8537810318409307
2030,sc01,01-03 23:00:00+01:00,bus042,bus049,eac1,0.18574604503957645
2030,sc01,01-03 23:00:00+01:00,bus088,bus089,eac1,0.02831184198896266
2030,sc01,01-03 23:00:00+01:00,bus015,bus019,eac1,0.4836747047615329
2030,sc01,01-03 23:00:00+01:00,bus001,bus003,eac1,0.32686401852612806
2030,sc01,01-03 23:00:00+01:00,bus040,bus042,eac1,0.14274268186714878
2030,sc01,01-03 23:00:00+01:00,bus012,bus016,eac1,0.058015657374665644
2030,sc01,01-03 23:00:00+01:00,bus045,bus046,eac1,0.138886469345024
2030,sc01,01-03 23:00:00+01:00,bus081,bus080,eac1,0.6392176070988397
2030,sc01,01-03 23:00:00+01:00,bus055,bus056,eac1,0.007801432461392591
2030,sc01,01-03 23:00:00+01:00,bus075,bus077,eac1,0.5536206455146464
2030,sc01,01-03 23:00:00+01:00,bus077,bus080,eac2,0.1512103674285385
2030,sc01,01-15 22:00:00+01:00,bus042,bus049,eac2,0.18458673735532033
2030,sc01,01-15 22:00:00+01:00,bus092,bus100,eac1,0.3694796684286102
2030,sc01,01-15 22:00:00+01:00,bus047,bus049,eac1,0.2156335838560805
2030,sc01,01-15 22:00:00+01:00,bus074,bus075,eac1,0.9688637858150798
2030,sc01,01-15 22:00:00+01:00,bus017,bus018,eac1,0.7611779155753003
2030,sc01,01-15 22:00:00+01:00,bus031,bus032,eac1,0.13871785435398085
2030,sc01,01-15 22:00:00+01:00,bus007,bus012,eac1,0.39679644057601077
2030,sc01,01-15 22:00:00+01:00,bus054,bus059,eac1,0.0862712002651496
2030,sc01,01-15 22:00:00+01:00,bus005,bus006,cac1,0.5827375603344348
2030,sc01,01-15 22:00:00+01:00,bus046,bus048,eac1,0.030466595744152468
2030,sc01,01-15 22:00:00+01:00,bus092,bus094,eac1,0.41012376987226756
2030,sc01,01-15 22:00:00+01:00,bus069,bus077,cac1,0.0
2030,sc01,01-15 22:00:00+01:00,bus086,bus087,eac1,0.0
2030,sc01,01-15 22:00:00+01:00,bus080,bus097,eac1,0.5564529137383929
2030,sc01,01-15 22:00:00+01:00,bus100,bus104,eac1,0.0578968949540646
2030,sc01,01-15 22:00:00+01:00,bus076,bus118,eac1,0.5853593286982525
2030,sc01,01-15 22:00:00+01:00,bus012,bus117,cac1,0.27591224200934833
2030,sc01,01-15 22:00:00+01:00,bus089,bus090,eac2,0.10515305452278438
2030,sc01,01-15 22:00:00+01:00,bus065,bus066,eac1,0.35467080411574586
2030,sc01,01-15 22:00:00+01:00,bus062,bus067,eac1,0.05476163801814482
2030,sc01,01-15 22:00:00+01:00,bus068,bus069,eac1,0.3797686928946264
2030,sc01,01-15 22:00:00+01:00,bus064,bus065,cac1,0.0
2030,sc01,01-15 22:00:00+01:00,bus046,bus047,eac1,0.18375983835947277
2030,sc01,01-15 22:00:00+01:00,bus049,bus066,eac2,0.122134703945275
2030,sc01,01-15 22:00:00+01:00,bus038,bus037,cac1,0.2626281850394796
