Period,Scenario,LoadLevel,Unit,GWh
2030,sc01,01-15 22:00:00+01:00,Solar 50,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 03,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 34,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 05,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 38,0.0
2030,sc01,01-15 22:00:00+01:00,Hydro 42,0.078134294
2030,sc01,01-15 22:00:00+01:00,CC NG 03,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 14,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 18,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 26,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 21,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 68,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 35,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 20,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 74,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 37,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 45,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 26,0.0
2030,sc01,01-15 22:00:00+01:00,Wind 08,0.107220748568
2030,sc01,01-15 22:00:00+01:00,Solar 71,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 53,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 30,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 44,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 12,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 04,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 62,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 69,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 01,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 56,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 22,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 22,19.007545399999998
2030,sc01,01-15 22:00:00+01:00,CT NG 07,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 70,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 53,0.0
2030,sc01,01-15 22:00:00+01:00,CT Oil 01,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 69,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 75,0.0
2030,sc01,01-15 22:00:00+01:00,ST NG 04,1.760938
2030,sc01,01-15 22:00:00+01:00,Wind 04,0.0
2030,sc01,01-15 22:00:00+01:00,Hydro 26,0.2520999
2030,sc01,01-15 22:00:00+01:00,Wind 15,4.9080759594
2030,sc01,01-15 22:00:00+01:00,CC NG 19,3.92602
2030,sc01,01-15 22:00:00+01:00,Wind 10,0.108722368568
2030,sc01,01-15 22:00:00+01:00,Solar 57,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 67,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 09,0.0
2030,sc01,01-15 22:00:00+01:00,Hydro 22,10.086363516338851
2030,sc01,01-15 22:00:00+01:00,Solar 43,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 66,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 05,0.7051170088496463
2030,sc01,01-15 22:00:00+01:00,CC NG 29,0.0
2030,sc01,01-15 22:00:00+01:00,ST NG 09,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 29,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 25,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 44,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 35,6.321678374577199
2030,sc01,01-15 22:00:00+01:00,Solar 59,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 72,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 15,0.0
2030,sc01,01-15 22:00:00+01:00,Hydro 28,32.0420826
2030,sc01,01-15 22:00:00+01:00,Solar 02,0.0
2030,sc01,01-15 22:00:00+01:00,Hydro 19,0.0129195
2030,sc01,01-15 22:00:00+01:00,CT NG 35,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 10,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 47,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 70,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 68,0.0
2030,sc01,01-15 22:00:00+01:00,CT Oil 04,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 32,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 12,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 48,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 36,0.0
2030,sc01,01-15 22:00:00+01:00,CT Oil 02,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 36,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 12,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 41,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 22,0.0
2030,sc01,01-15 22:00:00+01:00,Wind 09,0.078820680616
2030,sc01,01-15 22:00:00+01:00,Solar 08,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 25,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 08,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 42,0.0
2030,sc01,01-15 22:00:00+01:00,Wind 17,2.995344431
2030,sc01,01-15 22:00:00+01:00,Geo 01,0.464
2030,sc01,01-15 22:00:00+01:00,ST NG 08,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 06,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 21,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 43,0.0
2030,sc01,01-15 22:00:00+01:00,ST NG 02,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 25,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 55,0.0
2030,sc01,01-15 22:00:00+01:00,Wind 03,0.01841997988
2030,sc01,01-15 22:00:00+01:00,CC NG 16,26.4585705
2030,sc01,01-15 22:00:00+01:00,CT NG 48,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 28,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 52,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 26,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 46,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 39,0.0
2030,sc01,01-15 22:00:00+01:00,ST NG 10,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 41,0.0
2030,sc01,01-15 22:00:00+01:00,ST NG 07,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 09,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 47,0.0
2030,sc01,01-15 22:00:00+01:00,CT Oil 03,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 63,0.0
2030,sc01,01-15 22:00:00+01:00,Wind 06,0.39444522898
2030,sc01,01-15 22:00:00+01:00,Wind 12,1.78767242111
2030,sc01,01-15 22:00:00+01:00,CT NG 71,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 11,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 50,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 14,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 39,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 10,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 49,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 15,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 28,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 24,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 33,0.0
2030,sc01,01-15 22:00:00+01:00,ST NG 06,0.0
2030,sc01,01-15 22:00:00+01:00,Hydro 29,32.0420826
2030,sc01,01-15 22:00:00+01:00,Solar 06,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 45,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 17,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 31,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 11,0.3035335806647204
2030,sc01,01-15 22:00:00+01:00,CT NG 21,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 42,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 27,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 04,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 11,0.0
2030,sc01,01-15 22:00:00+01:00,Hydro 43,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 32,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 13,0.0
2030,sc01,01-15 22:00:00+01:00,Wind 02,0.167284340544
2030,sc01,01-15 22:00:00+01:00,ST NG 05,1.760938
2030,sc01,01-15 22:00:00+01:00,Wind 11,0.38756460082
2030,sc01,01-15 22:00:00+01:00,Solar 64,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 02,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 55,0.0
2030,sc01,01-15 22:00:00+01:00,ST Other 02,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 01,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 72,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 15,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 01,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 74,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 28,5.0898045
2030,sc01,01-15 22:00:00+01:00,Hydro 20,21.985256699999997
2030,sc01,01-15 22:00:00+01:00,CC NG 24,0.04013316886214302
2030,sc01,01-15 22:00:00+01:00,Solar 34,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 51,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 03,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 75,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 17,0.0
2030,sc01,01-15 22:00:00+01:00,Hydro 27,0.2520999
2030,sc01,01-15 22:00:00+01:00,CT NG 56,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 37,17.835348
2030,sc01,01-15 22:00:00+01:00,Solar 30,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 52,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 08,0.0
2030,sc01,01-15 22:00:00+01:00,Hydro 34,0.09501443999999999
2030,sc01,01-15 22:00:00+01:00,Solar 40,0.0
2030,sc01,01-15 22:00:00+01:00,Wind N02,0.080062810356
2030,sc01,01-15 22:00:00+01:00,CT NG 23,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 73,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 16,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 66,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 73,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 33,0.0
2030,sc01,01-15 22:00:00+01:00,Hydro 23,21.320907300000002
2030,sc01,01-15 22:00:00+01:00,Hydro 24,21.320907300000002
2030,sc01,01-15 22:00:00+01:00,Wind 01,0.288345419152
2030,sc01,01-15 22:00:00+01:00,Wind N03,11.520555509200001
2030,sc01,01-15 22:00:00+01:00,CT NG 09,0.0
2030,sc01,01-15 22:00:00+01:00,CT NG 54,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 18,17.358617000000002
2030,sc01,01-15 22:00:00+01:00,Solar 31,0.0
2030,sc01,01-15 22:00:00+01:00,CC NG 07,0.0
2030,sc01,01-15 22:00:00+01:00,Solar 61,0.0
2030,sc01,01-15 22:00:00+01:00,Hydro 21,0.0
2030,sc01,01-15 22:00:00+01:00,Hydro 33,0.09501443999999999
2030,sc01,01-15 22:00:00+01:00,Wind 16,0.152705777224
2030,sc01,01-15 22:00:00+01:00,Solar 16,0.0
2030,sc01,01-15 22:00:00+01:00,Hydro 41,0.078134294
2030,sc01,01-15 22:00:00+01:00,ST NG 01,0.0
