Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-05 01:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-05 01:00:00+01:00,Biomass,0.0
2030,sc01,01-05 01:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-05 01:00:00+01:00,SolarPV-NonTracking,0.0
2030,sc01,01-05 01:00:00+01:00,Geothermal,0.352
2030,sc01,01-05 01:00:00+01:00,DG-BTM,0.0
2030,sc01,01-05 01:00:00+01:00,Hydro,52.210228652125494
2030,sc01,01-05 01:00:00+01:00,SolarPV-Tracking,0.0
2030,sc01,01-05 01:00:00+01:00,Oil,0.0
2030,sc01,01-05 01:00:00+01:00,Battery,0.0
2030,sc01,01-05 01:00:00+01:00,Coal,0.0
2030,sc01,01-05 01:00:00+01:00,WT-Onshore,147.69707256992285
2030,sc01,01-05 01:00:00+01:00,Natural gas,15.868441139801527
2030,sc01,01-05 15:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-05 15:00:00+01:00,Biomass,0.0
2030,sc01,01-05 15:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-05 15:00:00+01:00,SolarPV-NonTracking,63.14789656569171
2030,sc01,01-05 15:00:00+01:00,Geothermal,0.0
2030,sc01,01-05 15:00:00+01:00,DG-BTM,41.13325222146298
2030,sc01,01-05 15:00:00+01:00,Hydro,187.71330345614058
2030,sc01,01-05 15:00:00+01:00,SolarPV-Tracking,146.13442254881224
2030,sc01,01-05 15:00:00+01:00,Oil,0.0
2030,sc01,01-05 15:00:00+01:00,Battery,0.0
2030,sc01,01-05 15:00:00+01:00,Coal,0.0
2030,sc01,01-05 15:00:00+01:00,WT-Onshore,288.831765719357
2030,sc01,01-05 15:00:00+01:00,Natural gas,14.183466973289756
2030,sc01,01-07 00:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-07 00:00:00+01:00,Biomass,0.0
2030,sc01,01-07 00:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-07 00:00:00+01:00,SolarPV-NonTracking,0.9403318364700001
2030,sc01,01-07 00:00:00+01:00,Geothermal,0.368
2030,sc01,01-07 00:00:00+01:00,DG-BTM,0.140498887969
2030,sc01,01-07 00:00:00+01:00,Hydro,82.02451316952354
2030,sc01,01-07 00:00:00+01:00,SolarPV-Tracking,0.329629401323
2030,sc01,01-07 00:00:00+01:00,Oil,0.0
2030,sc01,01-07 00:00:00+01:00,Battery,0.0
2030,sc01,01-07 00:00:00+01:00,Coal,0.0
2030,sc01,01-07 00:00:00+01:00,WT-Onshore,115.89098485743881
2030,sc01,01-07 00:00:00+01:00,Natural gas,21.705714237650604
2030,sc01,01-07 08:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-07 08:00:00+01:00,Biomass,0.0
2030,sc01,01-07 08:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-07 08:00:00+01:00,SolarPV-NonTracking,4.248347655418
2030,sc01,01-07 08:00:00+01:00,Geothermal,0.656
2030,sc01,01-07 08:00:00+01:00,DG-BTM,0.534891099088
2030,sc01,01-07 08:00:00+01:00,Hydro,156.51820725000002
2030,sc01,01-07 08:00:00+01:00,SolarPV-Tracking,2.570354821574
2030,sc01,01-07 08:00:00+01:00,Oil,0.0
2030,sc01,01-07 08:00:00+01:00,Battery,0.0
2030,sc01,01-07 08:00:00+01:00,Coal,0.0
2030,sc01,01-07 08:00:00+01:00,WT-Onshore,194.8302648543098
2030,sc01,01-07 08:00:00+01:00,Natural gas,327.5787122741169
2030,sc01,01-07 12:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-07 12:00:00+01:00,Biomass,0.0
2030,sc01,01-07 12:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-07 12:00:00+01:00,SolarPV-NonTracking,89.20317665767371
