Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-08 01:00:00+01:00,Coal,0.0
2030,sc01,01-08 01:00:00+01:00,Hydro,379.49223539450963
2030,sc01,01-08 01:00:00+01:00,Geothermal,2.4
2030,sc01,01-08 01:00:00+01:00,Natural gas,119.54410323635186
2030,sc01,01-08 01:00:00+01:00,DG-BTM,0.7171020747
2030,sc01,01-08 01:00:00+01:00,Biomass,0.0
2030,sc01,01-08 01:00:00+01:00,SolarPV-Tracking,1.6824184944
2030,sc01,01-08 01:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-08 01:00:00+01:00,SolarPV-NonTracking,4.78014273885
2030,sc01,01-08 01:00:00+01:00,WT-Onshore,1044.7538300919362
2030,sc01,01-08 01:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-08 01:00:00+01:00,Oil,0.0
2030,sc01,01-08 01:00:00+01:00,Battery,0.0
2030,sc01,02-04 14:00:00+01:00,Coal,0.0
2030,sc01,02-04 14:00:00+01:00,Hydro,104.53449481199999
2030,sc01,02-04 14:00:00+01:00,Geothermal,0.432
2030,sc01,02-04 14:00:00+01:00,Natural gas,23.469399168503237
2030,sc01,02-04 14:00:00+01:00,DG-BTM,27.89573354995875
2030,sc01,02-04 14:00:00+01:00,Biomass,0.0
2030,sc01,02-04 14:00:00+01:00,SolarPV-Tracking,69.56128732688634
2030,sc01,02-04 14:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,02-04 14:00:00+01:00,SolarPV-NonTracking,68.12246455517392
2030,sc01,02-04 14:00:00+01:00,WT-Onshore,182.22848416734072
2030,sc01,02-04 14:00:00+01:00,SynchCompensator,0.0
2030,sc01,02-04 14:00:00+01:00,Oil,0.0
2030,sc01,02-04 14:00:00+01:00,Battery,0.0
2030,sc01,02-19 21:00:00+01:00,Coal,0.0
2030,sc01,02-19 21:00:00+01:00,Hydro,941.4861437283538
2030,sc01,02-19 21:00:00+01:00,Geothermal,3.968
2030,sc01,02-19 21:00:00+01:00,Natural gas,711.0206048478949
2030,sc01,02-19 21:00:00+01:00,DG-BTM,0.0
2030,sc01,02-19 21:00:00+01:00,Biomass,0.0
2030,sc01,02-19 21:00:00+01:00,SolarPV-Tracking,0.0
2030,sc01,02-19 21:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,02-19 21:00:00+01:00,SolarPV-NonTracking,0.0
2030,sc01,02-19 21:00:00+01:00,WT-Onshore,1951.4720817444347
2030,sc01,02-19 21:00:00+01:00,SynchCompensator,0.0
2030,sc01,02-19 21:00:00+01:00,Oil,0.0
2030,sc01,02-19 21:00:00+01:00,Battery,0.0
2030,sc01,02-22 19:00:00+01:00,Coal,0.0
2030,sc01,02-22 19:00:00+01:00,Hydro,962.4389898726945
2030,sc01,02-22 19:00:00+01:00,Geothermal,2.816
2030,sc01,02-22 19:00:00+01:00,Natural gas,692.8047757748766
2030,sc01,02-22 19:00:00+01:00,DG-BTM,7.525853477120001
2030,sc01,02-22 19:00:00+01:00,Biomass,0.0
