Period,Scenario,LoadLevel,mEUR
2030,sc01,01-12 19:00:00+01:00,7368956.384099055
2030,sc01,02-05 00:00:00+01:00,42926.20614108784
2030,sc01,02-16 20:00:00+01:00,9942079.844344676
2030,sc01,02-22 02:00:00+01:00,2532347.7074528253
2030,sc01,02-24 23:00:00+01:00,1242918.9535490565
2030,sc01,03-08 21:00:00+01:00,9194650.929975852
2030,sc01,03-11 14:00:00+01:00,3546669.424062654
2030,sc01,04-04 08:00:00+02:00,107096.51987996092
2030,sc01,04-16 00:00:00+02:00,1453485.8026960422
2030,sc01,04-24 09:00:00+02:00,850619.1256559021
2030,sc01,04-24 22:00:00+02:00,1394851.1843773928
2030,sc01,05-24 14:00:00+02:00,5576245.714955362
2030,sc01,05-27 13:00:00+02:00,4644891.606191317
2030,sc01,06-18 14:00:00+02:00,2962313.5370853776
2030,sc01,07-05 22:00:00+02:00,62549802.56079571
2030,sc01,07-07 15:00:00+02:00,0.0
2030,sc01,07-08 17:00:00+02:00,6058665.685844418
2030,sc01,07-09 15:00:00+02:00,3742044.768399284
2030,sc01,07-17 19:00:00+02:00,3411465.359626042
2030,sc01,07-20 03:00:00+02:00,0.0
2030,sc01,08-01 17:00:00+02:00,3728943.7381064002
2030,sc01,08-06 21:00:00+02:00,34627640.95067748
2030,sc01,08-07 10:00:00+02:00,19026.62867565285
2030,sc01,08-29 11:00:00+02:00,7704921.385991187
2030,sc01,09-04 17:00:00+02:00,2103780.7904830812
2030,sc01,09-20 12:00:00+02:00,1535376.1085282965
2030,sc01,09-30 23:00:00+02:00,0.0
2030,sc01,10-10 20:00:00+02:00,75443140.85563678
2030,sc01,10-22 19:00:00+02:00,21487459.492074136
2030,sc01,11-06 19:00:00+01:00,35286668.257228754
