Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-16 02:00:00+01:00,bus032,bus114,eac1,0.05837014001837815
2030,sc01,01-16 02:00:00+01:00,bus075,bus077,eac1,-0.26732500282875094
2030,sc01,01-16 02:00:00+01:00,bus037,bus040,eac1,0.03365955115051639
2030,sc01,01-16 02:00:00+01:00,bus004,bus011,eac1,0.11519240956015098
2030,sc01,01-16 02:00:00+01:00,bus094,bus095,eac1,0.17986243264716995
2030,sc01,01-16 02:00:00+01:00,bus053,bus054,eac1,-0.10550927689483058
2030,sc01,01-16 02:00:00+01:00,bus068,bus081,eac1,-1.0241598178245452
2030,sc01,01-16 02:00:00+01:00,bus033,bus037,eac1,-0.12626576453982297
2030,sc01,01-16 02:00:00+01:00,bus012,bus117,cac1,0.03310214616000001
2030,sc01,01-16 02:00:00+01:00,bus100,bus101,eac1,-0.32147494348
2030,sc01,01-16 02:00:00+01:00,bus086,bus087,eac1,0.0
2030,sc01,01-16 02:00:00+01:00,bus013,bus015,eac1,-0.02379222600237141
2030,sc01,01-16 02:00:00+01:00,bus079,bus080,eac1,-0.20732174597789868
2030,sc01,01-16 02:00:00+01:00,bus049,bus066,eac2,-0.14052037926663785
2030,sc01,01-16 02:00:00+01:00,bus017,bus031,eac1,0.1235681892059115
2030,sc01,01-16 02:00:00+01:00,bus024,bus070,eac1,-0.1669443256193016
2030,sc01,01-16 02:00:00+01:00,bus011,bus013,eac1,-0.00026338880937137876
2030,sc01,01-16 02:00:00+01:00,bus080,bus096,eac1,0.016151404893323007
2030,sc01,01-16 02:00:00+01:00,bus023,bus032,cac1,0.3001704318244699
2030,sc01,01-16 02:00:00+01:00,bus076,bus118,eac1,0.15391826256550623
2030,sc01,01-16 02:00:00+01:00,bus051,bus052,eac1,-0.01587962287483058
2030,sc01,01-16 02:00:00+01:00,bus014,bus015,eac1,-0.03817370866757075
2030,sc01,01-16 02:00:00+01:00,bus011,bus012,cac1,0.0
2030,sc01,01-16 02:00:00+01:00,bus082,bus096,eac1,0.015946478562591182
2030,sc01,01-16 02:00:00+01:00,bus040,bus042,eac1,-0.1134578688291949
2030,sc01,01-16 02:00:00+01:00,bus076,bus077,eac1,-0.2725089031655062
2030,sc01,01-16 02:00:00+01:00,bus110,bus112,eac1,0.18447156269999998
2030,sc01,01-16 02:00:00+01:00,bus032,bus113,eac1,-0.07289161720717985
2030,sc01,01-16 02:00:00+01:00,bus015,bus019,eac1,-0.02803791029724284
