Period,Scenario,LoadLevel,Unit,GWh
2030,sc01,01-12 19:00:00+01:00,CT NG 53,0.0
2030,sc01,01-12 19:00:00+01:00,Hydro 41,0.410888108
2030,sc01,01-12 19:00:00+01:00,Hydro 40,0.0
2030,sc01,01-12 19:00:00+01:00,CC NG 24,0.0
2030,sc01,01-12 19:00:00+01:00,CC NG 12,21.467399999999998
2030,sc01,01-12 19:00:00+01:00,Solar 54,0.16465109668000003
2030,sc01,01-12 19:00:00+01:00,Solar 68,1.71809839956
2030,sc01,01-12 19:00:00+01:00,CC NG 07,0.0
2030,sc01,01-12 19:00:00+01:00,Wind 06,6.3489338353199996
2030,sc01,01-12 19:00:00+01:00,CT NG 44,8.6549142
2030,sc01,01-12 19:00:00+01:00,ST NG 06,0.0
2030,sc01,01-12 19:00:00+01:00,CC NG 19,20.03624
2030,sc01,01-12 19:00:00+01:00,Hydro 34,0.0
2030,sc01,01-12 19:00:00+01:00,Wind 12,75.25355615199999
2030,sc01,01-12 19:00:00+01:00,ST NG 03,0.0
2030,sc01,01-12 19:00:00+01:00,CC NG 22,62.60929956789384
2030,sc01,01-12 19:00:00+01:00,Solar 04,0.086799762832
2030,sc01,01-12 19:00:00+01:00,ST NG 02,46.657
2030,sc01,01-12 19:00:00+01:00,Solar 50,0.083936265492
2030,sc01,01-12 19:00:00+01:00,Solar 73,0.0
2030,sc01,01-12 19:00:00+01:00,CC NG 23,63.79895467668743
2030,sc01,01-12 19:00:00+01:00,Solar 37,0.0
2030,sc01,01-12 19:00:00+01:00,Wind 04,4.67570177044
2030,sc01,01-12 19:00:00+01:00,Solar 56,0.359189946652
2030,sc01,01-12 19:00:00+01:00,Wind 02,35.5353334512
2030,sc01,01-12 19:00:00+01:00,Solar 18,0.0
2030,sc01,01-12 19:00:00+01:00,Solar 52,0.190422572592
2030,sc01,01-12 19:00:00+01:00,Wind 11,4.3731245498
2030,sc01,01-12 19:00:00+01:00,Wind N06,0.0
2030,sc01,01-12 19:00:00+01:00,CC NG 06,1.9320660000000003
2030,sc01,01-12 19:00:00+01:00,Solar 48,0.031319502036
2030,sc01,01-12 19:00:00+01:00,Solar 46,0.031319502036
2030,sc01,01-12 19:00:00+01:00,Solar 36,0.0
2030,sc01,01-12 19:00:00+01:00,CT NG 03,3.5494470000000002
2030,sc01,01-12 19:00:00+01:00,Hydro 23,0.0
2030,sc01,01-12 19:00:00+01:00,CT NG 36,0.0
2030,sc01,01-12 19:00:00+01:00,CT Oil 02,0.0
2030,sc01,01-12 19:00:00+01:00,CT NG 16,0.0
2030,sc01,01-12 19:00:00+01:00,CC NG 27,4.937502
2030,sc01,01-12 19:00:00+01:00,CT NG 68,0.0
2030,sc01,01-12 19:00:00+01:00,CT NG 52,0.0
2030,sc01,01-12 19:00:00+01:00,Wind N01,39.4057902164
2030,sc01,01-12 19:00:00+01:00,CT NG 69,0.0
2030,sc01,01-12 19:00:00+01:00,Solar 35,0.80535862484
2030,sc01,01-12 19:00:00+01:00,Solar 39,0.031319502036
2030,sc01,01-12 19:00:00+01:00,CC NG 33,0.0
2030,sc01,01-12 19:00:00+01:00,Solar 71,0.0
2030,sc01,01-12 19:00:00+01:00,Solar 42,0.031319502036
2030,sc01,01-12 19:00:00+01:00,Solar 57,0.122414510952
2030,sc01,01-12 19:00:00+01:00,CC NG 40,107.4944276
2030,sc01,01-12 19:00:00+01:00,CT NG 15,0.0
2030,sc01,01-12 19:00:00+01:00,Solar 31,2.07657247184
2030,sc01,01-12 19:00:00+01:00,CC NG 36,0.0
2030,sc01,01-12 19:00:00+01:00,Wind 08,4.3731245498
2030,sc01,01-12 19:00:00+01:00,CT NG 55,0.0
2030,sc01,01-12 19:00:00+01:00,CT NG 72,2.3804884735381653
