Period,Scenario,LoadLevel,mEUR
2030,sc01,01-07 18:00:00+01:00,1474598.2637011274
2030,sc01,01-12 19:00:00+01:00,71115980.56329018
2030,sc01,01-16 02:00:00+01:00,10728332.611569177
2030,sc01,02-04 17:00:00+01:00,21085.712810193807
2030,sc01,02-04 19:00:00+01:00,576072.1136767844
2030,sc01,02-05 01:00:00+01:00,36500.001928304955
2030,sc01,02-09 23:00:00+01:00,1420057.2420187492
2030,sc01,02-11 06:00:00+01:00,5974514.494252359
2030,sc01,02-16 20:00:00+01:00,24570375.5442223
2030,sc01,02-24 23:00:00+01:00,12296098.288816234
2030,sc01,02-26 06:00:00+01:00,31063160.092376713
2030,sc01,03-03 23:00:00+01:00,4547953.609737806
2030,sc01,03-08 21:00:00+01:00,35800317.01860199
2030,sc01,03-11 11:00:00+01:00,131251499.78357193
2030,sc01,03-27 03:00:00+01:00,36084284.01884498
2030,sc01,04-04 08:00:00+02:00,1018158.6208243588
2030,sc01,04-08 14:00:00+02:00,36865410.97305235
2030,sc01,04-09 04:00:00+02:00,33768181.79864629
2030,sc01,04-24 09:00:00+02:00,17678301.519305013
2030,sc01,05-18 00:00:00+02:00,40044468.16714287
2030,sc01,05-21 20:00:00+02:00,6131592.531406858
2030,sc01,05-24 14:00:00+02:00,19365442.232880674
2030,sc01,05-31 19:00:00+02:00,530576.9586087139
2030,sc01,06-03 19:00:00+02:00,424620.5646480028
2030,sc01,06-04 22:00:00+02:00,41609336.21611442
2030,sc01,06-18 12:00:00+02:00,17325877.328893077
2030,sc01,07-04 16:00:00+02:00,47790246.05725891
2030,sc01,07-08 17:00:00+02:00,36007759.40879133
2030,sc01,07-09 15:00:00+02:00,23268070.64078806
2030,sc01,07-16 03:00:00+02:00,353009428.34137946
2030,sc01,07-19 00:00:00+02:00,26003227.992659304
2030,sc01,07-21 14:00:00+02:00,17800769.250717994
2030,sc01,07-27 11:00:00+02:00,13021692.896372711
2030,sc01,08-01 16:00:00+02:00,4438296.287466581
2030,sc01,08-01 17:00:00+02:00,6599210.457229234
2030,sc01,08-06 21:00:00+02:00,32897337.02758773
2030,sc01,08-07 10:00:00+02:00,135431.9058568498
2030,sc01,08-07 12:00:00+02:00,15368045.55977852
2030,sc01,08-18 20:00:00+02:00,35556773.52772499
2030,sc01,08-22 14:00:00+02:00,1495763.1613466265
2030,sc01,09-04 17:00:00+02:00,11142843.575773204
2030,sc01,09-12 06:00:00+02:00,5479107.899727958
2030,sc01,09-17 14:00:00+02:00,30699111.10465287
2030,sc01,10-10 20:00:00+02:00,350776985.6474856
2030,sc01,10-22 19:00:00+02:00,72399475.19714683
2030,sc01,10-24 04:00:00+02:00,57028554.94529578
2030,sc01,11-06 09:00:00+01:00,24555050.12739112
2030,sc01,11-09 18:00:00+01:00,47312697.60511504
2030,sc01,11-11 23:00:00+01:00,842454.4346171658
2030,sc01,12-16 20:00:00+01:00,195877549.1370222
