Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-01 18:00:00+01:00,bus080,bus096,eac1,0.14758304681468293
2030,sc01,01-01 18:00:00+01:00,bus101,bus102,eac1,-0.31998393053247876
2030,sc01,01-01 18:00:00+01:00,bus092,bus093,cac1,0.0
2030,sc01,01-01 18:00:00+01:00,bus012,bus016,cac1,0.0
2030,sc01,01-01 18:00:00+01:00,bus075,bus077,eac1,-0.022563425846378993
2030,sc01,01-01 18:00:00+01:00,bus052,bus053,eac1,-0.0368571675509089
2030,sc01,01-01 18:00:00+01:00,bus060,bus062,eac1,0.038364957916306675
2030,sc01,01-01 18:00:00+01:00,bus020,bus021,eac1,0.07630793616922271
2030,sc01,01-01 18:00:00+01:00,bus051,bus052,eac1,-0.005275693870908871
2030,sc01,01-01 18:00:00+01:00,bus094,bus100,cac1,0.0
2030,sc01,01-01 18:00:00+01:00,bus109,bus110,eac1,0.14325784495795613
2030,sc01,01-01 18:00:00+01:00,bus094,bus095,eac1,0.11138587425671997
2030,sc01,01-01 18:00:00+01:00,bus005,bus006,cac1,0.0
2030,sc01,01-01 18:00:00+01:00,bus023,bus032,cac1,0.0
2030,sc01,01-01 18:00:00+01:00,bus086,bus087,eac1,0.0
2030,sc01,01-01 18:00:00+01:00,bus025,bus027,eac1,0.18464019825111788
2030,sc01,01-01 18:00:00+01:00,bus082,bus096,eac1,-0.0523579487963739
2030,sc01,01-01 18:00:00+01:00,bus014,bus015,eac1,0.17034625135068127
2030,sc01,01-01 18:00:00+01:00,bus048,bus049,eac1,-0.14515255718994668
2030,sc01,01-01 18:00:00+01:00,bus037,bus040,eac1,-0.03069703415338232
2030,sc01,01-01 18:00:00+01:00,bus019,bus034,eac1,-0.01882261704170607
2030,sc01,01-01 18:00:00+01:00,bus114,bus115,eac1,0.06392314444615543
2030,sc01,01-01 18:00:00+01:00,bus023,bus024,eac1,-0.2031732131418952
2030,sc01,01-01 18:00:00+01:00,bus027,bus032,eac1,-0.07757310302092502
2030,sc01,01-01 18:00:00+01:00,bus040,bus042,eac1,-0.16722541015052525
2030,sc01,01-01 18:00:00+01:00,bus047,bus069,eac1,0.11343230237694046
2030,sc01,01-01 18:00:00+01:00,bus070,bus075,eac1,-0.03718252744044631
2030,sc01,01-01 18:00:00+01:00,bus045,bus046,eac1,-0.10289792017109911
2030,sc01,01-01 18:00:00+01:00,bus054,bus056,eac1,-0.16358022830906443
2030,sc01,01-01 18:00:00+01:00,bus051,bus058,eac1,-0.0902313904045905
2030,sc01,01-01 18:00:00+01:00,bus021,bus022,eac1,0.04683677351922266
2030,sc01,01-01 18:00:00+01:00,bus018,bus019,eac1,-0.02324652984313913
2030,sc01,01-01 18:00:00+01:00,bus003,bus012,eac1,-0.12274716949438724
2030,sc01,01-01 18:00:00+01:00,bus024,bus072,eac1,-0.10501777272563168
