Period,Scenario,LoadLevel,Unit,p.u.
2030,sc01,01-01 18:00:00+01:00,CT NG 14,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 73,1.0
2030,sc01,01-01 18:00:00+01:00,CC NG 13,1.0
2030,sc01,01-01 18:00:00+01:00,CC NG 12,1.0
2030,sc01,01-01 18:00:00+01:00,CC NG 37,1.0
2030,sc01,01-01 18:00:00+01:00,CC NG 27,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 47,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 15,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 49,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 35,1.0
2030,sc01,01-01 18:00:00+01:00,CC NG 28,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 74,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 22,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 72,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 04,1.0
2030,sc01,01-01 18:00:00+01:00,CT Oil 04,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 06,1.0
2030,sc01,01-01 18:00:00+01:00,ST NG 06,1.0
2030,sc01,01-01 18:00:00+01:00,CC NG 26,1.0
2030,sc01,01-01 18:00:00+01:00,CC NG 31,1.0
2030,sc01,01-01 18:00:00+01:00,ST NG 03,1.0
2030,sc01,01-01 18:00:00+01:00,ST NG 04,1.0
2030,sc01,01-01 18:00:00+01:00,ST NG 01,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 36,1.0
2030,sc01,01-01 18:00:00+01:00,CC NG 39,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 08,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 48,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 01,0.0
2030,sc01,01-01 18:00:00+01:00,CT NG 67,1.0
2030,sc01,01-01 18:00:00+01:00,CC NG 05,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 43,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 45,1.0
2030,sc01,01-01 18:00:00+01:00,CC NG 35,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 26,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 24,1.0
2030,sc01,01-01 18:00:00+01:00,CC NG 38,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 03,1.0
2030,sc01,01-01 18:00:00+01:00,CT NG 10,1.0
