Period,Scenario,LoadLevel,mEUR
2030,sc01,01-02 19:00:00+01:00,42603.04904383475
2030,sc01,01-04 00:00:00+01:00,1499.2097323798398
2030,sc01,01-06 16:00:00+01:00,14985.16695704147
2030,sc01,01-07 14:00:00+01:00,2294.694415102575
2030,sc01,01-09 04:00:00+01:00,4421.19342781469
2030,sc01,01-10 23:00:00+01:00,736.5504682868954
2030,sc01,01-12 10:00:00+01:00,4876.47206583965
2030,sc01,01-15 19:00:00+01:00,122194.1773450551
2030,sc01,01-16 01:00:00+01:00,73406.81720262878
2030,sc01,01-19 19:00:00+01:00,95670.53211913865
2030,sc01,01-21 08:00:00+01:00,665.6650903771572
2030,sc01,01-22 23:00:00+01:00,4769.997475013812
2030,sc01,01-25 08:00:00+01:00,6409.274055819845
2030,sc01,01-27 09:00:00+01:00,614.4272430441649
2030,sc01,01-28 06:00:00+01:00,8382.714240412713
2030,sc01,01-29 06:00:00+01:00,33603.81682331126
2030,sc01,02-01 21:00:00+01:00,6264.484485912555
2030,sc01,02-02 22:00:00+01:00,2946.2018731475814
2030,sc01,02-04 22:00:00+01:00,745.6403834336421
2030,sc01,02-05 06:00:00+01:00,2613.074523144419
2030,sc01,02-07 19:00:00+01:00,34039.97734729141
2030,sc01,02-09 16:00:00+01:00,13869.85459697329
2030,sc01,02-10 05:00:00+01:00,77877.3105472433
2030,sc01,02-12 19:00:00+01:00,14662.713243886315
2030,sc01,02-13 06:00:00+01:00,6994.328132521334
2030,sc01,02-14 22:00:00+01:00,7542.0182641517695
2030,sc01,02-15 06:00:00+01:00,14391.07912166264
2030,sc01,02-16 02:00:00+01:00,17669.6150745356
2030,sc01,02-17 10:00:00+01:00,585.6757021304179
2030,sc01,02-18 20:00:00+01:00,5600.800477179904
2030,sc01,02-19 19:00:00+01:00,23496.877266245214
2030,sc01,02-21 15:00:00+01:00,957.3223260642808
2030,sc01,02-22 06:00:00+01:00,3314.1956490183993
2030,sc01,02-23 11:00:00+01:00,541.5697879967046
2030,sc01,02-25 07:00:00+01:00,10478.511565740291
2030,sc01,02-26 01:00:00+01:00,689.7641409762876
2030,sc01,02-27 08:00:00+01:00,590.778289504527
2030,sc01,03-01 22:00:00+01:00,3592.5228427446573
2030,sc01,03-03 17:00:00+01:00,44501.35696649968
2030,sc01,03-06 09:00:00+01:00,2312.046623309584
2030,sc01,03-07 07:00:00+01:00,1073.416890331469
2030,sc01,03-08 07:00:00+01:00,2575.2319262798633
2030,sc01,03-10 01:00:00+01:00,2472.796441452626
2030,sc01,03-11 19:00:00+01:00,5428.937180016672
2030,sc01,03-12 07:00:00+01:00,692.7633006926402
2030,sc01,03-13 12:00:00+01:00,566.6047039701839
2030,sc01,03-14 18:00:00+01:00,28345.74916629378
2030,sc01,03-15 11:00:00+01:00,2790.7235599070627
2030,sc01,03-16 06:00:00+01:00,907.9827783966483
2030,sc01,03-17 15:00:00+01:00,2307.139281930974
2030,sc01,03-19 09:00:00+01:00,2291.3715224350735
2030,sc01,03-21 23:00:00+01:00,785.0129681418534
2030,sc01,03-22 18:00:00+01:00,10549.473432823153
2030,sc01,03-23 22:00:00+01:00,18236.17902830339
2030,sc01,03-24 09:00:00+01:00,607.5984384201915
2030,sc01,03-26 17:00:00+01:00,73524.95880398153
2030,sc01,03-27 20:00:00+01:00,14680.929483496282
2030,sc01,03-29 04:00:00+01:00,49655.94889782955
2030,sc01,03-31 03:00:00+02:00,2715.2110910892225
2030,sc01,04-03 19:00:00+02:00,86158.86575581637
2030,sc01,04-04 13:00:00+02:00,1070.5049309504873
2030,sc01,04-05 09:00:00+02:00,570.5258435328112
2030,sc01,04-06 02:00:00+02:00,703.933714392154
2030,sc01,04-07 09:00:00+02:00,722.5517163862613
2030,sc01,04-08 08:00:00+02:00,10876.070375742374
2030,sc01,04-09 10:00:00+02:00,592.9832809505785
2030,sc01,04-11 00:00:00+02:00,87208.67977586437
2030,sc01,04-14 00:00:00+02:00,45609.35708518102
2030,sc01,04-15 23:00:00+02:00,1112.309216691576
2030,sc01,04-16 00:00:00+02:00,2892.7317845449766
2030,sc01,04-18 17:00:00+02:00,7881.115685593051
2030,sc01,04-20 14:00:00+02:00,2472.45688890729
2030,sc01,04-21 21:00:00+02:00,3823.4390852851325
2030,sc01,04-22 17:00:00+02:00,28595.12241804709
2030,sc01,04-23 02:00:00+02:00,727.1932028300267
2030,sc01,04-25 18:00:00+02:00,53426.57252781318
2030,sc01,04-26 07:00:00+02:00,603.9074782562067
2030,sc01,04-28 09:00:00+02:00,5503.676201805974
2030,sc01,05-01 12:00:00+02:00,12282.03541862181
2030,sc01,05-03 21:00:00+02:00,11423.30433705898
2030,sc01,05-04 09:00:00+02:00,601.1820277425321
2030,sc01,05-05 09:00:00+02:00,751.9914391004688
2030,sc01,05-06 17:00:00+02:00,35486.949974023795
2030,sc01,05-07 06:00:00+02:00,5528.036396412111
2030,sc01,05-09 18:00:00+02:00,182288.65155919088
2030,sc01,05-11 01:00:00+02:00,3184.9354800453084
2030,sc01,05-13 19:00:00+02:00,42266.25867145844
2030,sc01,05-14 13:00:00+02:00,1786.3280820562395
2030,sc01,05-15 22:00:00+02:00,7217.401281872625
2030,sc01,05-16 06:00:00+02:00,780.2739451720341
2030,sc01,05-17 15:00:00+02:00,81681.06837030566
2030,sc01,05-19 06:00:00+02:00,6537.087862232679
2030,sc01,05-21 06:00:00+02:00,12386.433581381478
2030,sc01,05-22 17:00:00+02:00,44121.0273934899
2030,sc01,05-23 01:00:00+02:00,4021.2756092054374
2030,sc01,05-24 18:00:00+02:00,36610.79417446198
2030,sc01,05-25 06:00:00+02:00,1222.6646404718708
2030,sc01,05-27 11:00:00+02:00,3984.4036273975053
2030,sc01,05-28 18:00:00+02:00,31609.481740831805
2030,sc01,05-29 14:00:00+02:00,21554.54122372802
2030,sc01,05-30 05:00:00+02:00,833.0369658021737
2030,sc01,05-31 22:00:00+02:00,19434.65428943931
2030,sc01,06-02 12:00:00+02:00,855.6513284379729
2030,sc01,06-03 16:00:00+02:00,25727.550217273954
2030,sc01,06-04 19:00:00+02:00,40700.38461834441
2030,sc01,06-06 19:00:00+02:00,249440.39643272114
2030,sc01,06-07 08:00:00+02:00,7535.624771883683
2030,sc01,06-09 09:00:00+02:00,82221.04530786806
2030,sc01,06-11 06:00:00+02:00,8484.760957427294
2030,sc01,06-12 17:00:00+02:00,28908.2955241021
2030,sc01,06-13 15:00:00+02:00,30318.51405233051
2030,sc01,06-14 09:00:00+02:00,971.4829503988977
2030,sc01,06-15 00:00:00+02:00,26154.401473001704
2030,sc01,06-16 19:00:00+02:00,45705.36950453275
2030,sc01,06-17 14:00:00+02:00,29510.564798205436
2030,sc01,06-18 22:00:00+02:00,9900.059586344454
2030,sc01,06-19 19:00:00+02:00,25521.329364975292
2030,sc01,06-20 04:00:00+02:00,7571.024279575534
2030,sc01,06-23 21:00:00+02:00,97869.16915724671
2030,sc01,06-24 23:00:00+02:00,30527.893292824814
2030,sc01,06-25 15:00:00+02:00,37730.91300821708
2030,sc01,06-26 23:00:00+02:00,25020.087449315044
2030,sc01,06-27 20:00:00+02:00,58534.769342463274
2030,sc01,06-28 07:00:00+02:00,13801.774640965288
2030,sc01,06-29 17:00:00+02:00,58730.43128737643
2030,sc01,06-30 04:00:00+02:00,29696.17278293545
2030,sc01,07-01 07:00:00+02:00,12827.653044322522
2030,sc01,07-02 16:00:00+02:00,51457.57833086472
2030,sc01,07-03 19:00:00+02:00,63324.35916272561
2030,sc01,07-04 15:00:00+02:00,39205.26267815843
2030,sc01,07-05 02:00:00+02:00,30805.281779889207
2030,sc01,07-06 20:00:00+02:00,50236.20214460931
2030,sc01,07-07 03:00:00+02:00,23807.831044711664
2030,sc01,07-08 14:00:00+02:00,23664.16220002396
2030,sc01,07-09 16:00:00+02:00,35510.16748739025
2030,sc01,07-10 20:00:00+02:00,28800.983188620718
2030,sc01,07-11 04:00:00+02:00,8911.672724581544
2030,sc01,07-12 22:00:00+02:00,40287.86089647266
2030,sc01,07-13 09:00:00+02:00,50266.447608203256
2030,sc01,07-15 12:00:00+02:00,25743.204109139187
2030,sc01,07-16 21:00:00+02:00,33224.120339350964
2030,sc01,07-17 04:00:00+02:00,13317.31031544386
2030,sc01,07-18 03:00:00+02:00,14490.781358444434
2030,sc01,07-19 17:00:00+02:00,46011.62592326364
2030,sc01,07-21 00:00:00+02:00,111476.54027918416
2030,sc01,07-22 18:00:00+02:00,62598.0639726401
2030,sc01,07-24 04:00:00+02:00,143586.69212128455
2030,sc01,07-26 12:00:00+02:00,421594.07071821176
2030,sc01,07-28 23:00:00+02:00,28113.924126367343
2030,sc01,07-29 10:00:00+02:00,5671.565622135006
2030,sc01,07-30 12:00:00+02:00,30499.907961375153
2030,sc01,08-02 06:00:00+02:00,83194.50416349291
2030,sc01,08-05 10:00:00+02:00,51130.14335063833
2030,sc01,08-06 02:00:00+02:00,22499.129134655945
2030,sc01,08-08 00:00:00+02:00,144544.49920526944
2030,sc01,08-10 12:00:00+02:00,73910.21669199884
2030,sc01,08-12 19:00:00+02:00,197605.27969867355
2030,sc01,08-13 12:00:00+02:00,27762.344854988278
2030,sc01,08-14 07:00:00+02:00,16279.338438267718
2030,sc01,08-15 23:00:00+02:00,147095.90551087866
2030,sc01,08-17 07:00:00+02:00,11522.00407600169
2030,sc01,08-18 00:00:00+02:00,30922.914171034892
2030,sc01,08-19 00:00:00+02:00,24486.21532998142
2030,sc01,08-21 11:00:00+02:00,54859.26042890667
2030,sc01,08-22 04:00:00+02:00,33715.49414447376
2030,sc01,08-24 20:00:00+02:00,527308.1542946148
2030,sc01,08-27 08:00:00+02:00,39334.391744580054
2030,sc01,08-28 09:00:00+02:00,4733.0070402655865
2030,sc01,08-29 05:00:00+02:00,101696.39493566459
