Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-01 13:00:00+01:00,N_116,N_117,eac1,-0.010661048448017796
2030,sc01,01-01 13:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-01 13:00:00+01:00,N_115,N_121,eac1,-0.017862354959910787
2030,sc01,01-01 13:00:00+01:00,N_113,N_123,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_115,N_124,eac1,-0.07085069395802349
2030,sc01,01-01 13:00:00+01:00,N_115,N_116,cac1,-0.025912952591032823
2030,sc01,01-01 13:00:00+01:00,N_110,N_112,eac1,-0.029653419978106277
2030,sc01,01-01 13:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-01 13:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-01 13:00:00+01:00,N_109,N_111,eac1,0.007761774877047323
2030,sc01,01-01 13:00:00+01:00,N_103,N_124,eac1,0.07085069395802346
2030,sc01,01-01 13:00:00+01:00,N_117,N_118,eac1,-0.01735097902147964
2030,sc01,01-01 13:00:00+01:00,N_101,N_105,eac1,0.12105870428947033
2030,sc01,01-01 13:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-01 13:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-01 13:00:00+01:00,N_115,N_116,eac1,-0.025912952591032823
2030,sc01,01-01 13:00:00+01:00,N_118,N_121,eac1,0.003822932027112258
2030,sc01,01-01 13:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-01 13:00:00+01:00,N_118,N_121,cac3,0.015291728108449032
2030,sc01,01-01 13:00:00+01:00,N_111,N_114,eac1,0.06465282769871294
2030,sc01,01-01 13:00:00+01:00,N_119,N_120,eac1,0.013945403936736267
2030,sc01,01-01 13:00:00+01:00,N_107,N_108,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_117,N_122,cac1,-0.0006261525878252239
2030,sc01,01-01 13:00:00+01:00,N_110,N_111,eac1,-0.019081224824132104
2030,sc01,01-01 13:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_117,N_122,cac3,0.0
2030,sc01,01-01 13:00:00+01:00,N_120,N_123,eac1,-0.04280218635326366
2030,sc01,01-01 13:00:00+01:00,N_105,N_110,eac1,0.0895815252994703
2030,sc01,01-01 13:00:00+01:00,N_117,N_122,eac1,-0.0006261525878252239
2030,sc01,01-01 13:00:00+01:00,N_103,N_109,eac1,0.055884435628843016
2030,sc01,01-01 13:00:00+01:00,N_101,N_102,eac1,0.07132408799366322
2030,sc01,01-01 13:00:00+01:00,N_111,N_113,eac1,-0.060448727891703136
2030,sc01,01-01 13:00:00+01:00,N_112,N_123,eac1,0.009350283153089417
2030,sc01,01-01 13:00:00+01:00,N_114,N_116,eac1,-0.021355238821287092
2030,sc01,01-01 13:00:00+01:00,N_117,N_118,cac2,-0.03470195804295928
2030,sc01,01-01 13:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_102,N_106,eac1,0.0962880006640209
2030,sc01,01-01 13:00:00+01:00,N_121,N_122,eac1,0.0012523051756504477
2030,sc01,01-01 13:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-01 13:00:00+01:00,N_109,N_111,cac2,0.015523549754094645
2030,sc01,01-01 13:00:00+01:00,N_102,N_104,eac1,0.047552618939642355
2030,sc01,01-01 13:00:00+01:00,N_112,N_113,eac1,-0.04181412340812263
2030,sc01,01-01 13:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_116,N_119,eac1,-0.06420995667326368
2030,sc01,01-01 13:00:00+01:00,N_113,N_123,cac1,0.0
2030,sc01,01-01 13:00:00+01:00,N_113,N_123,eac1,0.03345190320017424
2030,sc01,01-01 13:00:00+01:00,N_113,N_123,cac3,0.0
2030,sc01,01-01 13:00:00+01:00,N_101,N_103,eac1,0.04373642841686648
2030,sc01,01-01 13:00:00+01:00,N_117,N_122,cac2,0.0
2030,sc01,01-01 13:00:00+01:00,N_107,N_108,cac1,-0.027708784314999985
2030,sc01,01-01 13:00:00+01:00,N_109,N_112,eac1,-0.0028104202769268505
2030,sc01,01-01 13:00:00+01:00,N_107,N_108,cac3,0.0
2030,sc01,01-01 13:00:00+01:00,N_108,N_110,eac1,-0.029729362135833354
2030,sc01,01-01 13:00:00+01:00,N_107,N_108,eac1,-0.027708784314999985
2030,sc01,01-01 13:00:00+01:00,N_108,N_109,eac1,-0.043370353504270376
