Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-03 17:00:00+01:00,N_117,N_122,eac1,-0.17958713770718415
2030,sc01,01-03 17:00:00+01:00,N_120,N_123,eac1,0.08573034190059037
2030,sc01,01-03 17:00:00+01:00,N_119,N_120,eac1,0.19260034380059032
2030,sc01,01-03 17:00:00+01:00,N_107,N_108,eac1,0.1629099771504319
2030,sc01,01-03 17:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,N_110,N_111,eac1,-0.1495695053129682
2030,sc01,01-03 17:00:00+01:00,N_103,N_124,eac1,-0.17015570631859567
2030,sc01,01-03 17:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,N_118,N_121,cac3,-0.2025228321726309
2030,sc01,01-03 17:00:00+01:00,N_114,N_116,eac1,-0.19334162109838327
2030,sc01,01-03 17:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,N_116,N_117,eac1,-0.1267816048807432
2030,sc01,01-03 17:00:00+01:00,N_105,N_110,eac1,-0.05295642288362132
2030,sc01,01-03 17:00:00+01:00,N_116,N_117,cac2,-0.2535632097614864
2030,sc01,01-03 17:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,N_101,N_105,eac1,0.005652249226378664
2030,sc01,01-03 17:00:00+01:00,N_112,N_113,eac1,-0.11437901888855317
2030,sc01,01-03 17:00:00+01:00,N_111,N_113,eac1,-0.05670952992199785
2030,sc01,01-03 17:00:00+01:00,N_115,N_124,eac1,0.1701557063185957
2030,sc01,01-03 17:00:00+01:00,N_115,N_121,eac1,-0.17500000000000002
2030,sc01,01-03 17:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,N_115,N_116,eac1,-0.13918107182399897
2030,sc01,01-03 17:00:00+01:00,N_106,N_110,eac1,-0.08779423478741825
2030,sc01,01-03 17:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,N_116,N_117,cac1,-0.1267816048807432
2030,sc01,01-03 17:00:00+01:00,N_116,N_119,eac1,0.09022685720059032
2030,sc01,01-03 17:00:00+01:00,N_108,N_110,eac1,0.03291004721599758
2030,sc01,01-03 17:00:00+01:00,N_111,N_114,eac1,-0.19334162109838327
2030,sc01,01-03 17:00:00+01:00,N_103,N_109,eac1,-0.012452929101924443
2030,sc01,01-03 17:00:00+01:00,N_117,N_118,eac1,-0.10917976060526285
2030,sc01,01-03 17:00:00+01:00,N_109,N_112,eac1,-0.06776331823651854
2030,sc01,01-03 17:00:00+01:00,N_108,N_109,eac1,0.007964732734434321
2030,sc01,01-03 17:00:00+01:00,N_116,N_117,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,N_121,N_122,eac1,-0.23638645589281593
2030,sc01,01-03 17:00:00+01:00,N_117,N_118,cac2,-0.2183595212105257
2030,sc01,01-03 17:00:00+01:00,N_102,N_106,eac1,0.004261619562581753
2030,sc01,01-03 17:00:00+01:00,N_102,N_104,eac1,-0.05817531248644184
2030,sc01,01-03 17:00:00+01:00,N_113,N_123,eac1,-0.015494864710551032
2030,sc01,01-03 17:00:00+01:00,N_104,N_109,eac1,-0.01196701617644183
2030,sc01,01-03 17:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,N_109,N_111,eac1,-0.10048164570741286
2030,sc01,01-03 17:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,N_101,N_103,eac1,-0.03236273645251822
2030,sc01,01-03 17:00:00+01:00,N_110,N_112,eac1,-0.11685117784207388
2030,sc01,01-03 17:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,N_118,N_121,eac1,-0.050630708043157724
2030,sc01,01-03 17:00:00+01:00,N_101,N_102,eac1,0.021214616376139722
2030,sc01,01-03 17:00:00+01:00,N_112,N_123,eac1,-0.07023547719003928
2030,sc01,01-03 17:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-04 09:00:00+01:00,N_117,N_122,eac1,-0.36504162416759445
2030,sc01,01-04 09:00:00+01:00,N_120,N_123,eac1,0.13311003909344254
2030,sc01,01-04 09:00:00+01:00,N_119,N_120,eac1,0.23460604059344248
2030,sc01,01-04 09:00:00+01:00,N_107,N_108,eac1,0.17500000000000002
2030,sc01,01-04 09:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-04 09:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-04 09:00:00+01:00,N_117,N_118,cac3,0.0
