Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-03 17:00:00+01:00,N_104,N_109,eac1,-0.006850317085862534
2030,sc01,01-03 17:00:00+01:00,N_101,N_102,eac1,0.030992120053175587
2030,sc01,01-03 17:00:00+01:00,N_114,N_116,eac1,-0.17665499508866989
2030,sc01,01-03 17:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,N_121,N_122,eac1,-0.2130631137168727
2030,sc01,01-03 17:00:00+01:00,N_118,N_121,eac1,-0.038063113716872654
2030,sc01,01-03 17:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,N_105,N_110,eac1,-0.04535942948552518
2030,sc01,01-03 17:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,N_101,N_105,eac1,0.013249242624474827
2030,sc01,01-03 17:00:00+01:00,N_112,N_113,eac1,-0.10965725847608909
2030,sc01,01-03 17:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,N_115,N_124,eac1,0.17500000000000002
2030,sc01,01-03 17:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,N_110,N_112,eac1,-0.11121974086924469
2030,sc01,01-03 17:00:00+01:00,N_103,N_124,eac1,-0.17500000000000002
2030,sc01,01-03 17:00:00+01:00,N_120,N_123,eac1,0.07453401253173719
2030,sc01,01-03 17:00:00+01:00,N_109,N_111,eac1,-0.09217160499095889
2030,sc01,01-03 17:00:00+01:00,N_111,N_114,eac1,-0.17665499508866989
2030,sc01,01-03 17:00:00+01:00,N_113,N_123,eac1,-0.010815402004937053
2030,sc01,01-03 17:00:00+01:00,N_109,N_112,eac1,-0.06215612813364452
2030,sc01,01-03 17:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,N_102,N_106,eac1,0.0089224241490381
2030,sc01,01-03 17:00:00+01:00,N_102,N_104,eac1,-0.05305861339586253
2030,sc01,01-03 17:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,N_116,N_117,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,N_111,N_113,eac1,-0.056751827628848006
2030,sc01,01-03 17:00:00+01:00,N_110,N_111,eac1,-0.141235217726559
2030,sc01,01-03 17:00:00+01:00,N_116,N_117,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,N_115,N_116,eac1,0.06568782691964092
2030,sc01,01-03 17:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,N_112,N_123,eac1,-0.06371861052680014
2030,sc01,01-03 17:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,N_108,N_109,eac1,0.00968498100741949
2030,sc01,01-03 17:00:00+01:00,N_106,N_110,eac1,-0.08313343020096191
2030,sc01,01-03 17:00:00+01:00,N_107,N_108,eac1,0.16633815199810278
2030,sc01,01-03 17:00:00+01:00,N_116,N_119,eac1,0.07903052783173714
2030,sc01,01-03 17:00:00+01:00,N_116,N_117,eac1,-0.27437456540076544
2030,sc01,01-03 17:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,N_101,N_103,eac1,-0.030126746678160538
2030,sc01,01-03 17:00:00+01:00,N_119,N_120,eac1,0.18140401443173715
2030,sc01,01-03 17:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,N_115,N_121,eac1,-0.17500000000000002
2030,sc01,01-03 17:00:00+01:00,N_117,N_118,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,N_103,N_109,eac1,-0.005372645646160523
2030,sc01,01-03 17:00:00+01:00,N_117,N_122,eac1,-0.16192571008389278
2030,sc01,01-03 17:00:00+01:00,N_108,N_110,eac1,0.034617973790683265
2030,sc01,01-03 17:00:00+01:00,N_117,N_118,eac1,-0.11244885531687265
2030,sc01,01-03 17:00:00+01:00,N_118,N_121,cac3,0.0
2030,sc01,01-04 08:00:00+01:00,N_104,N_109,eac1,-0.03816892178919307
2030,sc01,01-04 08:00:00+01:00,N_101,N_102,eac1,-0.06349255867063291
2030,sc01,01-04 08:00:00+01:00,N_114,N_116,eac1,-0.17962400013756552
2030,sc01,01-04 08:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-04 08:00:00+01:00,N_121,N_122,eac1,-0.37407801253871287
2030,sc01,01-04 08:00:00+01:00,N_118,N_121,eac1,-0.19907801253871282
2030,sc01,01-04 08:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-04 08:00:00+01:00,N_105,N_110,eac1,-0.039999828623521944
2030,sc01,01-04 08:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-04 08:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-04 08:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-04 08:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-04 08:00:00+01:00,N_101,N_105,eac1,0.010335130696478068
2030,sc01,01-04 08:00:00+01:00,N_112,N_113,eac1,-0.0030631942085717068
2030,sc01,01-04 08:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-04 08:00:00+01:00,N_115,N_124,eac1,0.17500000000000002
2030,sc01,01-04 08:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-04 08:00:00+01:00,N_110,N_112,eac1,-0.10638571568254446
2030,sc01,01-04 08:00:00+01:00,N_103,N_124,eac1,-0.17500000000000002
