,Weight
sti1,189
sti10,1
sti11,3
sti12,16
sti13,4
sti14,1968
sti15,45
sti16,55
sti17,58
sti18,143
sti19,94
sti2,93
sti20,153
sti21,67
sti22,33
sti23,71
sti24,119
sti25,2
sti26,116
sti27,34
sti28,139
sti29,114
sti3,231
sti30,55
sti31,54
sti32,169
sti33,103
sti34,103
sti35,57
sti36,8
sti37,1
sti38,197
sti39,29
sti4,30
sti40,57
sti41,111
sti42,1
sti43,97
sti44,327
sti45,176
sti46,82
sti47,5
sti48,74
sti49,20
sti5,1
sti50,50
sti51,42
sti52,85
sti53,48
sti54,8
sti55,108
sti56,89
sti57,14
sti58,114
sti6,2083
sti7,38
sti8,14
sti9,134
stp1,127
stp2,276
stp3,1
