Period,Scenario,LoadLevel,mEUR
2030,sc01,01-07 08:00:00+01:00,10020.485977775928
2030,sc01,01-11 16:00:00+01:00,14065.225771310723
2030,sc01,01-11 17:00:00+01:00,325.84399512703294
2030,sc01,01-14 15:00:00+01:00,73828.30636208112
2030,sc01,01-14 17:00:00+01:00,4976.334955043984
2030,sc01,01-17 08:00:00+01:00,2116.677229870151
2030,sc01,01-17 10:00:00+01:00,732.55262703448
2030,sc01,01-21 09:00:00+01:00,15435.222882798318
2030,sc01,01-28 09:00:00+01:00,5590.990668898532
2030,sc01,01-29 16:00:00+01:00,44213.44390005015
2030,sc01,01-30 08:00:00+01:00,226.59037553343214
2030,sc01,01-30 09:00:00+01:00,1211.6017248065102
2030,sc01,01-31 08:00:00+01:00,473.0360908218335
2030,sc01,01-31 09:00:00+01:00,451.50199262752614
2030,sc01,01-31 16:00:00+01:00,48.81183270546346
2030,sc01,02-01 10:00:00+01:00,1686.1901591674932
2030,sc01,02-01 16:00:00+01:00,20756.193217931967
2030,sc01,02-05 08:00:00+01:00,1575.2852134018613
2030,sc01,02-11 17:00:00+01:00,656.7496847720502
2030,sc01,02-13 11:00:00+01:00,14945.586900954528
2030,sc01,02-13 18:00:00+01:00,1384.4059355332624
2030,sc01,02-18 07:00:00+01:00,141.97129820212018
2030,sc01,02-20 17:00:00+01:00,18723.387955052523
2030,sc01,03-03 11:00:00+01:00,75944.90161642134
2030,sc01,03-08 14:00:00+01:00,72278.69515848636
2030,sc01,03-19 18:00:00+01:00,360801.7542504472
2030,sc01,03-20 00:00:00+01:00,1436278.0586068556
2030,sc01,03-21 08:00:00+01:00,302356.46564073686
2030,sc01,04-03 19:00:00+02:00,68061.9275269462
2030,sc01,04-09 18:00:00+02:00,64707.378908999235
2030,sc01,04-10 06:00:00+02:00,16914.153900744648
2030,sc01,04-10 17:00:00+02:00,84526.17818204785
2030,sc01,04-16 08:00:00+02:00,17193.559024018505
2030,sc01,04-17 09:00:00+02:00,114938.04309140047
2030,sc01,05-01 18:00:00+02:00,2245.419817669622
2030,sc01,05-12 20:00:00+02:00,100114.62944460321
2030,sc01,06-06 19:00:00+02:00,6609.337326364382
2030,sc01,06-07 05:00:00+02:00,446274.12267186417
2030,sc01,06-23 00:00:00+02:00,671704.8440490064
2030,sc01,06-24 16:00:00+02:00,128370.06081602167
2030,sc01,06-26 20:00:00+02:00,98724.41506694003
2030,sc01,06-27 04:00:00+02:00,11023.816025526157
2030,sc01,07-03 20:00:00+02:00,4701.7552020109315
2030,sc01,07-06 07:00:00+02:00,123840.56829443853
2030,sc01,07-19 06:00:00+02:00,322042.7797806532
2030,sc01,07-19 13:00:00+02:00,48.99014043098436
2030,sc01,07-23 20:00:00+02:00,98468.06583332761
2030,sc01,07-23 21:00:00+02:00,69111.89333432954
2030,sc01,08-02 14:00:00+02:00,184172.7249248659
2030,sc01,08-12 18:00:00+02:00,9625.922776359463
2030,sc01,08-20 15:00:00+02:00,4433.32084940999
2030,sc01,08-21 06:00:00+02:00,71645.47029281169
2030,sc01,08-22 20:00:00+02:00,122561.42693042231
2030,sc01,08-27 17:00:00+02:00,310917.72294918774
2030,sc01,09-04 07:00:00+02:00,1504.5475356878121
2030,sc01,09-11 19:00:00+02:00,160318.8279476952
2030,sc01,10-08 09:00:00+02:00,5619.7780879418615
2030,sc01,10-18 00:00:00+02:00,1496811.637003402
2030,sc01,10-18 14:00:00+02:00,104939.03234271334
2030,sc01,11-02 17:00:00+01:00,8406.414174507883
2030,sc01,11-04 12:00:00+01:00,77177.2180310391
2030,sc01,11-08 13:00:00+01:00,474414.8553345759
2030,sc01,11-15 16:00:00+01:00,1793.2037942466902
2030,sc01,11-20 19:00:00+01:00,28403.717653480104
2030,sc01,11-29 16:00:00+01:00,16931.535028176088
2030,sc01,12-02 16:00:00+01:00,721.5131137745416
2030,sc01,12-09 08:00:00+01:00,2674.676710827174
2030,sc01,12-13 13:00:00+01:00,52086.16682544124
2030,sc01,12-14 13:00:00+01:00,1585.6832128156357
2030,sc01,12-19 09:00:00+01:00,14621.55980015885
