Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,01-06 12:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-06 12:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-06 12:00:00+01:00,113_CT_4,0.0
2030,sc01,01-06 12:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-06 12:00:00+01:00,115_STEAM_3,0.0
2030,sc01,01-06 12:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-06 12:00:00+01:00,102_CT_1,0.0
2030,sc01,01-06 12:00:00+01:00,113_CT_1,0.0
2030,sc01,01-06 12:00:00+01:00,123_CT_1,0.0
2030,sc01,01-06 12:00:00+01:00,123_CT_4,0.0
2030,sc01,01-06 12:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-06 12:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-06 12:00:00+01:00,101_CT_2,0.0
2030,sc01,01-06 12:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-06 12:00:00+01:00,107_CC_1,53.53993095523712
2030,sc01,01-06 12:00:00+01:00,113_CT_3,0.0
2030,sc01,01-06 12:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-06 12:00:00+01:00,118_CC_1,33.09440381795
2030,sc01,01-06 12:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-06 12:00:00+01:00,101_STEAM_3,0.0
2030,sc01,01-06 12:00:00+01:00,123_CT_5,0.0
2030,sc01,01-06 12:00:00+01:00,102_CT_2,0.0
2030,sc01,01-06 12:00:00+01:00,101_CT_1,0.0
2030,sc01,01-06 12:00:00+01:00,113_CT_2,0.0
2030,sc01,01-08 03:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-08 03:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-08 03:00:00+01:00,113_CT_4,0.0
2030,sc01,01-08 03:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-08 03:00:00+01:00,115_STEAM_3,0.0
2030,sc01,01-08 03:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-08 03:00:00+01:00,102_CT_1,0.0
2030,sc01,01-08 03:00:00+01:00,113_CT_1,0.0
2030,sc01,01-08 03:00:00+01:00,123_CT_1,0.0
2030,sc01,01-08 03:00:00+01:00,123_CT_4,0.0
2030,sc01,01-08 03:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-08 03:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-08 03:00:00+01:00,101_CT_2,0.0
2030,sc01,01-08 03:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-08 03:00:00+01:00,107_CC_1,0.0
2030,sc01,01-08 03:00:00+01:00,113_CT_3,0.0
2030,sc01,01-08 03:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-08 03:00:00+01:00,118_CC_1,0.0
2030,sc01,01-08 03:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-08 03:00:00+01:00,101_STEAM_3,0.0
2030,sc01,01-08 03:00:00+01:00,123_CT_5,0.0
2030,sc01,01-08 03:00:00+01:00,102_CT_2,0.0
2030,sc01,01-08 03:00:00+01:00,101_CT_1,0.0
2030,sc01,01-08 03:00:00+01:00,113_CT_2,0.0
2030,sc01,01-08 16:00:00+01:00,102_STEAM_4,26.684318797359996
2030,sc01,01-08 16:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-08 16:00:00+01:00,113_CT_4,0.0
2030,sc01,01-08 16:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-08 16:00:00+01:00,115_STEAM_3,113.2318642313947
2030,sc01,01-08 16:00:00+01:00,101_STEAM_4,26.684318797359996
2030,sc01,01-08 16:00:00+01:00,102_CT_1,0.0
2030,sc01,01-08 16:00:00+01:00,113_CT_1,0.0
2030,sc01,01-08 16:00:00+01:00,123_CT_1,0.0
2030,sc01,01-08 16:00:00+01:00,123_CT_4,0.0
2030,sc01,01-08 16:00:00+01:00,102_STEAM_3,19.570798921041582
2030,sc01,01-08 16:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-08 16:00:00+01:00,101_CT_2,0.0
2030,sc01,01-08 16:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-08 16:00:00+01:00,107_CC_1,55.54591447465344
2030,sc01,01-08 16:00:00+01:00,113_CT_3,0.0
2030,sc01,01-08 16:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-08 16:00:00+01:00,118_CC_1,2.713402118757091
2030,sc01,01-08 16:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-08 16:00:00+01:00,101_STEAM_3,26.684318797359996
2030,sc01,01-08 16:00:00+01:00,123_CT_5,0.0
2030,sc01,01-08 16:00:00+01:00,102_CT_2,0.0
2030,sc01,01-08 16:00:00+01:00,101_CT_1,0.0
2030,sc01,01-08 16:00:00+01:00,113_CT_2,0.0
2030,sc01,01-09 17:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-09 17:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-09 17:00:00+01:00,113_CT_4,0.0
2030,sc01,01-09 17:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-09 17:00:00+01:00,115_STEAM_3,64.01114184254105
2030,sc01,01-09 17:00:00+01:00,101_STEAM_4,26.684318797359996
2030,sc01,01-09 17:00:00+01:00,102_CT_1,0.0
2030,sc01,01-09 17:00:00+01:00,113_CT_1,0.0
2030,sc01,01-09 17:00:00+01:00,123_CT_1,0.0
2030,sc01,01-09 17:00:00+01:00,123_CT_4,0.0
2030,sc01,01-09 17:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-09 17:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-09 17:00:00+01:00,101_CT_2,0.0
2030,sc01,01-09 17:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-09 17:00:00+01:00,107_CC_1,57.45007418733545
2030,sc01,01-09 17:00:00+01:00,113_CT_3,0.0
2030,sc01,01-09 17:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-09 17:00:00+01:00,118_CC_1,0.0
2030,sc01,01-09 17:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-09 17:00:00+01:00,101_STEAM_3,25.92405744340293
2030,sc01,01-09 17:00:00+01:00,123_CT_5,0.0
2030,sc01,01-09 17:00:00+01:00,102_CT_2,0.0
2030,sc01,01-09 17:00:00+01:00,101_CT_1,0.0
2030,sc01,01-09 17:00:00+01:00,113_CT_2,0.0
2030,sc01,01-10 19:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-10 19:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-10 19:00:00+01:00,113_CT_4,0.0
2030,sc01,01-10 19:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-10 19:00:00+01:00,115_STEAM_3,0.0
2030,sc01,01-10 19:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-10 19:00:00+01:00,102_CT_1,0.0
2030,sc01,01-10 19:00:00+01:00,113_CT_1,0.0
2030,sc01,01-10 19:00:00+01:00,123_CT_1,0.0
2030,sc01,01-10 19:00:00+01:00,123_CT_4,0.0
2030,sc01,01-10 19:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-10 19:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-10 19:00:00+01:00,101_CT_2,0.0
2030,sc01,01-10 19:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-10 19:00:00+01:00,107_CC_1,13.983323448197726
2030,sc01,01-10 19:00:00+01:00,113_CT_3,0.0
2030,sc01,01-10 19:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-10 19:00:00+01:00,118_CC_1,0.0
2030,sc01,01-10 19:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-10 19:00:00+01:00,101_STEAM_3,0.0
2030,sc01,01-10 19:00:00+01:00,123_CT_5,0.0
2030,sc01,01-10 19:00:00+01:00,102_CT_2,0.0
2030,sc01,01-10 19:00:00+01:00,101_CT_1,0.0
2030,sc01,01-10 19:00:00+01:00,113_CT_2,0.0
2030,sc01,01-11 09:00:00+01:00,102_STEAM_4,26.684318797359996
2030,sc01,01-11 09:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-11 09:00:00+01:00,113_CT_4,0.0
2030,sc01,01-11 09:00:00+01:00,123_STEAM_3,81.10132396689818
2030,sc01,01-11 09:00:00+01:00,115_STEAM_3,83.33639931508274
2030,sc01,01-11 09:00:00+01:00,101_STEAM_4,26.684318797359996
2030,sc01,01-11 09:00:00+01:00,102_CT_1,0.0
2030,sc01,01-11 09:00:00+01:00,113_CT_1,0.0
2030,sc01,01-11 09:00:00+01:00,123_CT_1,0.0
2030,sc01,01-11 09:00:00+01:00,123_CT_4,0.0
2030,sc01,01-11 09:00:00+01:00,102_STEAM_3,26.684318797359996
2030,sc01,01-11 09:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-11 09:00:00+01:00,101_CT_2,0.0
2030,sc01,01-11 09:00:00+01:00,123_STEAM_2,21.324525440640002
2030,sc01,01-11 09:00:00+01:00,107_CC_1,52.26556936239638
2030,sc01,01-11 09:00:00+01:00,113_CT_3,0.0
2030,sc01,01-11 09:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-11 09:00:00+01:00,118_CC_1,0.0
2030,sc01,01-11 09:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-11 09:00:00+01:00,101_STEAM_3,26.684318797359996
2030,sc01,01-11 09:00:00+01:00,123_CT_5,0.0
2030,sc01,01-11 09:00:00+01:00,102_CT_2,0.0
2030,sc01,01-11 09:00:00+01:00,101_CT_1,0.0
2030,sc01,01-11 09:00:00+01:00,113_CT_2,0.0
2030,sc01,01-11 19:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-11 19:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-11 19:00:00+01:00,113_CT_4,0.0
2030,sc01,01-11 19:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-11 19:00:00+01:00,115_STEAM_3,0.0
2030,sc01,01-11 19:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-11 19:00:00+01:00,102_CT_1,0.0
2030,sc01,01-11 19:00:00+01:00,113_CT_1,0.0
2030,sc01,01-11 19:00:00+01:00,123_CT_1,0.0
2030,sc01,01-11 19:00:00+01:00,123_CT_4,0.0
2030,sc01,01-11 19:00:00+01:00,102_STEAM_3,0.0
