Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-01 14:00:00+01:00,Battery,0.0
2030,sc01,01-01 14:00:00+01:00,Oil,0.0
2030,sc01,01-01 14:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-01 14:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 14:00:00+01:00,Wind,13.788915474285984
2030,sc01,01-01 14:00:00+01:00,Solar,7.026125926393999
2030,sc01,01-01 14:00:00+01:00,Hydro,0.0
2030,sc01,01-01 14:00:00+01:00,Gas,0.0
2030,sc01,01-01 14:00:00+01:00,Coal,0.0
2030,sc01,01-01 19:00:00+01:00,Battery,0.0
2030,sc01,01-01 19:00:00+01:00,Oil,0.0
2030,sc01,01-01 19:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-01 19:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 19:00:00+01:00,Wind,0.0
2030,sc01,01-01 19:00:00+01:00,Solar,30.347979569400003
2030,sc01,01-01 19:00:00+01:00,Hydro,0.0
2030,sc01,01-01 19:00:00+01:00,Gas,0.0
2030,sc01,01-01 19:00:00+01:00,Coal,0.0
2030,sc01,01-02 10:00:00+01:00,Battery,0.0
2030,sc01,01-02 10:00:00+01:00,Oil,0.0
2030,sc01,01-02 10:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-02 10:00:00+01:00,Nuclear,4.171680024385093
2030,sc01,01-02 10:00:00+01:00,Wind,14.668296016955384
2030,sc01,01-02 10:00:00+01:00,Solar,6.882222029387998
2030,sc01,01-02 10:00:00+01:00,Hydro,0.0
2030,sc01,01-02 10:00:00+01:00,Gas,1.4535558757226144
2030,sc01,01-02 10:00:00+01:00,Coal,3.531006923268855
2030,sc01,01-03 18:00:00+01:00,Battery,0.0
2030,sc01,01-03 18:00:00+01:00,Oil,0.0
2030,sc01,01-03 18:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-03 18:00:00+01:00,Nuclear,0.4046808759755238
2030,sc01,01-03 18:00:00+01:00,Wind,2.3101460063999997
2030,sc01,01-03 18:00:00+01:00,Solar,5.828608915309782
2030,sc01,01-03 18:00:00+01:00,Hydro,0.0
2030,sc01,01-03 18:00:00+01:00,Gas,0.07235901399469064
2030,sc01,01-03 18:00:00+01:00,Coal,0.0
2030,sc01,01-03 19:00:00+01:00,Battery,0.0
2030,sc01,01-03 19:00:00+01:00,Oil,0.0
2030,sc01,01-03 19:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-03 19:00:00+01:00,Nuclear,0.014702252709584196
2030,sc01,01-03 19:00:00+01:00,Wind,0.6629338356
2030,sc01,01-03 19:00:00+01:00,Solar,1.3860137977202445
2030,sc01,01-03 19:00:00+01:00,Hydro,0.0
2030,sc01,01-03 19:00:00+01:00,Gas,0.043804646430171734
2030,sc01,01-03 19:00:00+01:00,Coal,0.0
2030,sc01,01-04 02:00:00+01:00,Battery,0.0
2030,sc01,01-04 02:00:00+01:00,Oil,0.0
2030,sc01,01-04 02:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-04 02:00:00+01:00,Nuclear,0.0
2030,sc01,01-04 02:00:00+01:00,Wind,0.0
2030,sc01,01-04 02:00:00+01:00,Solar,29.33929992864
2030,sc01,01-04 02:00:00+01:00,Hydro,0.0
2030,sc01,01-04 02:00:00+01:00,Gas,0.0
2030,sc01,01-04 02:00:00+01:00,Coal,0.0
2030,sc01,01-04 10:00:00+01:00,Battery,0.0
2030,sc01,01-04 10:00:00+01:00,Oil,0.0
2030,sc01,01-04 10:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-04 10:00:00+01:00,Nuclear,6.32743010968057
2030,sc01,01-04 10:00:00+01:00,Wind,15.671113875733365
2030,sc01,01-04 10:00:00+01:00,Solar,5.950739480039999
2030,sc01,01-04 10:00:00+01:00,Hydro,0.0
2030,sc01,01-04 10:00:00+01:00,Gas,4.94869203
2030,sc01,01-04 10:00:00+01:00,Coal,7.863551205966039
2030,sc01,01-08 03:00:00+01:00,Battery,0.0
2030,sc01,01-08 03:00:00+01:00,Oil,0.0
2030,sc01,01-08 03:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-08 03:00:00+01:00,Nuclear,0.0
2030,sc01,01-08 03:00:00+01:00,Wind,0.0
2030,sc01,01-08 03:00:00+01:00,Solar,47.376573314160034
2030,sc01,01-08 03:00:00+01:00,Hydro,0.0
2030,sc01,01-08 03:00:00+01:00,Gas,0.0
2030,sc01,01-08 03:00:00+01:00,Coal,0.0
2030,sc01,01-08 18:00:00+01:00,Battery,0.0
2030,sc01,01-08 18:00:00+01:00,Oil,0.0
2030,sc01,01-08 18:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-08 18:00:00+01:00,Nuclear,0.0
2030,sc01,01-08 18:00:00+01:00,Wind,0.7922896743037304
2030,sc01,01-08 18:00:00+01:00,Solar,1.592167042224
2030,sc01,01-08 18:00:00+01:00,Hydro,0.0
2030,sc01,01-08 18:00:00+01:00,Gas,0.0313710314310954
2030,sc01,01-08 18:00:00+01:00,Coal,0.04100995101117513
2030,sc01,01-08 20:00:00+01:00,Battery,0.0
2030,sc01,01-08 20:00:00+01:00,Oil,0.0
2030,sc01,01-08 20:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-08 20:00:00+01:00,Nuclear,0.0
2030,sc01,01-08 20:00:00+01:00,Wind,0.7105498049221428
