Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-01 00:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-01 00:00:00+01:00,N_103,N_124,eac1,-0.0986884793485231
2030,sc01,01-01 00:00:00+01:00,N_108,N_110,eac1,0.050940237113113185
2030,sc01,01-01 00:00:00+01:00,N_118,N_121,cac3,0.0
2030,sc01,01-01 00:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-01 00:00:00+01:00,N_101,N_103,eac1,-0.014464009648623183
2030,sc01,01-01 00:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-01 00:00:00+01:00,N_121,N_122,eac1,-0.2884900818563783
2030,sc01,01-01 00:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-01 00:00:00+01:00,N_117,N_122,eac1,-0.22219932722196478
2030,sc01,01-01 00:00:00+01:00,N_120,N_123,eac1,0.061939779484938895
2030,sc01,01-01 00:00:00+01:00,N_112,N_113,eac1,-0.005097127913996358
2030,sc01,01-01 00:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-01 00:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-01 00:00:00+01:00,N_116,N_117,eac1,-0.28459991656434325
2030,sc01,01-01 00:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-01 00:00:00+01:00,N_119,N_120,eac1,0.12552069076693884
2030,sc01,01-01 00:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-01 00:00:00+01:00,N_109,N_112,eac1,-0.00372176896297971
2030,sc01,01-01 00:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-01 00:00:00+01:00,N_118,N_121,eac1,-0.11349008185637832
2030,sc01,01-01 00:00:00+01:00,N_111,N_114,eac1,-0.09493239254349511
2030,sc01,01-01 00:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-01 00:00:00+01:00,N_109,N_111,eac1,-0.020823152040838844
2030,sc01,01-01 00:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-01 00:00:00+01:00,N_104,N_109,eac1,-0.0054942736625283595
2030,sc01,01-01 00:00:00+01:00,N_113,N_123,eac1,-0.03135313713565738
2030,sc01,01-01 00:00:00+01:00,N_109,N_111,cac2,0.0
