Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-16 18:00:00+01:00,N_112,N_113,eac1,-0.13009258151980652
2030,sc01,01-16 18:00:00+01:00,N_109,N_111,eac1,-0.1165559629097972
2030,sc01,01-16 18:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-16 18:00:00+01:00,N_117,N_118,eac1,-0.10138942908052684
2030,sc01,01-16 18:00:00+01:00,N_101,N_105,eac1,0.05059977958407863
2030,sc01,01-16 18:00:00+01:00,N_120,N_123,eac1,0.15647156128300177
2030,sc01,01-16 18:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-16 18:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-16 18:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-16 18:00:00+01:00,N_110,N_111,eac1,-0.19225642734081025
2030,sc01,01-16 18:00:00+01:00,N_119,N_120,eac1,0.2786333615830018
2030,sc01,01-16 18:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-16 18:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-16 18:00:00+01:00,N_101,N_103,eac1,-0.08758103448393646
2030,sc01,01-16 18:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-16 18:00:00+01:00,N_117,N_118,cac2,-0.20277885816105412
2030,sc01,01-16 18:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-16 18:00:00+01:00,N_106,N_110,eac1,-0.06889574349649757
2030,sc01,01-16 18:00:00+01:00,N_111,N_114,eac1,-0.24127447899681925
2030,sc01,01-16 18:00:00+01:00,N_116,N_117,eac1,-0.15050665615596792
2030,sc01,01-16 18:00:00+01:00,N_116,N_117,cac3,-0.6020266246238721
2030,sc01,01-16 18:00:00+01:00,N_109,N_112,eac1,-0.08106606654910031
2030,sc01,01-16 18:00:00+01:00,N_110,N_112,eac1,-0.15676653098011334
2030,sc01,01-16 18:00:00+01:00,N_112,N_123,eac1,-0.10774001600940712
2030,sc01,01-16 18:00:00+01:00,N_115,N_116,eac1,-0.09071413240001891
2030,sc01,01-16 18:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-16 18:00:00+01:00,N_105,N_110,eac1,-0.007777998175921369
2030,sc01,01-16 18:00:00+01:00,N_104,N_109,eac1,-0.04259967343964427
2030,sc01,01-16 18:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-16 18:00:00+01:00,N_102,N_106,eac1,0.04423068960350243
2030,sc01,01-16 18:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-16 18:00:00+01:00,N_116,N_117,cac1,0.0
2030,sc01,01-16 18:00:00+01:00,N_108,N_109,eac1,-0.12879746485342278
2030,sc01,01-16 18:00:00+01:00,N_103,N_124,eac1,-0.13478224631810598
2030,sc01,01-16 18:00:00+01:00,N_117,N_122,eac1,-0.34697556445773037
2030,sc01,01-16 18:00:00+01:00,N_118,N_121,eac1,-0.06361063074442153
2030,sc01,01-16 18:00:00+01:00,N_116,N_119,eac1,0.1724986069830019
2030,sc01,01-16 18:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-16 18:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-16 18:00:00+01:00,N_118,N_121,cac3,-0.2544425229776861
2030,sc01,01-16 18:00:00+01:00,N_111,N_113,eac1,-0.06753791125378816
2030,sc01,01-16 18:00:00+01:00,N_102,N_104,eac1,0.01886674895235574
2030,sc01,01-16 18:00:00+01:00,N_113,N_123,eac1,-0.04873154527359466
2030,sc01,01-16 18:00:00+01:00,N_117,N_118,cac1,-0.10138942908052684
2030,sc01,01-16 18:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-16 18:00:00+01:00,N_103,N_109,eac1,0.1322246189341695
2030,sc01,01-16 18:00:00+01:00,N_115,N_124,eac1,0.134782246318106
2030,sc01,01-16 18:00:00+01:00,N_114,N_116,eac1,-0.40470937489681924
2030,sc01,01-16 18:00:00+01:00,N_121,N_122,eac1,-0.4930531537221077
2030,sc01,01-16 18:00:00+01:00,N_107,N_108,eac1,-0.06961920430192738
2030,sc01,01-16 18:00:00+01:00,N_101,N_102,eac1,-0.052893222044141805
2030,sc01,01-16 18:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-16 18:00:00+01:00,N_108,N_110,eac1,-0.0903282403485046
2030,sc01,01-16 18:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-16 18:00:00+01:00,N_115,N_121,eac1,-0.17500000000000002
2030,sc01,01-17 16:00:00+01:00,N_112,N_113,eac1,0.01707984226864656
2030,sc01,01-17 16:00:00+01:00,N_109,N_111,eac1,-0.05243682223109847
2030,sc01,01-17 16:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-17 16:00:00+01:00,N_117,N_118,eac1,-0.11792709527324696
2030,sc01,01-17 16:00:00+01:00,N_101,N_105,eac1,0.0867590040859372
2030,sc01,01-17 16:00:00+01:00,N_120,N_123,eac1,0.14684686759514198
2030,sc01,01-17 16:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-17 16:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-17 16:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-17 16:00:00+01:00,N_110,N_111,eac1,-0.09359840469234237
2030,sc01,01-17 16:00:00+01:00,N_119,N_120,eac1,0.26119166949514194
2030,sc01,01-17 16:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-17 16:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-17 16:00:00+01:00,N_101,N_103,eac1,0.001675907368160423
2030,sc01,01-17 16:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-17 16:00:00+01:00,N_117,N_118,cac2,-0.23585419054649748
2030,sc01,01-17 16:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-17 16:00:00+01:00,N_106,N_110,eac1,-0.04047081293211133
2030,sc01,01-17 16:00:00+01:00,N_111,N_114,eac1,-0.2496430719837167
2030,sc01,01-17 16:00:00+01:00,N_116,N_117,eac1,-0.16861519981201667
2030,sc01,01-17 16:00:00+01:00,N_116,N_117,cac3,-0.6744607992480662
2030,sc01,01-17 16:00:00+01:00,N_109,N_112,eac1,-0.003345845677086956
2030,sc01,01-17 16:00:00+01:00,N_110,N_112,eac1,-0.04450742813833092
2030,sc01,01-17 16:00:00+01:00,N_112,N_123,eac1,-0.06493311608406446
2030,sc01,01-17 16:00:00+01:00,N_115,N_116,eac1,0.057638372662774495
2030,sc01,01-17 16:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-17 16:00:00+01:00,N_105,N_110,eac1,0.039541117935937176
2030,sc01,01-17 16:00:00+01:00,N_104,N_109,eac1,0.003813348529155075
2030,sc01,01-17 16:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-17 16:00:00+01:00,N_102,N_106,eac1,0.0668513278678887
2030,sc01,01-17 16:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-17 16:00:00+01:00,N_116,N_117,cac1,0.0
2030,sc01,01-17 16:00:00+01:00,N_108,N_109,eac1,0.014252202334499198
2030,sc01,01-17 16:00:00+01:00,N_103,N_124,eac1,-0.17500000000000002
2030,sc01,01-17 16:00:00+01:00,N_117,N_122,eac1,-0.37136761796709167
2030,sc01,01-17 16:00:00+01:00,N_118,N_121,eac1,-0.13539999999999996
2030,sc01,01-17 16:00:00+01:00,N_116,N_119,eac1,0.420550925939142
2030,sc01,01-17 16:00:00+01:00,N_103,N_124,cac3,0.0
