Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-16 18:00:00+01:00,N_112,N_113,eac1,0.2601846426703277
2030,sc01,01-16 18:00:00+01:00,N_109,N_111,eac1,0.29138917880154597
2030,sc01,01-16 18:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-16 18:00:00+01:00,N_117,N_118,eac1,0.20277845260414845
2030,sc01,01-16 18:00:00+01:00,N_101,N_105,eac1,0.289139945395047
2030,sc01,01-16 18:00:00+01:00,N_120,N_123,eac1,0.31294249668101015
2030,sc01,01-16 18:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-16 18:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-16 18:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-16 18:00:00+01:00,N_110,N_111,eac1,0.48063986675235876
2030,sc01,01-16 18:00:00+01:00,N_119,N_120,eac1,0.5572656086347862
2030,sc01,01-16 18:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-16 18:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-16 18:00:00+01:00,N_101,N_103,eac1,0.500460194421383
2030,sc01,01-16 18:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-16 18:00:00+01:00,N_117,N_118,cac2,0.20277865538239875
2030,sc01,01-16 18:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-16 18:00:00+01:00,N_106,N_110,eac1,0.39368771319305357
2030,sc01,01-16 18:00:00+01:00,N_111,N_114,eac1,0.48254799289765266
2030,sc01,01-16 18:00:00+01:00,N_116,N_117,eac1,0.3010127102865153
2030,sc01,01-16 18:00:00+01:00,N_116,N_117,cac3,0.30101316180535514
2030,sc01,01-16 18:00:00+01:00,N_109,N_112,eac1,0.2026646597111015
2030,sc01,01-16 18:00:00+01:00,N_110,N_112,eac1,0.3919153476619142
2030,sc01,01-16 18:00:00+01:00,N_112,N_123,eac1,0.48972511947403474
