,Weight
sti1,136
sti10,163
sti11,114
sti12,125
sti13,131
sti14,199
sti15,79
sti16,13
sti17,92
sti18,1
sti19,196
sti2,303
sti20,171
sti21,180
sti22,210
sti23,137
sti24,266
sti25,52
sti26,96
sti27,212
sti28,11
sti29,119
sti3,174
sti30,1
sti31,175
sti32,333
sti33,24
sti34,116
sti35,211
sti36,229
sti37,113
sti38,177
sti39,161
sti4,26
sti40,136
sti41,4
sti42,182
sti43,212
sti44,161
sti45,10
sti46,170
sti47,138
sti48,41
sti49,66
sti5,26
sti50,53
sti51,18
sti52,216
sti53,17
sti54,41
sti55,12
sti56,183
sti57,216
sti58,162
sti59,172
sti6,258
sti60,169
sti61,13
sti62,214
sti63,105
sti64,100
sti65,168
sti66,70
sti67,2
sti68,162
sti69,79
sti7,35
sti70,120
sti8,39
sti9,220
