Period,Scenario,LoadLevel,Unit,GWh
2030,sc01,01-01 12:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-01 12:00:00+01:00,123_CT_1,0.0
2030,sc01,01-01 12:00:00+01:00,101_CT_1,0.0
2030,sc01,01-01 12:00:00+01:00,118_RTPV_1,0.6696000000000001
2030,sc01,01-01 12:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-01 12:00:00+01:00,115_STEAM_3,0.0
2030,sc01,01-01 12:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-01 12:00:00+01:00,118_RTPV_9,0.03307051512
2030,sc01,01-01 12:00:00+01:00,118_RTPV_4,0.029217639599999998
2030,sc01,01-01 12:00:00+01:00,101_STEAM_3,0.0
2030,sc01,01-01 12:00:00+01:00,103_PV_1,1.07481497112
2030,sc01,01-01 12:00:00+01:00,113_CT_4,0.0
2030,sc01,01-01 12:00:00+01:00,113_CT_1,0.0
2030,sc01,01-01 12:00:00+01:00,118_CC_1,0.0
2030,sc01,01-01 12:00:00+01:00,118_RTPV_10,0.014448283344
2030,sc01,01-01 12:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-01 12:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-01 12:00:00+01:00,102_CT_2,0.0
2030,sc01,01-01 12:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-01 12:00:00+01:00,123_CT_5,0.0
2030,sc01,01-01 12:00:00+01:00,123_CT_4,0.0
2030,sc01,01-01 12:00:00+01:00,118_RTPV_8,0.03596017176
2030,sc01,01-01 12:00:00+01:00,113_CT_2,0.0
2030,sc01,01-01 12:00:00+01:00,102_CT_1,0.0
2030,sc01,01-01 12:00:00+01:00,102_PV_2,0.44215965486000003
2030,sc01,01-01 12:00:00+01:00,118_RTPV_3,0.03018085848
2030,sc01,01-01 12:00:00+01:00,113_CT_3,0.0
2030,sc01,01-01 12:00:00+01:00,118_RTPV_2,0.031144077359999998
2030,sc01,01-01 12:00:00+01:00,102_PV_1,0.44740265472000007
2030,sc01,01-01 12:00:00+01:00,118_RTPV_7,0.037886609592000006
2030,sc01,01-01 12:00:00+01:00,122_WIND_1,13.867182035243982
2030,sc01,01-01 12:00:00+01:00,118_RTPV_5,0.029217639599999998
2030,sc01,01-01 12:00:00+01:00,101_PV_1,1.05399336096
2030,sc01,01-01 12:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-01 12:00:00+01:00,101_CT_2,0.0
2030,sc01,01-01 12:00:00+01:00,107_CC_1,0.0
2030,sc01,01-01 12:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-01 12:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-01 12:00:00+01:00,101_PV_3,1.0662017781600002
2030,sc01,01-01 12:00:00+01:00,101_PV_2,1.08654914016
2030,sc01,01-01 12:00:00+01:00,119_PV_1,0.29109047256000004
2030,sc01,01-01 12:00:00+01:00,104_PV_1,0.49091588820000004
2030,sc01,01-01 12:00:00+01:00,113_PV_1,0.30052429272
2030,sc01,01-01 12:00:00+01:00,101_PV_4,1.04992388856
