Period,Scenario,LoadLevel,mEUR
2030,sc01,01-01 14:00:00+01:00,158.5655555600971
2030,sc01,01-01 21:00:00+01:00,113.53696281635774
2030,sc01,01-02 08:00:00+01:00,425.6105232457869
2030,sc01,01-03 14:00:00+01:00,2171.4311834626237
2030,sc01,01-04 17:00:00+01:00,113.27791395479343
2030,sc01,01-04 21:00:00+01:00,61.38814697078899
2030,sc01,01-05 09:00:00+01:00,4251.549830331959
2030,sc01,01-05 10:00:00+01:00,10463.147594095375
2030,sc01,01-06 20:00:00+01:00,223.38898933214634
2030,sc01,01-07 00:00:00+01:00,108.72309921430536
2030,sc01,01-08 08:00:00+01:00,234.06172808854106
2030,sc01,01-08 20:00:00+01:00,18.027737654366952
2030,sc01,01-08 22:00:00+01:00,436.4237587473103
2030,sc01,01-09 15:00:00+01:00,319.1451893840647
2030,sc01,01-09 16:00:00+01:00,46.31384127173611
2030,sc01,01-09 18:00:00+01:00,31.982302613863993
2030,sc01,01-09 19:00:00+01:00,202.41820738720676
2030,sc01,01-10 09:00:00+01:00,326.78884689712623
2030,sc01,01-10 16:00:00+01:00,924.0603365212173
2030,sc01,01-11 08:00:00+01:00,249.05427145447527
2030,sc01,01-11 09:00:00+01:00,57.37977595832782
2030,sc01,01-11 19:00:00+01:00,6.840549887582517
2030,sc01,01-13 04:00:00+01:00,351.5931333996199
2030,sc01,01-13 15:00:00+01:00,2616.765581844909
2030,sc01,01-14 10:00:00+01:00,16960.064551312185
2030,sc01,01-15 02:00:00+01:00,2891.3344502039395
2030,sc01,01-15 12:00:00+01:00,2910.2805862131286
2030,sc01,01-15 16:00:00+01:00,399.6801782833745
2030,sc01,01-15 18:00:00+01:00,126.9807376581036
2030,sc01,01-16 06:00:00+01:00,65.3542041878815
2030,sc01,01-16 17:00:00+01:00,922.3615860888639
2030,sc01,01-16 20:00:00+01:00,273.003196754679
2030,sc01,01-17 10:00:00+01:00,8973.769681172367
2030,sc01,01-17 17:00:00+01:00,6319.230460995866
2030,sc01,01-18 19:00:00+01:00,173.63060164781913
2030,sc01,01-18 21:00:00+01:00,3374.703453129899
2030,sc01,01-19 06:00:00+01:00,1053.602960653453
2030,sc01,01-19 11:00:00+01:00,1525.4579850392486
2030,sc01,01-19 22:00:00+01:00,703.6172773100211
2030,sc01,01-20 14:00:00+01:00,2188.980127128759
2030,sc01,01-21 08:00:00+01:00,944.0304824403579
2030,sc01,01-21 09:00:00+01:00,1190.9894199690068
2030,sc01,01-21 13:00:00+01:00,1014.2589246289307
2030,sc01,01-21 16:00:00+01:00,1583.6468435158476
2030,sc01,01-22 09:00:00+01:00,63.664631772238174
2030,sc01,01-22 10:00:00+01:00,54.986651348372874
2030,sc01,01-22 11:00:00+01:00,47.7834805948401
2030,sc01,01-22 15:00:00+01:00,49.633722716183904
2030,sc01,01-22 18:00:00+01:00,40.580322813611886
2030,sc01,01-22 19:00:00+01:00,12.070612213882484
2030,sc01,01-22 20:00:00+01:00,6.431645420456911
2030,sc01,01-23 19:00:00+01:00,46.26621946804837
2030,sc01,01-23 20:00:00+01:00,11.823343015114446
2030,sc01,01-24 09:00:00+01:00,716.4917553783444
2030,sc01,01-24 10:00:00+01:00,69.59793544667724
2030,sc01,01-24 11:00:00+01:00,1000.5774362079878
2030,sc01,01-24 17:00:00+01:00,87.47835548022337
2030,sc01,01-24 18:00:00+01:00,488.1743177961556
2030,sc01,01-24 19:00:00+01:00,175.62534460448765
2030,sc01,01-25 08:00:00+01:00,338.1947441626048
2030,sc01,01-25 10:00:00+01:00,66.7169914650769
2030,sc01,01-25 13:00:00+01:00,57179.406814458685
2030,sc01,01-25 16:00:00+01:00,6188.642137567025
2030,sc01,01-25 17:00:00+01:00,1830.8413765648854
2030,sc01,01-25 18:00:00+01:00,118.00804731727864
2030,sc01,01-27 08:00:00+01:00,997.9582539340264
2030,sc01,01-27 12:00:00+01:00,642.1732874684677
