LoadLevel,101_PV_1,101_PV_2,101_PV_3,101_PV_4,102_PV_1,102_PV_2,103_PV_1,104_PV_1,113_PV_1,118_RTPV_1,118_RTPV_10,118_RTPV_2,118_RTPV_3,118_RTPV_4,118_RTPV_5,118_RTPV_6,118_RTPV_7,118_RTPV_8,118_RTPV_9,119_PV_1,122_WIND_1
01-01 00:00:00+01:00,0.199585088,0.20574988,0.201896884,0.198814492,28.75568848513847,0.0,0.0,0.0,0.0,0.0,18.000000000000004,0.0,0.0,0.0,0.0,0.0,11.4987924228616,0.0,0.0,0.0,1537.554947
01-01 01:00:00+01:00,0.199585088,0.20574988,0.201896884,0.198814492,28.75568848513847,0.0,0.0,0.0,0.0,0.0,18.000000000000004,0.0,0.0,0.0,0.0,0.0,11.4987924228616,0.0,0.0,0.0,1537.554947
01-01 02:00:00+01:00,0.199585088,0.20574988,0.201896884,0.198814492,28.75568848513847,0.0,0.0,0.0,0.0,0.0,18.000000000000004,0.0,0.0,0.0,0.0,0.0,11.4987924228616,0.0,0.0,0.0,1537.554947
01-01 03:00:00+01:00,0.199585088,0.20574988,0.201896884,0.198814492,28.75568848513847,0.0,0.0,0.0,0.0,0.0,18.000000000000004,0.0,0.0,0.0,0.0,0.0,11.4987924228616,0.0,0.0,0.0,1537.554947
01-01 04:00:00+01:00,0.199585088,0.20574988,0.201896884,0.198814492,28.75568848513847,0.0,0.0,0.0,0.0,0.0,18.000000000000004,0.0,0.0,0.0,0.0,0.0,11.4987924228616,0.0,0.0,0.0,1537.554947
01-01 05:00:00+01:00,0.199585088,0.20574988,0.201896884,0.198814492,28.75568848513847,0.0,0.0,0.0,0.0,0.0,18.000000000000004,0.0,0.0,0.0,0.0,0.0,11.4987924228616,0.0,0.0,0.0,1537.554947
01-01 06:00:00+01:00,0.199585088,0.20574988,0.201896884,0.198814492,28.75568848513847,0.0,0.0,0.0,0.0,0.0,18.000000000000004,0.0,0.0,0.0,0.0,0.0,11.4987924228616,0.0,0.0,0.0,1537.554947
01-01 07:00:00+01:00,0.199585088,0.20574988,0.201896884,0.198814492,28.75568848513847,0.0,0.0,0.0,0.0,0.0,18.000000000000004,0.0,0.0,0.0,0.0,0.0,11.4987924228616,0.0,0.0,0.0,1537.554947
01-01 08:00:00+01:00,0.199585088,0.20574988,0.201896884,0.198814492,28.75568848513847,0.0,0.0,0.0,0.0,0.0,18.000000000000004,0.0,0.0,0.0,0.0,0.0,11.4987924228616,0.0,0.0,0.0,1537.554947
01-01 09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.5559612383029
