Period,Scenario,Stage,LoadLevel,InitialNode,FinalNode,Circuit,EUR/MW
2030,sc01,st1,01-01 00:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 00:00:00+01:00,N_116,N_117,cac1,-0.002317049747919469
2030,sc01,st1,01-01 01:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 01:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 02:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 02:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 03:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 03:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 04:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 04:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 05:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 05:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 06:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 06:00:00+01:00,N_116,N_117,cac1,-0.0023170497574151396
2030,sc01,st1,01-01 07:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 07:00:00+01:00,N_116,N_117,cac1,-0.0023170497595651207
2030,sc01,st1,01-01 08:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 08:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 09:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 09:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 10:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 10:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 11:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 11:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 12:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 12:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 13:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 13:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 14:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 14:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 15:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 15:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 16:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 16:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 17:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 17:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 18:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 18:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 19:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 19:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 20:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 20:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 21:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 21:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-01 22:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 22:00:00+01:00,N_116,N_117,cac1,-0.0023170497569371287
2030,sc01,st1,01-01 23:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-01 23:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-02 00:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 00:00:00+01:00,N_116,N_117,cac1,-0.0023170497565031824
2030,sc01,st1,01-02 01:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 01:00:00+01:00,N_116,N_117,cac1,-0.0023170497505071476
2030,sc01,st1,01-02 02:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 02:00:00+01:00,N_116,N_117,cac1,-0.002317049718784761
2030,sc01,st1,01-02 03:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 03:00:00+01:00,N_116,N_117,cac1,-0.0023170494224054256
2030,sc01,st1,01-02 04:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 04:00:00+01:00,N_116,N_117,cac1,-0.002317049422422452
2030,sc01,st1,01-02 05:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 05:00:00+01:00,N_116,N_117,cac1,-0.0023170497188485222
2030,sc01,st1,01-02 06:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 06:00:00+01:00,N_116,N_117,cac1,-0.002317049759676405
2030,sc01,st1,01-02 07:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 07:00:00+01:00,N_116,N_117,cac1,-0.002317049760910021
2030,sc01,st1,01-02 08:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 08:00:00+01:00,N_116,N_117,cac1,-0.0023170497615016983
2030,sc01,st1,01-02 09:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 09:00:00+01:00,N_116,N_117,cac1,-0.002317049761812934
2030,sc01,st1,01-02 10:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 10:00:00+01:00,N_116,N_117,cac1,-0.002317049761932255
2030,sc01,st1,01-02 11:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 11:00:00+01:00,N_116,N_117,cac1,-0.002317049761909364
2030,sc01,st1,01-02 12:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 12:00:00+01:00,N_116,N_117,cac1,-0.0023170497619175523
2030,sc01,st1,01-02 13:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 13:00:00+01:00,N_116,N_117,cac1,-0.002317049761857799
2030,sc01,st1,01-02 14:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 14:00:00+01:00,N_116,N_117,cac1,-0.002317049761655628
2030,sc01,st1,01-02 15:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 15:00:00+01:00,N_116,N_117,cac1,-0.0023170497609225483
2030,sc01,st1,01-02 16:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 16:00:00+01:00,N_116,N_117,cac1,-0.0010903763797242667
2030,sc01,st1,01-02 17:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 17:00:00+01:00,N_116,N_117,cac1,-0.0010903763780284992
2030,sc01,st1,01-02 18:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 18:00:00+01:00,N_116,N_117,cac1,-0.001090376378034454
2030,sc01,st1,01-02 19:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 19:00:00+01:00,N_116,N_117,cac1,-0.0023170497485795025
2030,sc01,st1,01-02 20:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 20:00:00+01:00,N_116,N_117,cac1,-0.002317049759631093
2030,sc01,st1,01-02 21:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 21:00:00+01:00,N_116,N_117,cac1,-0.0023170497607559277
2030,sc01,st1,01-02 22:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 22:00:00+01:00,N_116,N_117,cac1,-0.0023170497594910454
2030,sc01,st1,01-02 23:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-02 23:00:00+01:00,N_116,N_117,cac1,-0.0023170497507415287
2030,sc01,st1,01-03 00:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 00:00:00+01:00,N_116,N_117,cac1,-0.0023170497554463655
2030,sc01,st1,01-03 01:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 01:00:00+01:00,N_116,N_117,cac1,-0.0023170497453506504
2030,sc01,st1,01-03 02:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 02:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-03 03:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 03:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-03 04:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 04:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-03 05:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 05:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-03 06:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 06:00:00+01:00,N_116,N_117,cac1,-0.0023170497592635533
2030,sc01,st1,01-03 07:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 07:00:00+01:00,N_116,N_117,cac1,-0.0023170497607846985
2030,sc01,st1,01-03 08:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 08:00:00+01:00,N_116,N_117,cac1,-0.0023170497614651603
2030,sc01,st1,01-03 09:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 09:00:00+01:00,N_116,N_117,cac1,-0.0023170497617053423
2030,sc01,st1,01-03 10:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 10:00:00+01:00,N_116,N_117,cac1,-0.002317049761757445
2030,sc01,st1,01-03 11:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 11:00:00+01:00,N_116,N_117,cac1,-0.002317049761724873
2030,sc01,st1,01-03 12:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 12:00:00+01:00,N_116,N_117,cac1,-0.002317049761565631
2030,sc01,st1,01-03 13:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 13:00:00+01:00,N_116,N_117,cac1,-0.0023170497613604897
2030,sc01,st1,01-03 14:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 14:00:00+01:00,N_116,N_117,cac1,-0.002317049760688307
2030,sc01,st1,01-03 15:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 15:00:00+01:00,N_116,N_117,cac1,-0.002317049759215477
2030,sc01,st1,01-03 16:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 16:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-03 17:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 17:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-03 18:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 18:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-03 19:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 19:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-03 20:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 20:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-03 21:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 21:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-03 22:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 22:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-03 23:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-03 23:00:00+01:00,N_116,N_117,cac1,-0.0013902298485490906
2030,sc01,st1,01-04 00:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 00:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 01:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 01:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 02:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 02:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 03:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 03:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 04:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 04:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 05:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 05:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 06:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 06:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 07:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 07:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 08:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 08:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 09:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 09:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 10:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 10:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 11:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 11:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 12:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 12:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 13:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 13:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 14:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 14:00:00+01:00,N_116,N_117,cac1,-0.0013902298656851269
2030,sc01,st1,01-04 15:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 15:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 16:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 16:00:00+01:00,N_116,N_117,cac1,-0.0
2030,sc01,st1,01-04 17:00:00+01:00,N_116,N_119,cac1,-0.0
2030,sc01,st1,01-04 17:00:00+01:00,N_116,N_117,cac1,-0.0
