LoadLevel,Node_1_Node_2_cac1,Node_1_Node_2_cac2,Node_1_Node_2_cac3,Node_1_Node_2_eac1,Node_1_Node_3_cac1,Node_1_Node_3_cac2,Node_1_Node_3_cac3,Node_1_Node_3_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac3,Node_2_Node_3_eac1
01-01 00:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.0039624999999999,0.06,0.12,0.02698125,-0.03,-0.12,0.02698125
01-01 01:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.06,0.08146151498,0.0296589148699999,-0.03,-0.12,0.0296589148699999
01-01 02:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.01344109341,0.06,0.12,0.0328352144,-0.03,-0.12,0.0328352144
01-01 03:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.06,0.07175184454,0.03657781516,-0.03,-0.12,0.03657781516
01-01 04:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.00075756906,0.12,0.04560361564,-0.03,-0.12,0.04560361564
01-01 05:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1069002497799999,0.05705058371,-0.03,-0.12,0.05705058371
01-01 06:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0383444915099999,0.12,0.06,-0.0252262331099999,-0.12,0.06
01-01 07:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0322924394499999,0.12,0.06,-0.0226913754599999,-0.12,0.06
01-01 08:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08731550979,0.06,-0.0238189493699999,-0.12,0.06
01-01 09:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0269346278899999,0.12,0.05665498069,-0.03,-0.12,0.05665498069
01-01 10:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09975815493,0.0415865911499999,-0.03,-0.12,0.0415865911499999
01-01 11:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1123908107299999,0.02979079906,-0.03,-0.12,0.02979079906
01-01 12:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0597295283899999,0.12,0.0233203189,-0.03,-0.12,0.0233203189
01-01 13:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.0016743947999999,0.12,0.02162875249,-0.03,-0.12,0.02162875249
01-01 14:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.06,0.0613019893899999,0.02271674157,-0.03,-0.12,0.02271674157
01-01 15:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1115188939999999,0.03073351701,-0.03,-0.12,0.03073351701
01-01 16:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0898970473399999,0.04996678261,-0.03,-0.12,0.04996678261
01-01 17:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0805112537299999,0.06,-0.0212516260399999,-0.12,0.06
01-01 18:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.02090140998,0.12,0.06,-0.01821781673,-0.12,0.06
01-01 19:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0830093648299999,0.06,-0.0211488288299999,-0.12,0.06
01-01 20:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08570853339,0.06,-0.02579830737,-0.12,0.06
01-01 21:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09411436825,0.05557833735,-0.03,-0.12,0.05557833735
01-01 22:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.04604584744,0.12,0.0474308140299999,-0.03,-0.12,0.0474308140299999
01-01 23:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.11327890304,0.0432594893099999,-0.03,-0.12,0.0432594893099999
01-02 00:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1065463437999999,0.0463102486,-0.03,-0.12,0.0463102486
01-02 01:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.04523548713,0.12,0.04717597085,-0.03,-0.12,0.04717597085
01-02 02:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.10519820581,0.04774951071,-0.03,-0.12,0.04774951071
01-02 03:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0409522517099999,0.12,0.05116451557,-0.03,-0.12,0.05116451557
01-02 04:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.03639246965,0.12,0.0564122288799999,-0.03,-0.12,0.0564122288799999
01-02 05:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09358880402,0.06,-0.0269313974499999,-0.12,0.06
01-02 06:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0292504620399999,0.12,0.06,-0.03,-0.1109127278099999,0.06
01-02 07:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0863077965899999,0.06,-0.0218743261399999,-0.12,0.06
01-02 08:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0222188709499999,0.12,0.06,-0.02253085448,-0.12,0.06
01-02 09:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0828893614899999,0.0573025587,-0.03,-0.12,0.0573025587
01-02 10:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.03263616892,0.12,0.0441703512699999,-0.03,-0.12,0.0441703512699999
01-02 11:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09687238188,0.0373519140699999,-0.03,-0.12,0.0373519140699999
01-02 12:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0368651253099999,0.12,0.03530172689,-0.03,-0.12,0.03530172689
01-02 13:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0366257927299999,0.12,0.03502022822,-0.03,-0.12,0.03502022822
01-02 14:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0950163932799999,0.0372438167,-0.03,-0.12,0.0372438167
01-02 15:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0291049202699999,0.12,0.04375655144,-0.03,-0.12,0.04375655144
01-02 16:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0726296957699999,0.05967196586,-0.03,-0.12,0.05967196586
01-02 17:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.07331344836,0.06,-0.03,-0.10407711912,0.06
01-02 18:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0133320796099999,0.12,0.06,-0.03,-0.1011407369199999,0.06
01-02 19:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.07442725769,0.06,-0.01384725533,-0.12,0.06
01-02 20:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.07538446152,0.06,-0.0171806003,-0.12,0.06
01-02 21:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0184545676499999,0.12,0.06,-0.0245311401999999,-0.12,0.06
01-02 22:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08567481106,0.05696803299,-0.03,-0.12,0.05696803299
01-02 23:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0330813149099999,0.12,0.05246187432,-0.03,-0.12,0.05246187432
01-03 00:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0309473259899999,0.12,0.05337431769,-0.03,-0.12,0.05337431769
01-03 01:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09565052755,0.0507314973799999,-0.03,-0.12,0.0507314973799999
01-03 02:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0396752076199999,0.12,0.04918419858,-0.03,-0.12,0.04918419858
01-03 03:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0401356918399999,0.12,0.05011664559,-0.03,-0.12,0.05011664559
01-03 04:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0972460983,0.0543101016299999,-0.03,-0.12,0.0543101016299999
01-03 05:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0923798937,0.06,-0.03,-0.1187315388399999,0.06
01-03 06:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08954293742,0.06,-0.03,-0.1139679153599999,0.06
01-03 07:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0870028811699999,0.06,-0.03,-0.1138916224899999,0.06
01-03 08:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0245097686599999,0.12,0.06,-0.03,-0.1156376925899999,0.06
01-03 09:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0934254472599999,0.0519131589,-0.03,-0.12,0.0519131589
01-03 10:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.10949662008,0.0354337985799999,-0.03,-0.12,0.0354337985799999
01-03 11:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.11690064108,0.0267910213299999,-0.03,-0.12,0.0267910213299999
01-03 12:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1181085745399999,0.02414996287,-0.03,-0.12,0.02414996287
01-03 13:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.06,0.0615114104299999,0.02194381448,-0.03,-0.12,0.02194381448
01-03 14:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.0255080160199999,0.06,0.12,0.02127699717,-0.03,-0.12,0.02127699717
01-03 15:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.02940846423,0.06,0.12,0.02604014538,-0.03,-0.12,0.02604014538
01-03 16:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0455286431599999,0.12,0.04116911299,-0.03,-0.12,0.04116911299
01-03 17:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0927609922699999,0.05682998262,-0.03,-0.12,0.05682998262
01-03 18:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0948559608899999,0.0573192015,-0.03,-0.12,0.0573192015
01-03 19:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.10087947942,0.05331729549,-0.03,-0.12,0.05331729549
01-03 20:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0463669159099999,0.12,0.0501081215,-0.03,-0.12,0.0501081215
01-03 21:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1161835359,0.04382543276,-0.03,-0.12,0.04382543276
01-03 22:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.00517948397,0.12,0.0374887846999999,-0.03,-0.12,0.0374887846999999
01-03 23:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.06,0.07333417172,0.0324163094599999,-0.03,-0.12,0.0324163094599999
01-04 00:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.06,0.0732426431399999,0.03217115807,-0.03,-0.12,0.03217115807
01-04 01:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.0159040118,0.06,0.12,0.0315552912,-0.03,-0.12,0.0315552912
01-04 02:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.0157012952399999,0.12,0.03124175686,-0.03,-0.12,0.03124175686
01-04 03:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.06,0.07534491957,0.0320144505199999,-0.03,-0.12,0.0320144505199999
01-04 04:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.06,0.07382094344,0.0343775953999999,-0.03,-0.12,0.0343775953999999
01-04 05:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.0216960328099999,0.06,0.12,0.0391959286599999,-0.03,-0.12,0.0391959286599999
01-04 06:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.05681840463,0.12,0.0466262894299999,-0.03,-0.12,0.0466262894299999
01-04 07:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.10634485287,0.0527050691099999,-0.03,-0.12,0.0527050691099999
01-04 08:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.10102826063,0.05446889948,-0.03,-0.12,0.05446889948
01-04 09:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0482606387699999,0.12,0.04518014711,-0.03,-0.12,0.04518014711
01-04 10:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.06,0.0602746583599999,0.03085827752,-0.03,-0.12,0.03085827752
01-04 11:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.0073071869399999,0.12,0.02217070442,-0.03,-0.12,0.02217070442
01-04 12:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.06,0.0704506412299999,0.01790213763,-0.03,-0.12,0.01790213763
01-04 13:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.06,0.0706494726899999,0.01691368742,-0.03,-0.12,0.01691368742
01-04 14:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.0082176989099999,0.12,0.01914552842,-0.03,-0.12,0.01914552842
01-04 15:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1192560278299999,0.02687504402,-0.03,-0.12,0.02687504402
01-04 16:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0384881380099999,0.12,0.04499055015,-0.03,-0.12,0.04499055015
01-04 17:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.02337914519,0.12,0.06,-0.02642522158,-0.12,0.06
01-04 18:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0858599576899999,0.06,-0.0262970598499999,-0.12,0.06
01-04 19:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08766092338,0.06,-0.03,-0.11960145062,0.06
01-04 20:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0901528420199999,0.05782335878,-0.03,-0.12,0.05782335878
01-04 21:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0329692979899999,0.12,0.05482632171,-0.03,-0.12,0.05482632171
01-04 22:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09638385438,0.05156343891,-0.03,-0.12,0.05156343891
01-04 23:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0954646583299999,0.05138016482,-0.03,-0.12,0.05138016482
01-05 00:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08819468613,0.05478048511,-0.03,-0.12,0.05478048511
01-05 01:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0266657632099999,0.12,0.0556276394,-0.03,-0.12,0.0556276394
01-05 02:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0866819349799999,0.0559900568,-0.03,-0.12,0.0559900568
01-05 03:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0857976164899999,0.05719118001,-0.03,-0.12,0.05719118001
01-05 04:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0226146465,0.12,0.06,-0.0299103927099999,-0.12,0.06
01-05 05:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08198790428,0.06,-0.0248515511,-0.12,0.06
01-05 06:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0188661256899999,0.12,0.06,-0.0177323975199999,-0.12,0.06
01-05 07:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0164309752999999,0.12,0.06,-0.03,-0.1035895097699999,0.06
01-05 08:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0749605453199999,0.06,-0.03,-0.1043783506499999,0.06
01-05 09:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.07477304685,0.06,-0.0244542283399999,-0.12,0.06
01-05 10:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.02365384339,0.12,0.0503450972099999,-0.03,-0.12,0.0503450972099999
01-05 11:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0315115626799999,0.12,0.04173308889,-0.03,-0.12,0.04173308889
01-05 12:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0955723276699999,0.0370756364,-0.03,-0.12,0.0370756364
01-05 13:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0383407930499999,0.12,0.03455779602,-0.03,-0.12,0.03455779602
01-05 14:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0988624185,0.0350316737599999,-0.03,-0.12,0.0350316737599999
01-05 15:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09287227123,0.04070279756,-0.03,-0.12,0.04070279756
01-05 16:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0746603451399999,0.05752076879,-0.03,-0.12,0.05752076879
01-05 17:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.01233668421,0.12,0.06,-0.0137368602499999,-0.12,0.06
01-05 18:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.07368805296,0.06,-0.0116005591399999,-0.12,0.06
01-05 19:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0757624905999999,0.06,-0.0150953834799999,-0.12,0.06
01-05 20:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0771290641999999,0.06,-0.0193226817199999,-0.12,0.06
01-05 21:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0794268019599999,0.06,-0.03,-0.1161864802299999,0.06
01-05 22:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08689677085,0.0562611283099999,-0.03,-0.12,0.0562611283099999
01-05 23:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0370993471399999,0.12,0.05081796172,-0.03,-0.12,0.05081796172
01-06 00:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0998210848299999,0.04942392314,-0.03,-0.12,0.04942392314
01-06 01:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1063495190699999,0.04640871569,-0.03,-0.12,0.04640871569
01-06 02:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.10819189615,0.04629803147,-0.03,-0.12,0.04629803147
01-06 03:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0485651623699999,0.12,0.04762130543,-0.03,-0.12,0.04762130543
01-06 04:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0440804438199999,0.12,0.05389063291,-0.03,-0.12,0.05389063291
01-06 05:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09822280039,0.06,-0.02574854999,-0.12,0.06
01-06 06:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09851376155,0.06,-0.0234931466499999,-0.12,0.06
01-06 07:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0369846561899999,0.12,0.06,-0.0275260197699999,-0.12,0.06
01-06 08:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0362684105899999,0.12,0.05837977596,-0.03,-0.12,0.05837977596
01-06 09:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0995918239299999,0.05216260814,-0.03,-0.12,0.05216260814
01-06 10:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0433346349899999,0.12,0.04380322566,-0.03,-0.12,0.04380322566
01-06 11:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0443424756299999,0.12,0.03915651492,-0.03,-0.12,0.03915651492
