LoadLevel,vTotalCCost,vTotalECost,vTotalGCost,vTotalRCost
01-01 00:00:00+01:00,0.0,2.3851464373378843,3.613228124998711,0.0
01-01 01:00:00+01:00,0.0,2.415677467695424,3.654086682599911,0.0
01-01 02:00:00+01:00,0.0,2.431920665403794,3.674359411242474,0.0
01-01 03:00:00+01:00,0.0,2.468383364133135,3.726651362638517,0.0
01-01 04:00:00+01:00,0.0,2.6472265068841763,3.9902091852601447,0.0
01-01 05:00:00+01:00,0.0,2.909594809500528,4.378020439873985,0.0
01-01 06:00:00+01:00,0.0,3.099123513134884,4.658313650983308,0.0
01-01 07:00:00+01:00,0.0,3.1731001431452754,4.764871829111759,0.0
01-01 08:00:00+01:00,0.0,3.1380217663186287,4.709587610604031,0.0
01-01 09:00:00+01:00,0.0,2.9213004862698013,4.390852118281543,0.0
01-01 10:00:00+01:00,0.0,2.6119375329642165,3.9415107742493736,0.0
01-01 11:00:00+01:00,0.0,2.358356991949575,3.5736482362230477,0.0
01-01 12:00:00+01:00,0.0,2.211061730007135,3.3596672293740832,0.0
01-01 13:00:00+01:00,0.0,2.189598264404541,3.3286230423972163,0.0
01-01 14:00:00+01:00,0.0,2.21456409407488,3.363940300740307,0.0
01-01 15:00:00+01:00,0.0,2.3579938551637447,3.5696579459884226,0.0
01-01 16:00:00+01:00,0.0,2.8000023282030053,4.215135259603424,0.0
01-01 17:00:00+01:00,0.0,3.281779535852462,4.919710616881032,0.0
01-01 18:00:00+01:00,0.0,3.482911386936182,5.215728318074612,0.0
01-01 19:00:00+01:00,0.0,3.486415061573983,5.222300289316223,0.0
01-01 20:00:00+01:00,0.0,3.410565676845357,5.1110801261086,0.0
01-01 21:00:00+01:00,0.0,3.2272867843940425,4.840353643139262,0.0
01-01 22:00:00+01:00,0.0,3.015364503408148,4.525747178535145,0.0
01-01 23:00:00+01:00,0.0,2.835168329124313,4.257335351669152,0.0
01-02 00:00:00+01:00,0.0,2.817986962018274,4.230258233443846,0.0
01-02 01:00:00+01:00,0.0,2.7471279125406998,4.122071122395009,0.0
01-02 02:00:00+01:00,0.0,2.7081738013016894,4.063382032948887,0.0
01-02 03:00:00+01:00,0.0,2.761522840602872,4.141154431530167,0.0
01-02 04:00:00+01:00,0.0,2.8779606649373566,4.315700987085592,0.0
01-02 05:00:00+01:00,0.0,3.057280593945157,4.584579646919918,0.0
01-02 06:00:00+01:00,0.0,3.27287640690289,4.906091677724803,0.0
01-02 07:00:00+01:00,0.0,3.352243410729244,5.02575169209,0.0
01-02 08:00:00+01:00,0.0,3.446320929515639,5.16466710988506,0.0
01-02 09:00:00+01:00,0.0,3.3036326368746134,4.959460313381852,0.0
01-02 10:00:00+01:00,0.0,3.050630063665245,4.591930073704015,0.0
01-02 11:00:00+01:00,0.0,2.870521819796992,4.3277742581228615,0.0
01-02 12:00:00+01:00,0.0,2.7848042677519285,4.20046618564116,0.0
01-02 13:00:00+01:00,0.0,2.7790101657207225,4.190904129540805,0.0
01-02 14:00:00+01:00,0.0,2.8065970637220587,4.229061759814717,0.0
01-02 15:00:00+01:00,0.0,2.917309330640813,4.3887782101246575,0.0
