LoadLevel,vTotalCCost,vTotalECost,vTotalGCost,vTotalRCost
01-01 00:00:00+01:00,0.0,0.0,9.50194783966296e-16,0.0
01-01 01:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-01 02:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-01 03:00:00+01:00,0.0,0.0,9.996344030316351e-17,0.0
01-01 04:00:00+01:00,0.0,0.0,4.501607420159814e-16,0.0
01-01 05:00:00+01:00,0.0,0.0,2.0036056147532122e-16,0.0
01-01 06:00:00+01:00,0.0,0.0,0.00014994893623460027,0.0
01-01 07:00:00+01:00,0.0,0.0,8.213704380499644e-06,0.0
01-01 08:00:00+01:00,0.0,0.0,1.9949319973733282e-16,0.0
01-01 09:00:00+01:00,0.0,0.0,9.497611030973019e-16,0.0
01-01 10:00:00+01:00,0.0,0.0,5.0090140368830305e-17,0.0
01-01 11:00:00+01:00,0.0,0.0,6.999609225566417e-16,0.0
01-01 12:00:00+01:00,0.0,0.0,-3.0010716134398763e-16,0.0
01-01 13:00:00+01:00,0.0,0.0,1.1000315242037928e-15,0.0
01-01 14:00:00+01:00,0.0,0.0,2.168404344971009e-19,0.0
01-01 15:00:00+01:00,0.0,0.0,4.501607420159814e-16,0.0
01-01 16:00:00+01:00,0.0,0.0,-3.4998046127832083e-16,0.0
01-01 17:00:00+01:00,0.0,0.0,9.003214840319629e-16,0.0
01-01 18:00:00+01:00,0.0,0.0,-4.0028744208164824e-16,0.0
01-01 19:00:00+01:00,0.0,0.0,8.001412032943023e-16,0.0
01-01 20:00:00+01:00,0.0,0.0,1.9992688060632702e-16,0.0
01-01 21:00:00+01:00,0.0,0.0,9.99634403031635e-16,0.0
01-01 22:00:00+01:00,0.0,0.0,5.494736610156536e-16,0.0
01-01 23:00:00+01:00,0.0,0.0,-8.001412032943023e-16,0.0
01-02 00:00:00+01:00,0.0,0.0,5.503410227536421e-16,0.0
01-02 01:00:00+01:00,0.0,0.0,-2.0036056147532122e-16,0.0
01-02 02:00:00+01:00,0.0,0.0,2.498001805406602e-16,0.0
01-02 03:00:00+01:00,0.0,0.0,-1.9949319973733282e-16,0.0
01-02 04:00:00+01:00,0.0,0.0,5.499073418846478e-16,0.0
01-02 05:00:00+01:00,0.0,0.0,5.499073418846478e-16,0.0
01-02 06:00:00+01:00,0.0,0.0,2.498001805406602e-16,0.0
01-02 07:00:00+01:00,0.0,0.0,1.5005358067199381e-16,0.0
01-02 08:00:00+01:00,0.0,0.0,1.0503750647039567e-15,0.0
01-02 09:00:00+01:00,0.0,0.0,7.494005416219807e-16,0.0
01-02 10:00:00+01:00,0.0,0.0,2.9967348047499343e-16,0.0
01-02 11:00:00+01:00,0.0,0.0,4.497270611469872e-16,0.0
01-02 12:00:00+01:00,0.0,0.0,9.50194783966296e-16,0.0
01-02 13:00:00+01:00,0.0,0.0,7.003946034256359e-16,0.0
01-02 14:00:00+01:00,0.0,0.0,9.497611030973019e-16,0.0
01-02 15:00:00+01:00,0.0,0.0,5.004677228193088e-16,0.0
01-02 16:00:00+01:00,0.0,0.0,7.498342224909749e-16,0.0
01-02 17:00:00+01:00,0.0,0.0,3.0010716134398763e-16,0.0
01-02 18:00:00+01:00,0.0,0.0,3.732085287039971e-05,0.0
01-02 19:00:00+01:00,0.0,0.0,8.998878031629687e-16,0.0
01-02 20:00:00+01:00,0.0,0.0,-5.997806418189811e-16,0.0
01-02 21:00:00+01:00,0.0,0.0,-4.0028744208164824e-16,0.0
01-02 22:00:00+01:00,0.0,0.0,1.0499413838349625e-15,0.0
01-02 23:00:00+01:00,0.0,0.0,2.49366499671666e-16,0.0
01-03 00:00:00+01:00,0.0,0.0,8.500145032286355e-16,0.0
01-03 01:00:00+01:00,0.0,0.0,2.0036056147532122e-16,0.0
01-03 02:00:00+01:00,0.0,0.0,5.000340419503146e-16,0.0
01-03 03:00:00+01:00,0.0,0.0,3.0010716134398763e-16,0.0
01-03 04:00:00+01:00,0.0,0.0,6.999609225566417e-16,0.0
01-03 05:00:00+01:00,0.0,0.0,-2.0036056147532122e-16,0.0
01-03 06:00:00+01:00,0.0,0.0,-1.9949319973733282e-16,0.0
01-03 07:00:00+01:00,0.0,0.0,1.0018028073766061e-16,0.0
01-03 08:00:00+01:00,0.0,0.0,3.4954678040932663e-16,0.0
01-03 09:00:00+01:00,0.0,0.0,9.974659986866641e-17,0.0
01-03 10:00:00+01:00,0.0,0.0,-3.4954678040932663e-16,0.0
01-03 11:00:00+01:00,0.0,0.0,2.9989032090949053e-16,0.0
01-03 12:00:00+01:00,0.0,0.0,1.0002849243351264e-15,0.0
01-03 13:00:00+01:00,0.0,0.0,5.496905014501507e-16,0.0
01-03 14:00:00+01:00,0.0,0.0,-9.996344030316351e-17,0.0
01-03 15:00:00+01:00,0.0,0.0,6.997440821221446e-16,0.0
01-03 16:00:00+01:00,0.0,0.0,-2.0036056147532122e-16,0.0
01-03 17:00:00+01:00,0.0,0.0,3.0054084221298183e-16,0.0
01-03 18:00:00+01:00,0.0,0.0,0.0,0.0
01-03 19:00:00+01:00,0.0,0.0,3.0010716134398763e-16,0.0
01-03 20:00:00+01:00,0.0,0.0,2.0036056147532122e-16,0.0
01-03 21:00:00+01:00,0.0,0.0,-2.502338614096544e-16,0.0
01-03 22:00:00+01:00,0.0,0.0,2.0036056147532122e-16,0.0
01-03 23:00:00+01:00,0.0,0.0,6.999609225566417e-16,0.0
01-04 00:00:00+01:00,0.0,0.0,1.0000680839006293e-15,0.0
01-04 01:00:00+01:00,0.0,0.0,4.0007060164715114e-16,0.0
01-04 02:00:00+01:00,0.0,0.0,1.9992688060632702e-16,0.0
01-04 03:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-04 04:00:00+01:00,0.0,0.0,1.2002118049414534e-15,0.0
01-04 05:00:00+01:00,0.0,0.0,9.50194783966296e-16,0.0
01-04 06:00:00+01:00,0.0,0.0,-5.000340419503146e-16,0.0
01-04 07:00:00+01:00,0.0,0.0,0.0,0.0
01-04 08:00:00+01:00,0.0,0.0,1.5005358067199381e-16,0.0
01-04 09:00:00+01:00,0.0,0.0,2.502338614096544e-16,0.0
01-04 10:00:00+01:00,0.0,0.0,9.996344030316351e-17,0.0
01-04 11:00:00+01:00,0.0,0.0,-5.0306980803327406e-17,0.0
01-04 12:00:00+01:00,0.0,0.0,1.0000680839006293e-15,0.0
01-04 13:00:00+01:00,0.0,0.0,-1.0018028073766061e-16,0.0
01-04 14:00:00+01:00,0.0,0.0,2.9989032090949053e-16,0.0
01-04 15:00:00+01:00,0.0,0.0,5.0090140368830305e-17,0.0
01-04 16:00:00+01:00,0.0,0.0,1.9949319973733282e-16,0.0
01-04 17:00:00+01:00,0.0,0.0,-5.503410227536421e-16,0.0
01-04 18:00:00+01:00,0.0,0.0,-1.9992688060632702e-16,0.0
01-04 19:00:00+01:00,0.0,0.0,1.500102125850944e-15,0.0
01-04 20:00:00+01:00,0.0,0.0,4.0028744208164824e-16,0.0
01-04 21:00:00+01:00,0.0,0.0,6.496539417533143e-16,0.0
01-04 22:00:00+01:00,0.0,0.0,-9.974659986866641e-17,0.0
01-04 23:00:00+01:00,0.0,0.0,1.9992688060632702e-16,0.0
01-05 00:00:00+01:00,0.0,0.0,1.5005358067199381e-16,0.0
01-05 01:00:00+01:00,0.0,0.0,3.5041414214731503e-16,0.0
01-05 02:00:00+01:00,0.0,0.0,4.9873299934333204e-17,0.0
01-05 03:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-05 04:00:00+01:00,0.0,0.0,1.9949319973733282e-16,0.0
01-05 05:00:00+01:00,0.0,0.0,8.998878031629687e-16,0.0
01-05 06:00:00+01:00,0.0,0.0,-2.498001805406602e-16,0.0
01-05 07:00:00+01:00,0.0,0.0,-3.9985376121265404e-16,0.0
01-05 08:00:00+01:00,0.0,0.0,4.0028744208164824e-16,0.0
01-05 09:00:00+01:00,0.0,0.0,8.500145032286355e-16,0.0
01-05 10:00:00+01:00,0.0,0.0,-7.498342224909749e-16,0.0
01-05 11:00:00+01:00,0.0,0.0,-3.4954678040932663e-16,0.0
01-05 12:00:00+01:00,0.0,0.0,5.503410227536421e-16,0.0
01-05 13:00:00+01:00,0.0,0.0,1.496198998029996e-16,0.0
01-05 14:00:00+01:00,0.0,0.0,4.996003610813204e-16,0.0
01-05 15:00:00+01:00,0.0,0.0,7.498342224909749e-16,0.0
01-05 16:00:00+01:00,0.0,0.0,7.997075224253081e-16,0.0
01-05 17:00:00+01:00,0.0,0.0,3.7055663406498386e-06,0.0
01-05 18:00:00+01:00,0.0,0.0,2.0189145900100045e-05,0.0
01-05 19:00:00+01:00,0.0,0.0,-8.005748841632965e-16,0.0
01-05 20:00:00+01:00,0.0,0.0,6.995272416876475e-16,0.0
01-05 21:00:00+01:00,0.0,0.0,6.496539417533143e-16,0.0
01-05 22:00:00+01:00,0.0,0.0,4.501607420159814e-16,0.0
01-05 23:00:00+01:00,0.0,0.0,9.497611030973019e-16,0.0
01-06 00:00:00+01:00,0.0,0.0,1.5005358067199381e-16,0.0
01-06 01:00:00+01:00,0.0,0.0,4.497270611469872e-16,0.0
01-06 02:00:00+01:00,0.0,0.0,-4.9873299934333204e-17,0.0
01-06 03:00:00+01:00,0.0,0.0,1.9949319973733282e-16,0.0
01-06 04:00:00+01:00,0.0,0.0,-3.0010716134398763e-16,0.0
01-06 05:00:00+01:00,0.0,0.0,9.292345051510002e-05,0.0
01-06 06:00:00+01:00,0.0,0.0,0.00032438961922499985,0.0
01-06 07:00:00+01:00,0.0,0.0,-4.9873299934333204e-17,0.0
01-06 08:00:00+01:00,0.0,0.0,4.501607420159814e-16,0.0
01-06 09:00:00+01:00,0.0,0.0,-1.5048726154098802e-16,0.0
01-06 10:00:00+01:00,0.0,0.0,-2.0036056147532122e-16,0.0
01-06 11:00:00+01:00,0.0,0.0,1.9992688060632702e-16,0.0
01-06 12:00:00+01:00,0.0,0.0,7.997075224253081e-16,0.0
01-06 13:00:00+01:00,0.0,0.0,1.1000315242037928e-15,0.0
01-06 14:00:00+01:00,0.0,0.0,4.0007060164715114e-16,0.0
01-06 15:00:00+01:00,0.0,0.0,-3.4954678040932663e-16,0.0
01-06 16:00:00+01:00,0.0,0.0,-2.9967348047499343e-16,0.0
01-06 17:00:00+01:00,0.0,0.0,-1.5005358067199381e-16,0.0
01-06 18:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-06 19:00:00+01:00,0.0,0.0,1.496198998029996e-16,0.0
01-06 20:00:00+01:00,0.0,0.0,-1.5048726154098802e-16,0.0
01-06 21:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-06 22:00:00+01:00,0.0,0.0,3.9942008034365983e-16,0.0
01-06 23:00:00+01:00,0.0,0.0,3.9985376121265404e-16,0.0
01-07 00:00:00+01:00,0.0,0.0,5.499073418846478e-16,0.0
01-07 01:00:00+01:00,0.0,0.0,4.501607420159814e-16,0.0
01-07 02:00:00+01:00,0.0,0.0,1.9992688060632702e-16,0.0
01-07 03:00:00+01:00,0.0,0.0,1.0998146837692957e-15,0.0
01-07 04:00:00+01:00,0.0,0.0,2.9967348047499343e-16,0.0
01-07 05:00:00+01:00,0.0,0.0,0.0005659434692107997,0.0
01-07 06:00:00+01:00,0.0,0.0,0.00056543971979215,0.0
01-07 07:00:00+01:00,0.0,0.0,0.0005018435282699001,0.0
01-07 08:00:00+01:00,0.0,0.0,6.995272416876475e-16,0.0
01-07 09:00:00+01:00,0.0,0.0,1.2503019453102837e-15,0.0
01-07 10:00:00+01:00,0.0,0.0,1.0018028073766061e-16,0.0
01-07 11:00:00+01:00,0.0,0.0,6.006480035569695e-16,0.0
01-07 12:00:00+01:00,0.0,0.0,7.498342224909749e-16,0.0
01-07 13:00:00+01:00,0.0,0.0,3.9985376121265404e-16,0.0
01-07 14:00:00+01:00,0.0,0.0,5.494736610156536e-16,0.0
01-07 15:00:00+01:00,0.0,0.0,1.149687983703629e-15,0.0
01-07 16:00:00+01:00,0.0,0.0,-3.4998046127832083e-16,0.0
01-07 17:00:00+01:00,0.0,0.0,5.077127138994981e-05,0.0
01-07 18:00:00+01:00,0.0,0.0,3.7234112370600377e-05,0.0
01-07 19:00:00+01:00,0.0,0.0,-4.9439619065339e-17,0.0
01-07 20:00:00+01:00,0.0,0.0,9.497611030973019e-16,0.0
01-07 21:00:00+01:00,0.0,0.0,-9.003214840319629e-16,0.0
01-07 22:00:00+01:00,0.0,0.0,6.500876226223085e-16,0.0
01-07 23:00:00+01:00,0.0,0.0,1.5005358067199381e-16,0.0
01-08 00:00:00+01:00,0.0,0.0,3.5041414214731503e-16,0.0
01-08 01:00:00+01:00,0.0,0.0,1.5005358067199381e-16,0.0
01-08 02:00:00+01:00,0.0,0.0,3.9985376121265404e-16,0.0
01-08 03:00:00+01:00,0.0,0.0,5.499073418846478e-16,0.0
01-08 04:00:00+01:00,0.0,0.0,4.501607420159814e-16,0.0
01-08 05:00:00+01:00,0.0,0.0,0.0005274566006067999,0.0
01-08 06:00:00+01:00,0.0,0.0,0.0005559578726627499,0.0
01-08 07:00:00+01:00,0.0,0.0,0.0005893826265334504,0.0
01-08 08:00:00+01:00,0.0,0.0,0.00015642704510994985,0.0
01-08 09:00:00+01:00,0.0,0.0,1.4003555259822775e-15,0.0
01-08 10:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-08 11:00:00+01:00,0.0,0.0,4.9873299934333204e-17,0.0
01-08 12:00:00+01:00,0.0,0.0,8.495808223596413e-16,0.0
01-08 13:00:00+01:00,0.0,0.0,3.9985376121265404e-16,0.0
01-08 14:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-08 15:00:00+01:00,0.0,0.0,4.501607420159814e-16,0.0
01-08 16:00:00+01:00,0.0,0.0,1.0000680839006293e-15,0.0
01-08 17:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-08 18:00:00+01:00,0.0,0.0,-4.336808689942018e-19,0.0
01-08 19:00:00+01:00,0.0,0.0,4.9439619065339e-17,0.0
01-08 20:00:00+01:00,0.0,0.0,9.003214840319629e-16,0.0
01-08 21:00:00+01:00,0.0,0.0,1.0000680839006293e-15,0.0
01-08 22:00:00+01:00,0.0,0.0,3.4954678040932663e-16,0.0
01-08 23:00:00+01:00,0.0,0.0,2.0036056147532122e-16,0.0
01-09 00:00:00+01:00,0.0,0.0,3.9985376121265404e-16,0.0
01-09 01:00:00+01:00,0.0,0.0,5.997806418189811e-16,0.0
01-09 02:00:00+01:00,0.0,0.0,1.9992688060632702e-16,0.0
01-09 03:00:00+01:00,0.0,0.0,6.496539417533143e-16,0.0
01-09 04:00:00+01:00,0.0,0.0,6.002143226879753e-16,0.0
01-09 05:00:00+01:00,0.0,0.0,0.0004733376487869997,0.0
01-09 06:00:00+01:00,0.0,0.0,0.0004965992246258001,0.0
01-09 07:00:00+01:00,0.0,0.0,0.00051882306422645,0.0
01-09 08:00:00+01:00,0.0,0.0,5.494736610156536e-16,0.0
01-09 09:00:00+01:00,0.0,0.0,4.9873299934333204e-17,0.0
01-09 10:00:00+01:00,0.0,0.0,-2.9967348047499343e-16,0.0
01-09 11:00:00+01:00,0.0,0.0,1.9949319973733282e-16,0.0
01-09 12:00:00+01:00,0.0,0.0,5.0306980803327406e-17,0.0
01-09 13:00:00+01:00,0.0,0.0,2.9967348047499343e-16,0.0
01-09 14:00:00+01:00,0.0,0.0,-6.500876226223085e-16,0.0
01-09 15:00:00+01:00,0.0,0.0,-1.0018028073766061e-16,0.0
01-09 16:00:00+01:00,0.0,0.0,-3.0054084221298183e-16,0.0
01-09 17:00:00+01:00,0.0,0.0,6.002143226879753e-16,0.0
01-09 18:00:00+01:00,0.0,0.0,3.0010716134398763e-16,0.0
01-09 19:00:00+01:00,0.0,0.0,-9.93129189996722e-17,0.0
01-09 20:00:00+01:00,0.0,0.0,3.0010716134398763e-16,0.0
01-09 21:00:00+01:00,0.0,0.0,1.2997415643756227e-15,0.0
01-09 22:00:00+01:00,0.0,0.0,-4.9873299934333204e-17,0.0
01-09 23:00:00+01:00,0.0,0.0,-9.974659986866641e-17,0.0
01-10 00:00:00+01:00,0.0,0.0,0.0,0.0
01-10 01:00:00+01:00,0.0,0.0,-9.974659986866641e-17,0.0
01-10 02:00:00+01:00,0.0,0.0,5.503410227536421e-16,0.0
01-10 03:00:00+01:00,0.0,0.0,6.496539417533143e-16,0.0
01-10 04:00:00+01:00,0.0,0.0,0.0,0.0
01-10 05:00:00+01:00,0.0,0.0,0.00032762500627499984,0.0
01-10 06:00:00+01:00,0.0,0.0,0.00042423812746924996,0.0
01-10 07:00:00+01:00,0.0,0.0,0.0001545986146936503,0.0
01-10 08:00:00+01:00,0.0,0.0,1.9949319973733282e-16,0.0
01-10 09:00:00+01:00,0.0,0.0,-3.0010716134398763e-16,0.0
01-10 10:00:00+01:00,0.0,0.0,6.496539417533143e-16,0.0
01-10 11:00:00+01:00,0.0,0.0,4.0028744208164824e-16,0.0
01-10 12:00:00+01:00,0.0,0.0,5.000340419503146e-16,0.0
01-10 13:00:00+01:00,0.0,0.0,9.001046435974658e-16,0.0
01-10 14:00:00+01:00,0.0,0.0,-4.9873299934333204e-17,0.0
01-10 15:00:00+01:00,0.0,0.0,1.0018028073766061e-16,0.0
01-10 16:00:00+01:00,0.0,0.0,1.2997415643756227e-15,0.0
01-10 17:00:00+01:00,0.0,0.0,-9.50194783966296e-16,0.0
01-10 18:00:00+01:00,0.0,0.0,-4.9439619065339e-17,0.0
01-10 19:00:00+01:00,0.0,0.0,5.0306980803327406e-17,0.0
01-10 20:00:00+01:00,0.0,0.0,2.0036056147532122e-16,0.0
01-10 21:00:00+01:00,0.0,0.0,6.500876226223085e-16,0.0
01-10 22:00:00+01:00,0.0,0.0,1.0000680839006293e-15,0.0
01-10 23:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-11 00:00:00+01:00,0.0,0.0,5.0306980803327406e-17,0.0
01-11 01:00:00+01:00,0.0,0.0,0.0,0.0
01-11 02:00:00+01:00,0.0,0.0,-3.4976362084382373e-16,0.0
01-11 03:00:00+01:00,0.0,0.0,6.999609225566417e-16,0.0
01-11 04:00:00+01:00,0.0,0.0,2.0036056147532122e-16,0.0
01-11 05:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-11 06:00:00+01:00,0.0,0.0,6.999609225566417e-16,0.0
01-11 07:00:00+01:00,0.0,0.0,5.002508823848117e-16,0.0
01-11 08:00:00+01:00,0.0,0.0,1.0499413838349625e-15,0.0
01-11 09:00:00+01:00,0.0,0.0,5.496905014501507e-16,0.0
01-11 10:00:00+01:00,0.0,0.0,-2.498001805406602e-16,0.0
01-11 11:00:00+01:00,0.0,0.0,6.500876226223085e-16,0.0
01-11 12:00:00+01:00,0.0,0.0,4.499439015814843e-16,0.0
01-11 13:00:00+01:00,0.0,0.0,2.498001805406602e-16,0.0
01-11 14:00:00+01:00,0.0,0.0,-5.5012418231914495e-16,0.0
01-11 15:00:00+01:00,0.0,0.0,-2.9989032090949053e-16,0.0
01-11 16:00:00+01:00,0.0,0.0,6.500876226223085e-16,0.0
01-11 17:00:00+01:00,0.0,0.0,5.503410227536421e-16,0.0
01-11 18:00:00+01:00,0.0,0.0,-1.5048726154098802e-16,0.0
01-11 19:00:00+01:00,0.0,0.0,2.498001805406602e-16,0.0
01-11 20:00:00+01:00,0.0,0.0,7.498342224909749e-16,0.0
01-11 21:00:00+01:00,0.0,0.0,4.0072112295064244e-16,0.0
01-11 22:00:00+01:00,0.0,0.0,-3.9942008034365983e-16,0.0
01-11 23:00:00+01:00,0.0,0.0,6.006480035569695e-16,0.0
01-12 00:00:00+01:00,0.0,0.0,8.001412032943023e-16,0.0
01-12 01:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-12 02:00:00+01:00,0.0,0.0,1.5005358067199381e-16,0.0
01-12 03:00:00+01:00,0.0,0.0,1.0018028073766061e-16,0.0
01-12 04:00:00+01:00,0.0,0.0,7.001777629911388e-16,0.0
01-12 05:00:00+01:00,0.0,0.0,-6.498707821878114e-16,0.0
01-12 06:00:00+01:00,0.0,0.0,3.0010716134398763e-16,0.0
01-12 07:00:00+01:00,0.0,0.0,-1.5005358067199381e-16,0.0
01-12 08:00:00+01:00,0.0,0.0,2.0036056147532122e-16,0.0
01-12 09:00:00+01:00,0.0,0.0,5.499073418846478e-16,0.0
01-12 10:00:00+01:00,0.0,0.0,-4.497270611469872e-16,0.0
01-12 11:00:00+01:00,0.0,0.0,5.999974822534782e-16,0.0
01-12 12:00:00+01:00,0.0,0.0,7.50051062925472e-16,0.0
01-12 13:00:00+01:00,0.0,0.0,2.502338614096544e-16,0.0
01-12 14:00:00+01:00,0.0,0.0,4.499439015814843e-16,0.0
01-12 15:00:00+01:00,0.0,0.0,2.498001805406602e-16,0.0
01-12 16:00:00+01:00,0.0,0.0,-1.5005358067199381e-16,0.0
01-12 17:00:00+01:00,0.0,0.0,2.5066754227864863e-16,0.0
01-12 18:00:00+01:00,0.0,0.0,-6.500876226223085e-16,0.0
01-12 19:00:00+01:00,0.0,0.0,-2.502338614096544e-16,0.0
01-12 20:00:00+01:00,0.0,0.0,-1.0018028073766061e-16,0.0
01-12 21:00:00+01:00,0.0,0.0,6.999609225566417e-16,0.0
01-12 22:00:00+01:00,0.0,0.0,2.500170209751573e-16,0.0
01-12 23:00:00+01:00,0.0,0.0,7.502679033599691e-16,0.0
01-13 00:00:00+01:00,0.0,0.0,-4.998172015158175e-16,0.0
01-13 01:00:00+01:00,0.0,0.0,5.0090140368830305e-17,0.0
01-13 02:00:00+01:00,0.0,0.0,-3.4976362084382373e-16,0.0
01-13 03:00:00+01:00,0.0,0.0,9.996344030316351e-17,0.0
01-13 04:00:00+01:00,0.0,0.0,1.0018028073766061e-16,0.0
01-13 05:00:00+01:00,0.0,0.0,-1.0061396160665481e-16,0.0
01-13 06:00:00+01:00,0.0,0.0,-9.93129189996722e-17,0.0
01-13 07:00:00+01:00,0.0,0.0,-9.974659986866641e-17,0.0
01-13 08:00:00+01:00,0.0,0.0,2.502338614096544e-16,0.0
01-13 09:00:00+01:00,0.0,0.0,2.498001805406602e-16,0.0
01-13 10:00:00+01:00,0.0,0.0,-1.5005358067199381e-16,0.0
01-13 11:00:00+01:00,0.0,0.0,1.1000315242037928e-15,0.0
01-13 12:00:00+01:00,0.0,0.0,5.000340419503146e-16,0.0
01-13 13:00:00+01:00,0.0,0.0,2.500170209751573e-16,0.0
01-13 14:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-13 15:00:00+01:00,0.0,0.0,9.996344030316351e-17,0.0
01-13 16:00:00+01:00,0.0,0.0,1.0018028073766061e-16,0.0
01-13 17:00:00+01:00,0.0,0.0,4.0028744208164824e-16,0.0
01-13 18:00:00+01:00,0.0,0.0,-2.502338614096544e-16,0.0
01-13 19:00:00+01:00,0.0,0.0,8.998878031629687e-16,0.0
01-13 20:00:00+01:00,0.0,0.0,4.497270611469872e-16,0.0
01-13 21:00:00+01:00,0.0,0.0,7.498342224909749e-16,0.0
01-13 22:00:00+01:00,0.0,0.0,-5.0306980803327406e-17,0.0
01-13 23:00:00+01:00,0.0,0.0,7.498342224909749e-16,0.0
01-14 00:00:00+01:00,0.0,0.0,3.4998046127832083e-16,0.0
01-14 01:00:00+01:00,0.0,0.0,1.5005358067199381e-16,0.0
01-14 02:00:00+01:00,0.0,0.0,-5.0090140368830305e-17,0.0
01-14 03:00:00+01:00,0.0,0.0,7.001777629911388e-16,0.0
01-14 04:00:00+01:00,0.0,0.0,-1.0018028073766061e-16,0.0
01-14 05:00:00+01:00,0.0,0.0,0.00029695172944525046,0.0
01-14 06:00:00+01:00,0.0,0.0,0.0003386340090001999,0.0
01-14 07:00:00+01:00,0.0,0.0,0.00036995742417419986,0.0
01-14 08:00:00+01:00,0.0,0.0,1.5504091066542713e-15,0.0
01-14 09:00:00+01:00,0.0,0.0,-9.974659986866641e-17,0.0
01-14 10:00:00+01:00,0.0,0.0,2.9967348047499343e-16,0.0
01-14 11:00:00+01:00,0.0,0.0,-4.336808689942018e-19,0.0
01-14 12:00:00+01:00,0.0,0.0,2.9967348047499343e-16,0.0
01-14 13:00:00+01:00,0.0,0.0,5.0090140368830305e-17,0.0
01-14 14:00:00+01:00,0.0,0.0,-4.0007060164715114e-16,0.0
01-14 15:00:00+01:00,0.0,0.0,1.0018028073766061e-16,0.0
01-14 16:00:00+01:00,0.0,0.0,8.001412032943023e-16,0.0
01-14 17:00:00+01:00,0.0,0.0,5.503410227536421e-16,0.0
01-14 18:00:00+01:00,0.0,0.0,3.5041414214731503e-16,0.0
01-14 19:00:00+01:00,0.0,0.0,-2.5066754227864863e-16,0.0
01-14 20:00:00+01:00,0.0,0.0,1.496198998029996e-16,0.0
01-14 21:00:00+01:00,0.0,0.0,7.498342224909749e-16,0.0
01-14 22:00:00+01:00,0.0,0.0,2.498001805406602e-16,0.0
01-14 23:00:00+01:00,0.0,0.0,2.9989032090949053e-16,0.0
01-15 00:00:00+01:00,0.0,0.0,1.0000680839006293e-15,0.0
01-15 01:00:00+01:00,0.0,0.0,6.498707821878114e-16,0.0
01-15 02:00:00+01:00,0.0,0.0,7.997075224253081e-16,0.0
01-15 03:00:00+01:00,0.0,0.0,0.0,0.0
01-15 04:00:00+01:00,0.0,0.0,3.9985376121265404e-16,0.0
01-15 05:00:00+01:00,0.0,0.0,0.00023268084147059966,0.0
01-15 06:00:00+01:00,0.0,0.0,0.00025828561536674977,0.0
01-15 07:00:00+01:00,0.0,0.0,0.00012246327071930001,0.0
01-15 08:00:00+01:00,0.0,0.0,1.2494345835722953e-15,0.0
01-15 09:00:00+01:00,0.0,0.0,2.502338614096544e-16,0.0
01-15 10:00:00+01:00,0.0,0.0,4.499439015814843e-16,0.0
01-15 11:00:00+01:00,0.0,0.0,3.0010716134398763e-16,0.0
01-15 12:00:00+01:00,0.0,0.0,1.3999218451132833e-15,0.0
01-15 13:00:00+01:00,0.0,0.0,5.499073418846478e-16,0.0
