LoadLevel,Node_1_Node_6_eac1,Node_2_Node_3_eac1,Node_2_Node_6_eac1,Node_3_Node_4_eac1,Node_3_Node_6_eac1,Node_4_Node_5_eac1,Node_4_Node_6_eac1,Node_4_Node_9_eac1,Node_6_Node_7_eac1,Node_6_Node_8_cac2,Node_6_Node_8_eac1,Node_7_Node_8_eac1,Node_8_Node_9_eac1
01-01 00:00:00+01:00,0.3,0.2102715634837352,0.1765284365162647,0.2337217208814266,0.0125498426023081,0.2496,-0.1366636935991606,-0.0456145855194126,0.0741163693599158,0.1300654774396641,0.065032738719832,-0.029883630640084,0.1496145855194127
01-01 01:00:00+01:00,0.3,0.2193265712939137,0.1711602368060862,0.2203031757934802,0.0044435388904338,0.2403131918999999,-0.1343568307030997,-0.04586198000342,0.0716365342190599,0.12633734231624,0.0631686711581199,-0.02849396238094,0.14599247660342
01-01 02:00:00+01:00,0.3,0.2130298208305774,0.1529608969394216,0.1998597404829166,-0.0045409791223405,0.2238663567999999,-0.1283180721435783,-0.044932782073505,0.0670494405093578,0.1189535241494305,0.0594767620747159,-0.0262282081706421,0.1382104307535051
01-01 03:00:00+01:00,0.3,0.1873479860915004,0.1289190198984991,0.1846097342515845,-0.0077279797800841,0.2091973896999999,-0.1211770687423032,-0.0428755132061121,0.0627826996917305,0.1116658723029215,0.0558329361514605,-0.0243828793482694,0.1300410922461127
01-01 04:00:00+01:00,0.3,0.1688941874329466,0.1115303222070474,0.1734979637813879,-0.0100935455784412,0.1985386154,-0.116006386547198,-0.041393341971414,0.059684209575345,0.1063777613573789,0.0531888806786893,-0.0230402135146549,0.1241177650614133
01-01 05:00:00+01:00,0.3,0.1616179404195359,0.1050098713804578,0.1695725576389986,-0.0108023892894627,0.1946866324,-0.114084640491471,-0.0408205225695303,0.0585591328416473,0.1044454430785878,0.0522227215392936,-0.0225602973383526,0.1219399527495287
01-01 06:00:00+01:00,0.3,0.1631221527879729,0.1063639608220221,0.1703923647572781,-0.0106517691793051,0.1954893432,-0.1144840548577774,-0.0409391523849443,0.0587934808032777,0.1048476943811108,0.0524238471905551,-0.0226604122167222,0.1223930454049437
01-01 07:00:00+01:00,0.3,0.1675764817560941,0.1093176217938994,0.1725274453248751,-0.010909826348781,0.1989531767,-0.1160120230896324,-0.0430491593854924,0.0592101747802132,0.1048452480168532,0.0524226240084262,-0.0232869821597866,0.1215463163254927
01-01 08:00:00+01:00,0.3,0.0748361755807759,-0.0304689971207781,0.120963272148349,-0.0577307525375731,0.1968219358,-0.1189001094958977,-0.0881731780557531,0.018747823533965,0.0512966702478591,0.0256483351239298,0.003938683603965,0.0685823179857539
01-01 09:00:00+01:00,0.1564005590799986,0.0178301651589509,-0.1178979950589508,0.08393260612106,-0.0875137459521092,0.2004678299,-0.1180931882897445,-0.132087255489196,-0.0395798786104005,-0.0135647343936012,-0.0067823671968012,0.0508918589195994,0.018015517959196
01-01 10:00:00+01:00,0.057175047999998,0.0041035773340191,-0.149432819934019,0.0750890388670409,-0.1016736686230218,0.2153292426,-0.1231859007591669,-0.1606071313737921,-0.0751263589934586,-0.049178264341834,-0.0245891321709171,0.0819531232765413,-0.0052723508962078
01-01 11:00:00+01:00,0.006267242527,-0.0006678793644908,-0.1607939140355091,0.0728838247436027,-0.1068620030080936,0.2238617934,-0.1256988927208218,-0.1745202715355754,-0.0915135826329177,-0.0660155261476714,-0.0330077630738353,0.0960106701070822,-0.0170039812044245
01-01 12:00:00+01:00,0.004657025641,-0.0010774461293812,-0.1664364001706187,0.0716224565396745,-0.1104188770490557,0.2263138463,-0.1275781931240886,-0.1779890941362368,-0.0951767960419663,-0.0688630816878643,-0.0344315408439328,0.0997257680080336,-0.0177134699137631
01-01 13:00:00+01:00,0.0584301763499989,-0.0008901103689402,-0.1698988561310598,0.0785325774539629,-0.1128208489029031,0.2315889665,-0.133698497585904,-0.173750535760133,-0.0848221974214094,-0.0546414340056389,-0.0273207170028196,0.0930823998785905,-0.0033540615398669
01-01 14:00:00+01:00,0.1685745971699983,0.002581039851542,-0.170211709951542,0.0860075880683423,-0.1147649932268002,0.2312306701,-0.1398284874628131,-0.1595483745688445,-0.0623309733455937,-0.0265176734303753,-0.013258836715188,0.0769229141244062,0.0226944870988445
01-01 15:00:00+01:00,0.3,0.0128247275140798,-0.1505138765540845,0.0945178606205098,-0.1067549481264301,0.2175708901,-0.139139873982641,-0.128960415596849,-0.0271430626567356,0.0145404893090558,0.007270244654528,0.0498023998032643,0.0580149531368481
01-01 16:00:00+01:00,0.3,0.1202025130243218,0.0212663906656744,0.1500897728393664,-0.0459236627350446,0.2114184175,-0.1282488550758874,-0.074025401284746,0.0268627835069639,0.075305522331855,0.0376527611659275,0.0067717761969639,0.1065164085947465
01-01 17:00:00+01:00,0.3,0.2028460624638811,0.1443811959761155,0.1951073571450781,-0.0051689005811971,0.2190456354,-0.1258187736515714,-0.0441499282033504,0.0656319921939073,0.116497545159628,0.058248772579814,-0.0256370225660926,0.1354189429633493
01-01 18:00:00+01:00,0.3,0.1640357420939125,0.1625592963060875,0.2460625784068144,0.0263549931571018,0.2538049616,-0.1340228666364326,-0.042922824256753,0.0748706757823931,0.1302793954495724,0.0651396977247867,-0.0308813915176068,0.148674891556753
01-01 19:00:00+01:00,0.3,0.1280789151549844,0.1679113714450155,0.2776736334457992,0.0479014567191846,0.2740097133999999,-0.1376199283642358,-0.0413892937899648,0.0801237202914238,0.1378217389256958,0.0689108694628472,-0.0340469936085761,0.1555600076899648
01-01 20:00:00+01:00,0.3,0.1089224809823714,0.1699511106176286,0.2934129469018057,0.0588394999205668,0.2839264084,-0.1392534668732027,-0.0405442668249915,0.0826887736835704,0.141470822574281,0.0707354112871401,-0.0356138964164295,0.1588469369249915
01-01 21:00:00+01:00,0.3,0.0951665497669329,0.1692977536330671,0.3,0.0652818942052446,0.2907356965999999,-0.1385385793460661,-0.0386784413722462,0.0842664094646067,0.1432418400984271,0.0716209200492132,-0.0368734641353932,0.1598183149722462
