LoadLevel,vTotalCCost,vTotalECost,vTotalGCost,vTotalRCost
01-01 00:00:00+01:00,0.0,0.0,0.0299468,0.0
01-01 01:00:00+01:00,0.0,0.0,0.0279271643344499,0.0
01-01 02:00:00+01:00,0.0,0.0,0.024863931226665,0.0
01-01 03:00:00+01:00,0.0,0.0,0.0220829658299699,0.0
01-01 04:00:00+01:00,0.0,0.0,0.0199462386653848,0.0
01-01 05:00:00+01:00,0.0,0.0,0.0189644612361298,0.0
01-01 06:00:00+01:00,0.0,0.0,0.0190070400108297,0.0
01-01 07:00:00+01:00,0.0,0.0,0.0198087040255348,0.0
01-01 08:00:00+01:00,0.0,0.0,0.0088437788554649,0.0
01-01 09:00:00+01:00,0.0,0.0,0.0014285376255749,0.0
01-01 10:00:00+01:00,0.0,0.0,0.000523083797655,0.0
01-01 11:00:00+01:00,0.0,0.0,0.0,0.0
01-01 12:00:00+01:00,0.0,0.0,0.0,0.0
01-01 13:00:00+01:00,0.0,0.0,0.000800926955655,0.0
01-01 14:00:00+01:00,0.0,0.0,0.002417070874425,0.0
01-01 15:00:00+01:00,0.0,0.0,0.0048079217515048,0.0
01-01 16:00:00+01:00,0.0,0.0,0.0168846050682149,0.0
01-01 17:00:00+01:00,0.0,0.0,0.0261303892565398,0.0
01-01 18:00:00+01:00,0.0,0.0,0.032884112973695,0.0
01-01 19:00:00+01:00,0.0,0.0,0.0374833841750151,0.0
01-01 20:00:00+01:00,0.0,0.0,0.0397740119873498,0.0
01-01 21:00:00+01:00,0.0,0.0,0.0414639170646792,0.0
01-01 22:00:00+01:00,0.0,0.0,0.0410193271136336,0.0
01-01 23:00:00+01:00,0.0,0.0,0.0366569312139099,0.0
01-02 00:00:00+01:00,0.0,0.0,0.03161371420936,0.0
01-02 01:00:00+01:00,0.0,0.0,0.0265240692736349,0.0
01-02 02:00:00+01:00,0.0,0.0,0.0232168324697999,0.0
01-02 03:00:00+01:00,0.0,0.0,0.0207503915663248,0.0
