LoadLevel,vTotalCCost,vTotalECost,vTotalGCost,vTotalRCost
01-01 00:00:00+01:00,0.0,0.0,11.58059999999991,0.0
01-01 01:00:00+01:00,0.0,0.0,10.78730470508982,0.0
01-01 02:00:00+01:00,0.0,0.0,9.919047765854945,0.0
01-01 03:00:00+01:00,0.0,0.0,9.132240772199967,0.0
01-01 04:00:00+01:00,0.0,0.0,8.525255539064975,0.0
01-01 05:00:00+01:00,0.0,0.0,8.284884577530372,0.0
01-01 06:00:00+01:00,0.0,0.0,8.350049936099781,0.0
01-01 07:00:00+01:00,0.0,0.0,8.61274377728495,0.0
01-01 08:00:00+01:00,0.0,0.0,5.418338084884909,0.0
01-01 09:00:00+01:00,0.0,0.0,2.23573762557494,0.0
01-01 10:00:00+01:00,0.0,0.0,1.4130837976550616,0.0
01-01 11:00:00+01:00,0.0,0.0,0.9451569397745468,0.0
01-01 12:00:00+01:00,0.0,0.0,0.9493144623335076,0.0
01-01 13:00:00+01:00,0.0,0.0,1.7253269556550608,0.0
01-01 14:00:00+01:00,0.0,0.0,3.2358708744250166,0.0
01-01 15:00:00+01:00,0.0,0.0,5.055024296525002,0.0
01-01 16:00:00+01:00,0.0,0.0,8.299523468944699,0.0
01-01 17:00:00+01:00,0.0,0.0,10.613183759819712,0.0
01-01 18:00:00+01:00,0.0,0.1778639350099773,13.51918243585944,0.0
01-01 19:00:00+01:00,0.0,0.6477665746124883,17.74896142568498,0.0
01-01 20:00:00+01:00,0.0,0.8507332350685658,19.583200868683047,0.0
01-01 21:00:00+01:00,0.0,1.0062053936934554,20.983425541193423,0.0
01-01 22:00:00+01:00,0.0,0.9926656279552382,20.84006469478552,0.0
01-01 23:00:00+01:00,0.0,0.5627489917786702,16.951245075444337,0.0
01-02 00:00:00+01:00,0.0,0.0751198188462215,12.539068807167604,0.0
01-02 01:00:00+01:00,0.0,0.0,10.55657597278491,0.0
01-02 02:00:00+01:00,0.0,0.0,9.48629749775987,0.0
01-02 03:00:00+01:00,0.0,0.0,8.614019150504944,0.0
01-02 04:00:00+01:00,0.0,0.0,7.978186230719895,0.0
01-02 05:00:00+01:00,0.0,0.0,7.799275743119892,0.0
01-02 06:00:00+01:00,0.0,0.0,8.504532702989827,0.0
01-02 07:00:00+01:00,0.0,0.0,9.57596684960498,0.0
01-02 08:00:00+01:00,0.0,0.0,6.525349769914715,0.0
01-02 09:00:00+01:00,0.0,0.0,3.657866872984681,0.0
01-02 10:00:00+01:00,0.0,0.0,1.5545804881450638,0.0
01-02 11:00:00+01:00,0.0,0.0,1.484457530834034,0.0
01-02 12:00:00+01:00,0.0,0.0,1.414035687523482,0.0
01-02 13:00:00+01:00,0.0,0.0,1.438104748726986,0.0
01-02 14:00:00+01:00,0.0,0.0,1.4535658532870062,0.0
01-02 15:00:00+01:00,0.0,0.0,2.017603199949935,0.0
01-02 16:00:00+01:00,0.0,0.0,5.0483735790101,0.0
01-02 17:00:00+01:00,0.0,0.0,7.758430844729877,0.0
01-02 18:00:00+01:00,0.0,0.0,9.58716348331514,0.0
01-02 19:00:00+01:00,0.0,0.0,10.434808587420076,0.0
01-02 20:00:00+01:00,0.0,0.0,10.88068669767,0.0
01-02 21:00:00+01:00,0.0,0.0,11.049463479824748,0.0
01-02 22:00:00+01:00,0.0,0.0,10.351890355709848,0.0
01-02 23:00:00+01:00,0.0,0.0,9.00411827272478,0.0
01-03 00:00:00+01:00,0.0,0.0,7.693024738889956,0.0
01-03 01:00:00+01:00,0.0,0.0,6.27337912237513,0.0
01-03 02:00:00+01:00,0.0,0.0,5.281980527069779,0.0
01-03 03:00:00+01:00,0.0,0.0,5.139607433714694,0.0
01-03 04:00:00+01:00,0.0,0.0,5.397058662509975,0.0
01-03 05:00:00+01:00,0.0,0.0,5.5507253185348455,0.0
01-03 06:00:00+01:00,0.0,0.0,6.027231989684923,0.0
01-03 07:00:00+01:00,0.0,0.0,6.971315986149902,0.0
01-03 08:00:00+01:00,0.0,0.0,3.730436579834652,0.0
01-03 09:00:00+01:00,0.0,0.0,2.0764661684950467,0.0
01-03 10:00:00+01:00,0.0,0.0,2.021691917544705,0.0
01-03 11:00:00+01:00,0.0,0.0,1.3592811214339393,0.0
01-03 12:00:00+01:00,0.0,0.0,1.2927754736149972,0.0
01-03 13:00:00+01:00,0.0,0.0,1.3037317794475514,0.0
01-03 14:00:00+01:00,0.0,0.0,2.269050145739714,0.0
01-03 15:00:00+01:00,0.0,0.0,4.604888128835291,0.0
01-03 16:00:00+01:00,0.0,0.0,8.196236182710248,0.0
01-03 17:00:00+01:00,0.0,0.0,10.647788917229985,0.0
01-03 18:00:00+01:00,0.0,0.1349181528949004,13.41727511178529,0.0
01-03 19:00:00+01:00,0.0,0.3542253319860221,15.435186215400396,0.0
01-03 20:00:00+01:00,0.0,0.4771015466594344,16.548636567462253,0.0
01-03 21:00:00+01:00,0.0,0.4437943842110217,16.271034861270987,0.0
01-03 22:00:00+01:00,0.0,0.1135398426397883,13.308676190314824,0.0
01-03 23:00:00+01:00,0.0,0.0,11.494162085714793,0.0
01-04 00:00:00+01:00,0.0,0.0,10.167349047030037,0.0
01-04 01:00:00+01:00,0.0,0.0,8.55904866874508,0.0
01-04 02:00:00+01:00,0.0,0.0,7.392526463025023,0.0
01-04 03:00:00+01:00,0.0,0.0,7.124425957109733,0.0
01-04 04:00:00+01:00,0.0,0.0,7.25869125130495,0.0
01-04 05:00:00+01:00,0.0,0.0,7.633248255930206,0.0
01-04 06:00:00+01:00,0.0,0.0,8.093180778704884,0.0
01-04 07:00:00+01:00,0.0,0.0,8.495033536409759,0.0
01-04 08:00:00+01:00,0.0,0.0,5.451971111539707,0.0
01-04 09:00:00+01:00,0.0,0.0,2.852949404844788,0.0
01-04 10:00:00+01:00,0.0,0.0,1.9506551229001992,0.0
01-04 11:00:00+01:00,0.0,0.0,1.2080348536049716,0.0
01-04 12:00:00+01:00,0.0,0.0,1.150561325283999,0.0
01-04 13:00:00+01:00,0.0,0.0,1.3713710011101514,0.0
01-04 14:00:00+01:00,0.0,0.0,2.725491136804944,0.0
01-04 15:00:00+01:00,0.0,0.0,4.573920917614962,0.0
01-04 16:00:00+01:00,0.0,0.0,7.918879895075018,0.0
01-04 17:00:00+01:00,0.0,0.0,10.88999270104457,0.0
01-04 18:00:00+01:00,0.0,0.3855370693744221,15.499154973015786,0.0
01-04 19:00:00+01:00,0.0,0.9346745339024356,20.412590682752,0.0
01-04 20:00:00+01:00,0.0,1.2924209030936655,23.60059702717035,0.0
01-04 21:00:00+01:00,0.0,1.4916307753671976,25.372085825033253,0.0
01-04 22:00:00+01:00,0.0,1.325762151424258,23.872506772472097,0.0
01-04 23:00:00+01:00,0.0,0.8579013753016931,19.660580402026103,0.0
