LoadLevel,vTotalCCost,vTotalECost,vTotalGCost,vTotalRCost
01-01 00:00:00+01:00,0.0,119.65882447246388,183.1226098096428,0.0
01-01 01:00:00+01:00,0.0,100.39014770165193,152.6830332098584,0.0
01-01 02:00:00+01:00,0.0,91.89606470591974,139.80790649956492,0.0
01-01 03:00:00+01:00,0.0,87.91614787686925,134.13224830924477,0.0
01-01 04:00:00+01:00,0.0,89.5413747445948,136.566421120751,0.0
01-01 05:00:00+01:00,0.0,98.4915694222639,150.1224148825532,0.0
01-01 06:00:00+01:00,0.0,110.2139650981857,168.1808175022744,0.0
01-01 07:00:00+01:00,0.0,72.38470636819886,116.48930128858208,0.0
01-01 08:00:00+01:00,0.0,52.28150494504919,84.9043739125719,0.0
01-01 09:00:00+01:00,0.0,36.34088179846324,59.74623397427175,0.0
01-01 10:00:00+01:00,0.0,33.59808671074637,54.477673175352805,0.0
01-01 11:00:00+01:00,0.0,34.43190622704523,55.79234378658539,0.0
01-01 12:00:00+01:00,0.0,34.40769317716862,55.742193464205926,0.0
01-01 13:00:00+01:00,0.0,34.73685311254613,56.42395296818004,0.0
01-01 14:00:00+01:00,0.0,39.7432023713836,65.93219420603398,0.0
01-01 15:00:00+01:00,0.0,43.35725612061736,71.79060060676531,0.0
01-01 16:00:00+01:00,0.0,87.92715879404079,142.16554364183136,0.0
01-01 17:00:00+01:00,0.0,299.3898273297416,462.3307290170898,903.6444964365512
01-01 18:00:00+01:00,0.0,297.14521357543,459.3774119799986,799.1372210941507
01-01 19:00:00+01:00,0.0,268.78651606184263,419.61575079206506,675.345778011647
01-01 20:00:00+01:00,0.0,261.9241698019379,407.7747497138674,483.0582233793008
01-01 21:00:00+01:00,0.0,247.1219650732715,383.1000982491117,59.08226001383281
01-01 22:00:00+01:00,0.0,147.5597020216943,223.1495240090174,0.0
01-01 23:00:00+01:00,0.0,116.99083949995642,175.00373455297705,0.0
01-02 00:00:00+01:00,0.0,77.55851478194121,117.41764300787956,0.0
01-02 01:00:00+01:00,0.0,71.7499805889643,109.30070053045353,0.0
01-02 02:00:00+01:00,0.0,63.70969677085323,97.25676185717435,0.0
01-02 03:00:00+01:00,0.0,63.62777015779382,96.3947777989974,0.0
01-02 04:00:00+01:00,0.0,65.87619161111652,99.44041016251056,0.0
01-02 05:00:00+01:00,0.0,73.20671610754297,110.05198050807122,0.0
01-02 06:00:00+01:00,0.0,83.87904249727058,124.75451588886212,0.0
01-02 07:00:00+01:00,0.0,48.78311415370614,79.78021125867062,0.0
01-02 08:00:00+01:00,0.0,49.39928143271563,80.67795499793431,0.0
01-02 09:00:00+01:00,0.0,64.03050696123414,103.43433609260003,0.0
01-02 10:00:00+01:00,0.0,56.63553322227597,91.11260090924104,0.0
01-02 11:00:00+01:00,0.0,62.91487116034537,101.6648348888057,0.0
01-02 12:00:00+01:00,0.0,61.99357335874763,100.21534306789282,0.0
01-02 13:00:00+01:00,0.0,77.13677559034323,124.02201102996597,0.0
01-02 14:00:00+01:00,0.0,81.35166019490353,130.99449046374625,0.0
01-02 15:00:00+01:00,0.0,92.90494456868105,150.49534447967358,0.0
01-02 16:00:00+01:00,0.0,150.14854469245336,237.3254026792764,0.0
01-02 17:00:00+01:00,0.0,286.64363864374644,443.6551641360865,723.0780126602164
01-02 18:00:00+01:00,0.0,286.9094947395035,445.3850238722428,884.2902335677435
01-02 19:00:00+01:00,0.0,280.98398136684744,437.96794013377934,817.83914923946
01-02 20:00:00+01:00,0.0,268.4170305461426,418.009856227311,520.6693471450285
01-02 21:00:00+01:00,0.0,266.0121205699363,406.9998967969214,124.95980458481986
01-02 22:00:00+01:00,0.0,152.8023255061683,242.56075740397543,0.0
01-02 23:00:00+01:00,0.0,117.48187643250132,185.9616392330711,0.0
01-03 00:00:00+01:00,0.0,114.94831464189602,180.79069930688885,0.0
01-03 01:00:00+01:00,0.0,107.88392495720716,169.0144524331667,0.0
01-03 02:00:00+01:00,0.0,114.98416388153984,180.43167322629785,0.0
01-03 03:00:00+01:00,0.0,141.41457963451816,224.3339828791441,0.0
01-03 04:00:00+01:00,0.0,238.93283732978117,370.6711234141898,0.0
01-03 05:00:00+01:00,0.0,296.0081930885618,452.1150031682493,340.0937117094494
01-03 06:00:00+01:00,0.0,302.3974769354384,465.887553280466,567.6137458359129
01-03 07:00:00+01:00,0.0,240.81881924218,367.1482738544847,162.334038367782
01-03 08:00:00+01:00,0.0,132.2387932214108,214.3578892956666,0.0
01-03 09:00:00+01:00,0.0,94.26490366968004,152.41974647565752,0.0
01-03 10:00:00+01:00,0.0,120.11852354380532,196.84221295094972,0.0
01-03 11:00:00+01:00,0.0,176.2652456287607,269.455855815735,0.0
01-03 12:00:00+01:00,0.0,90.39318561907352,145.53264619330642,0.0
01-03 13:00:00+01:00,0.0,92.21526255752454,149.2036953687459,0.0
01-03 14:00:00+01:00,0.0,107.54055221702674,176.38302451690814,0.0
01-03 15:00:00+01:00,0.0,185.61823856799023,273.47879280629604,496.5746683556508
01-03 16:00:00+01:00,0.0,266.3782321510893,406.8981905295464,1371.0797896070314
01-03 17:00:00+01:00,0.0,357.4365154014407,532.8623523540059,2442.700890149326
01-03 18:00:00+01:00,0.0,348.07497434004983,557.946796549532,1612.2382395054417
01-03 19:00:00+01:00,0.0,313.7331675810973,484.22897196947895,848.5152197224124
01-03 20:00:00+01:00,0.0,283.53936166807364,427.1809188422268,129.3529941637646
01-03 21:00:00+01:00,0.0,184.0329276968565,282.41225764199584,0.0
01-03 22:00:00+01:00,0.0,149.15993657717087,233.923376758586,0.0
01-03 23:00:00+01:00,0.0,132.9949174278981,210.8563909730796,0.0
01-04 00:00:00+01:00,0.0,145.27347824814262,227.1747577825204,0.0
01-04 01:00:00+01:00,0.0,123.66496473859698,189.76146888872915,0.0
01-04 02:00:00+01:00,0.0,116.9458776111526,178.2461075104565,0.0
01-04 03:00:00+01:00,0.0,114.04612963137238,173.5604005029502,0.0
01-04 04:00:00+01:00,0.0,121.01095918684196,184.30103458491595,0.0
01-04 05:00:00+01:00,0.0,141.90579030751982,222.82976301868396,0.0
01-04 06:00:00+01:00,0.0,198.267435686358,300.9595247183558,0.0
01-04 07:00:00+01:00,0.0,114.96246980132425,189.77947049612956,0.0
01-04 08:00:00+01:00,0.0,74.52423786806652,119.65776904736148,0.0
01-04 09:00:00+01:00,0.0,64.40175132199806,103.94579421823808,0.0
01-04 10:00:00+01:00,0.0,59.95011634634711,97.3975457049495,0.0
01-04 11:00:00+01:00,0.0,63.89475037905741,103.02942107076572,0.0
01-04 12:00:00+01:00,0.0,62.40913829899458,100.7400371205116,0.0
01-04 13:00:00+01:00,0.0,64.44551520643421,103.6727746259398,0.0
01-04 14:00:00+01:00,0.0,69.73854888512679,111.3762340249431,0.0
01-04 15:00:00+01:00,0.0,81.51399722824512,131.12405706531675,0.0
01-04 16:00:00+01:00,0.0,142.75312406042215,230.7840997883428,0.0
01-04 17:00:00+01:00,0.0,347.7288639072901,519.6838883880911,2714.3436775532696
01-04 18:00:00+01:00,0.0,342.8063322810892,511.0012003650147,2382.749069721399
01-04 19:00:00+01:00,0.0,350.795175675966,559.8431006724072,1645.822063291803
01-04 20:00:00+01:00,0.0,315.76100618492416,486.6188805815332,1043.770061071389
01-04 21:00:00+01:00,0.0,292.07919779690053,444.6946776292231,392.9845868941663
01-04 22:00:00+01:00,0.0,212.9763716327662,320.6934898080651,0.0
01-04 23:00:00+01:00,0.0,160.65475655531392,249.6374876301193,0.0
01-05 00:00:00+01:00,0.0,149.76494123287355,234.1834170133445,0.0
01-05 01:00:00+01:00,0.0,142.9899431906421,224.82095915703272,0.0
01-05 02:00:00+01:00,0.0,133.64841862463803,208.25917497497488,0.0
01-05 03:00:00+01:00,0.0,134.84774896335938,209.0140083065272,0.0
01-05 04:00:00+01:00,0.0,144.18424575963894,225.13685753904804,0.0
01-05 05:00:00+01:00,0.0,172.80516349252864,266.47245320918444,0.0
01-05 06:00:00+01:00,0.0,260.59961301581114,390.4146682193712,0.0
01-05 07:00:00+01:00,0.0,230.9409513684624,353.7108656585982,53.714795041468605
01-05 08:00:00+01:00,0.0,145.01347265501016,231.6167327744413,0.0
01-05 09:00:00+01:00,0.0,83.73692775267216,134.51056353023642,0.0
01-05 10:00:00+01:00,0.0,78.22549218476907,125.74153039374542,36.31915938217499
01-05 11:00:00+01:00,0.0,94.91356658130056,153.29553769347572,61.20243827808867
01-05 12:00:00+01:00,0.0,122.40641085030254,199.93991479537155,64.50390768049148
